Batch	m_SP	13	R	W1	W2	W3	W4	W5	W6	P1	P2	P3	P4	P5	P6																							
1.033502e-09	9.8372406591218e-06	0.1	1.033502e-09	5.695079e-118	0.1	1.033502e-09	5.695079e-118	0.1	1.033502e-09	3.25766e-11	0.1	1.033502e-09	5.695079e-118	0.1	1.033502e-09	5.695079e-118	0.1	1.033502e-09	5.695079e-118	0.1	1.033502e-09	2.169072e-08	0.1	1.033502e-09	7.949474e-08	0.1	1.033502e-09	4.854857e-08	0.1	1.033502e-09	3.90666e-10	0.1	1.033502e-09	1.249203e-08	0.1	1.033502e-09	1.010719e-11	0.1
3.18854e-09	9.5065271804165e-06	0.1	3.18854e-09	1.738169e-117	0.1	3.18854e-09	1.738169e-117	0.1	3.18854e-09	9.870675e-11	0.1	3.18854e-09	1.738169e-117	0.1	3.18854e-09	1.738169e-117	0.1	3.18854e-09	1.738169e-117	0.1	3.18854e-09	6.579165e-08	0.1	3.18854e-09	2.411209e-07	0.1	3.18854e-09	1.47256e-07	0.1	3.18854e-09	1.184994e-09	0.1	3.18854e-09	3.789042e-08	0.1	3.18854e-09	3.06568e-11	0.1
6.285062e-09	9.050702346269098e-06	0.1	6.285062e-09	3.374149e-117	0.1	6.285062e-09	3.374149e-117	0.1	6.285062e-09	1.896119e-10	0.1	6.285062e-09	3.374149e-117	0.1	6.285062e-09	3.374149e-117	0.1	6.285062e-09	3.374149e-117	0.1	6.285062e-09	1.265765e-07	0.1	6.285062e-09	4.638913e-07	0.1	6.285062e-09	2.83305e-07	0.1	6.285062e-09	2.279914e-09	0.1	6.285062e-09	7.289721e-08	0.1	6.285062e-09	5.898047e-11	0.1
1.12347e-08	8.3670439411644e-06	0.1	1.12347e-08	5.888625e-117	0.1	1.12347e-08	5.888625e-117	0.1	1.12347e-08	3.253692e-10	0.1	1.12347e-08	5.888625e-117	0.1	1.12347e-08	5.888625e-117	0.1	1.12347e-08	5.888625e-117	0.1	1.12347e-08	2.17744e-07	0.1	1.12347e-08	7.980091e-07	0.1	1.12347e-08	4.873555e-07	0.1	1.12347e-08	3.922328e-09	0.1	1.12347e-08	1.254014e-07	0.1	1.12347e-08	1.014612e-10	0.1
1.935501e-08	7.3554843197298e-06	0.1	1.935501e-08	9.766869e-117	0.1	1.935501e-08	9.766869e-117	0.1	1.935501e-08	5.247221e-10	0.1	1.935501e-08	9.766869e-117	0.1	1.935501e-08	9.766869e-117	0.1	1.935501e-08	9.766869e-117	0.1	1.935501e-08	3.526397e-07	0.1	1.935501e-08	1.292379e-06	0.1	1.935501e-08	7.892741e-07	0.1	1.935501e-08	6.353069e-09	0.1	1.935501e-08	2.030883e-07	0.1	1.935501e-08	1.643169e-10	0.1
3.037824e-08	6.175119782171e-06	0.1	3.037824e-08	1.459641e-116	0.1	3.037824e-08	1.459641e-116	0.1	3.037824e-08	7.544169e-10	0.1	3.037824e-08	1.459641e-116	0.1	3.037824e-08	1.459641e-116	0.1	3.037824e-08	1.459641e-116	0.1	3.037824e-08	5.100507e-07	0.1	3.037824e-08	1.869247e-06	0.1	3.037824e-08	1.141575e-06	0.1	3.037824e-08	9.190559e-09	0.1	3.037824e-08	2.937393e-07	0.1	3.037824e-08	2.376617e-10	0.1
4.375647e-08	4.994023088529999e-06	0.1	4.375647e-08	1.98855e-116	0.1	4.375647e-08	1.98855e-116	0.1	4.375647e-08	9.798637e-10	0.1	4.375647e-08	1.98855e-116	0.1	4.375647e-08	1.98855e-116	0.1	4.375647e-08	1.98855e-116	0.1	4.375647e-08	6.675669e-07	0.1	4.375647e-08	2.446473e-06	0.1	4.375647e-08	1.494093e-06	0.1	4.375647e-08	1.20315e-08	0.1	4.375647e-08	3.844468e-07	0.1	4.375647e-08	3.110523e-10	0.1
5.772344e-08	4.001277978528e-06	0.1	5.772344e-08	2.48539e-116	0.1	5.772344e-08	2.48539e-116	0.1	5.772344e-08	1.164331e-09	0.1	5.772344e-08	2.48539e-116	0.1	5.772344e-08	2.48539e-116	0.1	5.772344e-08	2.48539e-116	0.1	5.772344e-08	7.999734e-07	0.1	5.772344e-08	2.931645e-06	0.1	5.772344e-08	1.790392e-06	0.1	5.772344e-08	1.442133e-08	0.1	5.772344e-08	4.606892e-07	0.1	5.772344e-08	3.727391e-10	0.1
7.169042e-08	3.205881140292e-06	0.1	7.169042e-08	2.936082e-116	0.1	7.169042e-08	2.936082e-116	0.1	7.169042e-08	1.307068e-09	0.1	7.169042e-08	2.936082e-116	0.1	7.169042e-08	2.936082e-116	0.1	7.169042e-08	2.936082e-116	0.1	7.169042e-08	9.060694e-07	0.1	7.169042e-08	3.320367e-06	0.1	7.169042e-08	2.027786e-06	0.1	7.169042e-08	1.633804e-08	0.1	7.169042e-08	5.217756e-07	0.1	7.169042e-08	4.221633e-10	0.1
8.56574e-08	2.5686013055596e-06	0.1	8.56574e-08	3.349098e-116	0.1	8.56574e-08	3.349098e-116	0.1	8.56574e-08	1.416439e-09	0.1	8.56574e-08	3.349098e-116	0.1	8.56574e-08	3.349098e-116	0.1	8.56574e-08	3.349098e-116	0.1	8.56574e-08	9.910854e-07	0.1	8.56574e-08	3.631812e-06	0.1	8.56574e-08	2.217985e-06	0.1	8.56574e-08	1.787566e-08	0.1	8.56574e-08	5.707187e-07	0.1	8.56574e-08	4.617624e-10	0.1
9.962438e-08	2.0580051610482e-06	0.1	9.962438e-08	3.731234e-116	0.1	9.962438e-08	3.731234e-116	0.1	9.962438e-08	1.499142e-09	0.1	9.962438e-08	3.731234e-116	0.1	9.962438e-08	3.731234e-116	0.1	9.962438e-08	3.731234e-116	0.1	9.962438e-08	1.059212e-06	0.1	9.962438e-08	3.881341e-06	0.1	9.962438e-08	2.37037e-06	0.1	9.962438e-08	1.910953e-08	0.1	9.962438e-08	6.099326e-07	0.1	9.962438e-08	4.934897e-10	0.1
1.152883e-07	1.6051024655711999e-06	0.1	1.152883e-07	4.129775e-116	0.1	1.152883e-07	4.129775e-116	0.1	1.152883e-07	1.566772e-09	0.1	1.152883e-07	4.129775e-116	0.1	1.152883e-07	4.129775e-116	0.1	1.152883e-07	4.129775e-116	0.1	1.152883e-07	1.119655e-06	0.1	1.152883e-07	4.102671e-06	0.1	1.152883e-07	2.505532e-06	0.1	1.152883e-07	2.020621e-08	0.1	1.152883e-07	6.447156e-07	0.1	1.152883e-07	5.216319e-10	0.1
1.320836e-07	1.2296008830688e-06	0.1	1.320836e-07	4.528462e-116	0.1	1.320836e-07	4.528462e-116	0.1	1.320836e-07	1.616282e-09	0.1	1.320836e-07	4.528462e-116	0.1	1.320836e-07	4.528462e-116	0.1	1.320836e-07	4.528462e-116	0.1	1.320836e-07	1.169783e-06	0.1	1.320836e-07	4.28617e-06	0.1	1.320836e-07	2.617589e-06	0.1	1.320836e-07	2.111801e-08	0.1	1.320836e-07	6.735544e-07	0.1	1.320836e-07	5.449646e-10	0.1
1.488788e-07	9.419488084341199e-07	0.1	1.488788e-07	4.903194e-116	0.1	1.488788e-07	4.903194e-116	0.1	1.488788e-07	1.647544e-09	0.1	1.488788e-07	4.903194e-116	0.1	1.488788e-07	4.903194e-116	0.1	1.488788e-07	4.903194e-116	0.1	1.488788e-07	1.2082e-06	0.1	1.488788e-07	4.426733e-06	0.1	1.488788e-07	2.703425e-06	0.1	1.488788e-07	2.181909e-08	0.1	1.488788e-07	6.956463e-07	0.1	1.488788e-07	5.628384e-10	0.1
1.656741e-07	7.2159327298104e-07	0.1	1.656741e-07	5.258467e-116	0.1	1.656741e-07	5.258467e-116	0.1	1.656741e-07	1.664935e-09	0.1	1.656741e-07	5.258467e-116	0.1	1.656741e-07	5.258467e-116	0.1	1.656741e-07	5.258467e-116	0.1	1.656741e-07	1.237645e-06	0.1	1.656741e-07	4.534406e-06	0.1	1.656741e-07	2.769172e-06	0.1	1.656741e-07	2.23587e-08	0.1	1.656741e-07	7.125699e-07	0.1	1.656741e-07	5.765306e-10	0.1
1.831714e-07	5.466669397868e-07	0.1	1.831714e-07	5.611616e-116	0.1	1.831714e-07	5.611616e-116	0.1	1.831714e-07	1.671903e-09	0.1	1.831714e-07	5.611616e-116	0.1	1.831714e-07	5.611616e-116	0.1	1.831714e-07	5.611616e-116	0.1	1.831714e-07	1.261037e-06	0.1	1.831714e-07	4.619874e-06	0.1	1.831714e-07	2.821358e-06	0.1	1.831714e-07	2.278973e-08	0.1	1.831714e-07	7.260046e-07	0.1	1.831714e-07	5.873998e-10	0.1
