Batch	m_SP	12	N7a_L	N1b	N1c	N1a	N_2	N3	N4	N5	N6	Flvln	Nphln	Azln																					
0.0	1.000000034	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
5.91781e-14	0.99999996084237	0.1	5.91781e-14	1.967745e-12	0.1	5.91781e-14	4.127539e-13	0.1	5.91781e-14	1.211651e-12	0.1	5.91781e-14	1.568654e-14	0.1	5.91781e-14	1.439794e-09	0.1	5.91781e-14	2.881396e-11	0.1	5.91781e-14	7.746901e-11	0.1	5.91781e-14	1.384383e-11	0.1	5.91781e-14	3.955894e-12	0.1	5.91781e-14	1.350107e-09	0.1	5.91781e-14	1.01618e-08	0.1
4.021719e-13	0.9999998817928599	0.1	4.021719e-13	1.338948e-11	0.1	4.021719e-13	2.785639e-12	0.1	4.021719e-13	8.217216e-12	0.1	4.021719e-13	1.25527e-13	0.1	4.021719e-13	7.80788e-09	0.1	4.021719e-13	1.203894e-10	0.1	4.021719e-13	5.531298e-10	0.1	4.021719e-13	8.295618e-11	0.1	4.021719e-13	2.68843e-11	0.1	4.021719e-13	9.175778e-09	0.1	4.021719e-13	6.905916e-08	0.1
6.866537e-13	0.9999996777294	0.1	6.866537e-13	2.288419e-11	0.1	6.866537e-13	4.728826e-12	0.1	6.866537e-13	1.400561e-11	0.1	6.866537e-13	2.410122e-13	0.1	6.866537e-13	1.120866e-08	0.1	6.866537e-13	1.495894e-10	0.1	6.866537e-13	9.726567e-10	0.1	6.866537e-13	1.277164e-10	0.1	6.866537e-13	4.590157e-11	0.1	6.866537e-13	1.566705e-08	0.1	6.866537e-13	1.179091e-07	0.1
1.207564e-12	0.9999994987602001	0.1	1.207564e-12	4.031918e-11	0.1	1.207564e-12	8.229336e-12	0.1	1.207564e-12	2.455306e-11	0.1	1.207564e-12	5.093718e-13	0.1	1.207564e-12	1.482173e-08	0.1	1.207564e-12	1.70529e-10	0.1	1.207564e-12	1.775041e-09	0.1	1.207564e-12	1.868864e-10	0.1	1.207564e-12	8.072433e-11	0.1	1.207564e-12	2.755438e-08	0.1	1.207564e-12	2.073574e-07	0.1
1.805094e-12	0.9999992827065999	0.1	1.805094e-12	6.039552e-11	0.1	1.805094e-12	1.215466e-11	0.1	1.805094e-12	3.657043e-11	0.1	1.805094e-12	9.070502e-13	0.1	1.805094e-12	1.674008e-08	0.1	1.805094e-12	1.787526e-10	0.1	1.805094e-12	2.724115e-09	0.1	1.805094e-12	2.29069e-10	0.1	1.805094e-12	1.2067e-10	0.1	1.805094e-12	4.119202e-08	0.1	1.805094e-12	3.099627e-07	0.1
2.543036e-12	0.9999989463114	0.1	2.543036e-12	8.529942e-11	0.1	2.543036e-12	1.687284e-11	0.1	2.543036e-12	5.129291e-11	0.1	2.543036e-12	1.529146e-12	0.1	2.543036e-12	1.769378e-08	0.1	2.543036e-12	1.824492e-10	0.1	2.543036e-12	3.913824e-09	0.1	2.543036e-12	2.580782e-10	0.1	2.543036e-12	1.700035e-10	0.1	2.543036e-12	5.803678e-08	0.1	2.543036e-12	4.36679e-07	0.1
3.485457e-12	0.9999986137964	0.1	3.485457e-12	1.17274e-10	0.1	3.485457e-12	2.269657e-11	0.1	3.485457e-12	6.990667e-11	0.1	3.485457e-12	2.531112e-12	0.1	3.485457e-12	1.808913e-08	0.1	3.485457e-12	1.839741e-10	0.1	3.485457e-12	5.442364e-09	0.1	3.485457e-12	2.755269e-10	0.1	3.485457e-12	2.330088e-10	0.1	3.485457e-12	7.955269e-08	0.1	3.485457e-12	5.985074e-07	0.1
4.78383e-12	0.9999981284613	0.1	4.78383e-12	1.616226e-10	0.1	4.78383e-12	3.036377e-11	0.1	4.78383e-12	9.521161e-11	0.1	4.78383e-12	4.28573e-12	0.1	4.78383e-12	1.822046e-08	0.1	4.78383e-12	1.845227e-10	0.1	4.78383e-12	7.550569e-09	0.1	4.78383e-12	2.842697e-10	0.1	4.78383e-12	3.198144e-10	0.1	4.78383e-12	1.092013e-07	0.1	4.78383e-12	8.214586e-07	0.1
6.575086e-12	0.9999974382669999	0.1	6.575086e-12	2.233353e-10	0.1	6.575086e-12	4.030005e-11	0.1	6.575086e-12	1.29494e-10	0.1	6.575086e-12	7.400664e-12	0.1	6.575086e-12	1.825524e-08	0.1	6.575086e-12	1.847218e-10	0.1	6.575086e-12	1.045489e-08	0.1	6.575086e-12	2.872347e-10	0.1	6.575086e-12	4.395789e-10	0.1	6.575086e-12	1.501157e-07	0.1	6.575086e-12	1.129046e-06	0.1
