Batch	m_SP	5	Azln	N1a_L	N7a_L	Nphln	Flvln							
4.042207e-11	9.82733272569e-06	0.1	4.042207e-11	5.860517200000001e-11	0.1	4.042207e-11	1.7228543e-07	0.1	4.042207e-11	1.244754e-11	0.1	4.042207e-11	1.144399e-12	0.1
8.174565e-11	9.65399545908e-06	0.1	8.174565e-11	1.174721577e-10	0.1	8.174565e-11	3.4539e-07	0.1	8.174565e-11	4.600048e-11	0.1	8.174565e-11	2.294406e-12	0.1
1.533879e-10	9.360694392120002e-06	0.1	1.533879e-10	2.170794169e-10	0.1	1.533879e-10	6.3831361e-07	0.1	1.533879e-10	1.424407e-10	0.1	1.533879e-10	4.240488e-12	0.1
2.727917e-10	8.89152908382e-06	0.1	2.727917e-10	3.7641219100000003e-10	0.1	2.727917e-10	1.10691283e-06	0.1	2.727917e-10	3.748062e-10	0.1	2.727917e-10	7.353827e-12	0.1
4.500635e-10	8.23800261915e-06	0.1	4.500635e-10	5.98355245e-10	0.1	4.500635e-10	1.759696e-06	0.1	4.500635e-10	8.013709e-10	0.1	4.500635e-10	1.169104e-11	0.1
6.273354e-10	7.632511674119999e-06	0.1	6.273354e-10	8.03985486e-10	0.1	6.273354e-10	2.3645281e-06	0.1	6.273354e-10	1.256353e-09	0.1	6.273354e-10	1.570975e-11	0.1
8.421222e-10	6.9581964173400005e-06	0.1	8.421222e-10	1.0329888809999999e-09	0.1	8.421222e-10	3.0381232e-06	0.1	8.421222e-10	1.796483e-09	0.1	8.421222e-10	2.018541e-11	0.1
1.117744e-09	6.17942520513e-06	0.1	1.117744e-09	1.2974663479999998e-09	0.1	1.117744e-09	3.8160716e-06	0.1	1.117744e-09	2.439845e-09	0.1	1.117744e-09	2.535446e-11	0.1
1.484619e-09	5.27634123606e-06	0.1	1.484619e-09	1.6041617719999999e-09	0.1	1.484619e-09	4.7182055e-06	0.1	1.484619e-09	3.195447e-09	0.1	1.484619e-09	3.134868e-11	0.1
1.916444e-09	4.38097018986e-06	0.1	1.916444e-09	1.9082379549999997e-09	0.1	1.916444e-09	5.6126360999999995e-06	0.1	1.916444e-09	3.947434e-09	0.1	1.916444e-09	3.729172e-11	0.1
2.364506e-09	3.61219287771e-06	0.1	2.364506e-09	2.169321265e-09	0.1	2.364506e-09	6.380606600000001e-06	0.1	2.364506e-09	4.593599e-09	0.1	2.364506e-09	4.23945e-11	0.1
2.812568e-09	2.97832121649e-06	0.1	2.812568e-09	2.3845893520000004e-09	0.1	2.812568e-09	7.0138126000000005e-06	0.1	2.812568e-09	5.12644e-09	0.1	2.812568e-09	4.660183e-11	0.1
3.315377e-09	2.39846301513e-06	0.1	3.315377e-09	2.581514539e-09	0.1	3.315377e-09	7.5930618e-06	0.1	3.315377e-09	5.613887e-09	0.1	3.315377e-09	5.045066e-11	0.1
3.854685e-09	1.9013769860400001e-06	0.1	3.854685e-09	2.750329392e-09	0.1	3.854685e-09	8.0896269e-06	0.1	3.854685e-09	6.031753e-09	0.1	3.854685e-09	5.375007e-11	0.1
4.393993e-09	1.50731392671e-06	0.1	4.393993e-09	2.884156831e-09	0.1	4.393993e-09	8.4832759e-06	0.1	4.393993e-09	6.363016e-09	0.1	4.393993e-09	5.636568e-11	0.1
4.9333e-09	1.19492005068e-06	0.1	4.9333e-09	2.990247958e-09	0.1	4.9333e-09	8.7953418e-06	0.1	4.9333e-09	6.625624e-09	0.1	4.9333e-09	5.843919e-11	0.1
5.472608e-09	9.47270827197e-07	0.1	5.472608e-09	3.074352376e-09	0.1	5.472608e-09	9.0427307e-06	0.1	5.472608e-09	6.833806e-09	0.1	5.472608e-09	6.008297e-11	0.1
6.079295e-09	7.294706052210001e-07	0.1	6.079295e-09	3.148318855e-09	0.1	6.079295e-09	9.2603031e-06	0.1	6.079295e-09	7.016896e-09	0.1	6.079295e-09	6.152862e-11	0.1
6.730902e-09	5.50985590089e-07	0.1	6.730902e-09	3.208934673e-09	0.1	6.730902e-09	9.4386009e-06	0.1	6.730902e-09	7.166937e-09	0.1	6.730902e-09	6.271332e-11	0.1
7.382508e-09	4.16171938239e-07	0.1	7.382508e-09	3.2547179019999997e-09	0.1	7.382508e-09	9.5732721e-06	0.1	7.382508e-09	7.280265e-09	0.1	7.382508e-09	6.360815e-11	0.1
8.034114e-09	3.1434405652800004e-07	0.1	8.034114e-09	3.289300303e-09	0.1	8.034114e-09	9.6749931e-06	0.1	8.034114e-09	7.365865e-09	0.1	8.034114e-09	6.428404e-11	0.1
8.740583e-09	2.31887281104e-07	0.1	8.740583e-09	3.317303415e-09	0.1	8.740583e-09	9.7573632e-06	0.1	8.740583e-09	7.435181e-09	0.1	8.740583e-09	6.483134e-11	0.1
9.529346e-09	1.65104048943e-07	0.1	9.529346e-09	3.339982796e-09	0.1	9.529346e-09	9.8240765e-06	0.1	9.529346e-09	7.491321e-09	0.1	9.529346e-09	6.527462e-11	0.1
1.031811e-08	1.1755422444600001e-07	0.1	1.031811e-08	3.35613113e-09	0.1	1.031811e-08	9.871577100000001e-06	0.1	1.031811e-08	7.531293e-09	0.1	1.031811e-08	6.559023e-11	0.1
