Batch	m_SP	7	W3	R	W4_L	P1	P2_L	P3	P4											
1.40675e-06	0.2582602	0.1	1.40675e-06	0.0002848402	0.1	1.40675e-06	0.0004584278	0.1	1.40675e-06	0.1756748	0.1	1.40675e-06	0.00206659413	0.1	1.40675e-06	0.0003663067	0.1	1.40675e-06	0.1922369	0.1
1.60113e-06	0.2217276	0.1	1.60113e-06	0.0002988677	0.1	1.60113e-06	0.0004810044	0.1	1.60113e-06	0.1843305	0.1	1.60113e-06	0.00216836778	0.1	1.60113e-06	0.0003843462	0.1	1.60113e-06	0.201704	0.1
1.79551e-06	0.1911471	0.1	1.79551e-06	0.0003106097	0.1	1.79551e-06	0.0004999026	0.1	1.79551e-06	0.191576	0.1	1.79551e-06	0.0022535598399999997	0.1	1.79551e-06	0.0003994465	0.1	1.79551e-06	0.2096286	0.1
1.989891e-06	0.1653545	0.1	1.989891e-06	0.0003205133	0.1	1.989891e-06	0.000515842	0.1	1.989891e-06	0.197687	0.1	1.989891e-06	0.0023254128	0.1	1.989891e-06	0.0004121827	0.1	1.989891e-06	0.2163125	0.1
2.184271e-06	0.1434611	0.1	2.184271e-06	0.0003289198	0.1	2.184271e-06	0.0005293718	0.1	2.184271e-06	0.2028743	0.1	2.184271e-06	0.0023864041000000004	0.1	2.184271e-06	0.0004229935	0.1	2.184271e-06	0.2219859	0.1
2.378651e-06	0.1247765	0.1	2.378651e-06	0.0003360941	0.1	2.378651e-06	0.0005409186	0.1	2.378651e-06	0.2073012	0.1	2.378651e-06	0.0024384560000000003	0.1	2.378651e-06	0.0004322198	0.1	2.378651e-06	0.2268279	0.1
2.573031e-06	0.1087566	0.1	2.573031e-06	0.0003422453	0.1	2.573031e-06	0.0005508186	0.1	2.573031e-06	0.2110968	0.1	2.573031e-06	0.0024830844999999997	0.1	2.573031e-06	0.0004401302	0.1	2.573031e-06	0.2309793	0.1
2.767411e-06	0.09496696	0.1	2.767411e-06	0.0003475402	0.1	2.767411e-06	0.0005593404	0.1	2.767411e-06	0.214364	0.1	2.767411e-06	0.0025215001	0.1	2.767411e-06	0.0004469394	0.1	2.767411e-06	0.2345527	0.1
2.961791e-06	0.0830566	0.1	2.961791e-06	0.0003521134	0.1	2.961791e-06	0.0005667008	0.1	2.961791e-06	0.217186	0.1	2.961791e-06	0.002554681	0.1	2.961791e-06	0.0004528206	0.1	2.961791e-06	0.2376392	0.1
3.156171e-06	0.07273912	0.1	3.156171e-06	0.000356075	0.1	3.156171e-06	0.0005730769	0.1	3.156171e-06	0.2196305	0.1	3.156171e-06	0.0025834236000000003	0.1	3.156171e-06	0.0004579153	0.1	3.156171e-06	0.2403128	0.1
3.350552e-06	0.06377869	0.1	3.350552e-06	0.0003595156	0.1	3.350552e-06	0.0005786143	0.1	3.350552e-06	0.2217535	0.1	3.350552e-06	0.002608385	0.1	3.350552e-06	0.0004623399	0.1	3.350552e-06	0.2426348	0.1
3.544932e-06	0.0559796	0.1	3.544932e-06	0.0003625102	0.1	3.544932e-06	0.000583434	0.1	3.544932e-06	0.2236013	0.1	3.544932e-06	0.0026301122999999997	0.1	3.544932e-06	0.000466191	0.1	3.544932e-06	0.2446559	0.1
