Batch	m_SP	2	Pr1	W1	
8.852489000000e+17	9.894361055400e-06	1.000000000000e-01	8.852489000000e+17	1.048563000000e-07	1.000000000000e-01
1.759504000000e+18	9.791236086660e-06	1.000000000000e-01	1.759504000000e+18	2.079905000000e-07	1.000000000000e-01
3.508014000000e+18	9.588199117050e-06	1.000000000000e-01	3.508014000000e+18	4.110453000000e-07	1.000000000000e-01
6.505461000000e+18	9.249883500240e-06	1.000000000000e-01	6.505461000000e+18	7.493913000000e-07	1.000000000000e-01
1.150120000000e+19	8.712342875700e-06	1.000000000000e-01	1.150120000000e+19	1.286980000000e-06	1.000000000000e-01
2.055044000000e+19	7.816933829880e-06	1.000000000000e-01	2.055044000000e+19	2.182469000000e-06	1.000000000000e-01
3.399482000000e+19	6.653689462440e-06	1.000000000000e-01	3.399482000000e+19	3.345817000000e-06	1.000000000000e-01
4.853799000000e+19	5.589459104850e-06	1.000000000000e-01	4.853799000000e+19	4.410142000000e-06	1.000000000000e-01
6.773967000000e+19	4.440489594660e-06	1.000000000000e-01	6.773967000000e+19	5.559214000000e-06	1.000000000000e-01
9.004704000000e+19	3.398818011480e-06	1.000000000000e-01	9.004704000000e+19	6.600979000000e-06	1.000000000000e-01
1.123544000000e+20	2.601505984680e-06	1.000000000000e-01	1.123544000000e+20	7.398362000000e-06	1.000000000000e-01
1.346618000000e+20	1.991232087480e-06	1.000000000000e-01	1.346618000000e+20	8.008691000000e-06	1.000000000000e-01
1.569691000000e+20	1.524118758660e-06	1.000000000000e-01	1.569691000000e+20	8.475845000000e-06	1.000000000000e-01
1.792765000000e+20	1.166583334050e-06	1.000000000000e-01	1.792765000000e+20	8.833413000000e-06	1.000000000000e-01
2.015839000000e+20	8.929203707070e-07	1.000000000000e-01	2.015839000000e+20	9.107100000000e-06	1.000000000000e-01
2.238912000000e+20	6.834546653850e-07	1.000000000000e-01	2.238912000000e+20	9.316584000000e-06	1.000000000000e-01
2.461986000000e+20	5.231264686830e-07	1.000000000000e-01	2.461986000000e+20	9.476927000000e-06	1.000000000000e-01
2.712486000000e+20	3.874621253400e-07	1.000000000000e-01	2.712486000000e+20	9.612603000000e-06	1.000000000000e-01
2.981269000000e+20	2.807601923700e-07	1.000000000000e-01	2.981269000000e+20	9.719315000000e-06	1.000000000000e-01
3.250053000000e+20	2.034425655540e-07	1.000000000000e-01	3.250053000000e+20	9.796639000000e-06	1.000000000000e-01
3.518837000000e+20	1.474171258140e-07	1.000000000000e-01	3.518837000000e+20	9.852670000000e-06	1.000000000000e-01
