	T[K]	P2	P5
600 0.00061 0.99329
700 0.00303 0.99087
800 0.01135 0.98254
900 0.03341 0.96048
1000 0.07990 0.91397
1100 0.15488 0.83865
1200 0.26765 0.72583
1300 0.36365 0.63034
1400 0.46580 0.52809
1500 0.55579 0.43861
1600 0.63332 0.36110
1700 0.66857 0.32628
1800 0.70045 0.29488
1900 0.70766 0.28805
2000 0.71127 0.28446
2100 0.70870 0.28743
2200 0.70222 0.29391
2300 0.69338 0.30277
2400 0.68867 0.30784
2500 0.67691 0.31959
