	T[K]	P2	P5
600 0.00089 0.99634
700 0.00067 0.99668
800 0.00167 0.99574
900 0.00498 0.99241
1000 0.02622 0.97135
1100 0.03607 0.96158
1200 0.06686 0.93087
1300 0.12310 0.87470
1400 0.19556 0.79875
1500 0.28398 0.71076
1600 0.37615 0.61851
1700 0.45856 0.53607
1800 0.53489 0.46025
1900 0.58958 0.40598
2000 0.62924 0.36674
2100 0.64770 0.34832
2200 0.66179 0.33457
2300 0.66850 0.32821
2400 0.66559 0.33115
2500 0.66538 0.33165
