	T[K]	P2	P5
600 0.00001 0.99590
700 0.00011 0.99580
800 0.00036 0.99555
900 0.00060 0.99531
1000 0.00267 0.99326
1100 0.00365 0.99228
1200 0.00934 0.98660
1300 0.02729 0.96829
1400 0.04074 0.95485
1500 0.09352 0.90224
1600 0.12096 0.87480
1700 0.17792 0.81784
1800 0.25679 0.73885
1900 0.31839 0.67745
2000 0.38794 0.60785
2100 0.45176 0.54439
2200 0.50895 0.48767
2300 0.54745 0.44919
2400 0.57683 0.42015
2500 0.59680 0.40047
