	T[K]	P2	P5
600 0.01012 0.98379
700 0.02880 0.96511
800 0.06882 0.92509
900 0.15771 0.83588
1000 0.26237 0.73122
1100 0.38314 0.61039
1200 0.49982 0.49423
1300 0.59789 0.39615
1400 0.66606 0.32848
1500 0.71138 0.28360
1600 0.73205 0.26293
1700 0.74661 0.24883
1800 0.74575 0.25007
1900 0.73656 0.25930
2000 0.72949 0.26639
2100 0.72061 0.27563
2200 0.71300 0.28326
2300 0.69961 0.29701
2400 0.68802 0.30862
2500 0.67579 0.32087
