	T[K]	P2	P5
600 0.00601 0.98791
700 0.02365 0.97026
800 0.06920 0.92470
900 0.15052 0.84308
1000 0.25608 0.73753
1100 0.36851 0.62512
1200 0.46943 0.52423
1300 0.55586 0.43782
1400 0.61509 0.37863
1500 0.64861 0.34516
1600 0.66810 0.32571
1700 0.66847 0.32539
1800 0.66594 0.33247
1900 0.65534 0.34309
2000 0.64627 0.35219
2100 0.62997 0.36852
2200 0.61759 0.38093
2300 0.60010 0.39846
2400 0.58488 0.41370
2500 0.56953 0.42908
