	T[K]	P2	P5
600 0.00049 0.99673
700 0.00085 0.99649
800 0.00198 0.99543
900 0.00520 0.99219
1000 0.01379 0.98379
1100 0.03260 0.96506
1200 0.06707 0.93066
1300 0.12051 0.87730
1400 0.18718 0.80724
1500 0.26392 0.73056
1600 0.33946 0.65501
1700 0.40860 0.58589
1800 0.46633 0.52817
1900 0.50574 0.48878
2000 0.53499 0.45954
2100 0.54913 0.44541
2200 0.55834 0.43622
2300 0.55973 0.43483
2400 0.55509 0.43948
2500 0.55151 0.44307
