	T[K]	P2	P5
600 0.00111 0.99479
700 0.00125 0.99466
800 0.00137 0.99454
900 0.00160 0.99432
1000 0.00246 0.99346
1100 0.00494 0.99099
1200 0.01044 0.98513
1300 0.02192 0.97366
1400 0.04156 0.95402
1500 0.07217 0.92360
1600 0.11462 0.88118
1700 0.16680 0.82864
1800 0.22447 0.77138
1900 0.28437 0.71115
2000 0.33776 0.65780
2100 0.38476 0.61085
2200 0.42252 0.57316
2300 0.45048 0.54520
2400 0.47036 0.52537
2500 0.48200 0.51378
