Batch	m_SP	2	Pr1	W1	
1.132283000000e+16	9.864260356410e-06	1.000000000000e-01	1.132283000000e+16	7.724421000000e-08	1.000000000000e-01
1.499844000000e+16	9.820837790640e-06	1.000000000000e-01	1.499844000000e+16	1.161969000000e-07	1.000000000000e-01
1.867404000000e+16	9.777639222630e-06	1.000000000000e-01	1.867404000000e+16	1.571285000000e-07	1.000000000000e-01
2.283317000000e+16	9.729006708960e-06	1.000000000000e-01	2.283317000000e+16	2.045913000000e-07	1.000000000000e-01
2.731466000000e+16	9.676888230150e-06	1.000000000000e-01	2.731466000000e+16	2.562861000000e-07	1.000000000000e-01
3.259461000000e+16	9.615850840530e-06	1.000000000000e-01	3.259461000000e+16	3.173395000000e-07	1.000000000000e-01
3.855361000000e+16	9.547428524760e-06	1.000000000000e-01	3.855361000000e+16	3.860577000000e-07	1.000000000000e-01
4.523175000000e+16	9.471330285750e-06	1.000000000000e-01	4.523175000000e+16	4.626174000000e-07	1.000000000000e-01
5.366695000000e+16	9.376076238300e-06	1.000000000000e-01	5.366695000000e+16	5.585107000000e-07	1.000000000000e-01
6.384562000000e+16	9.262409374980e-06	1.000000000000e-01	6.384562000000e+16	6.729650000000e-07	1.000000000000e-01
7.621824000000e+16	9.126096738120e-06	1.000000000000e-01	7.621824000000e+16	8.102290000000e-07	1.000000000000e-01
9.271731000000e+16	8.947437524730e-06	1.000000000000e-01	9.271731000000e+16	9.901364000000e-07	1.000000000000e-01
1.214413000000e+17	8.644706552070e-06	1.000000000000e-01	1.214413000000e+17	1.294983000000e-06	1.000000000000e-01
1.722897000000e+17	8.133696662220e-06	1.000000000000e-01	1.722897000000e+17	1.809565000000e-06	1.000000000000e-01
2.472163000000e+17	7.435238646870e-06	1.000000000000e-01	2.472163000000e+17	2.512903000000e-06	1.000000000000e-01
3.514484000000e+17	6.562221377130e-06	1.000000000000e-01	3.514484000000e+17	3.392021000000e-06	1.000000000000e-01
5.047049000000e+17	5.461271386740e-06	1.000000000000e-01	5.047049000000e+17	4.500665000000e-06	1.000000000000e-01
6.579615000000e+17	4.545027549270e-06	1.000000000000e-01	6.579615000000e+17	5.423311000000e-06	1.000000000000e-01
8.790365000000e+17	3.487270126950e-06	1.000000000000e-01	8.790365000000e+17	6.488460000000e-06	1.000000000000e-01
1.100112000000e+18	2.675683242900e-06	1.000000000000e-01	1.100112000000e+18	7.305719000000e-06	1.000000000000e-01
1.321187000000e+18	2.052974470050e-06	1.000000000000e-01	1.321187000000e+18	7.932779000000e-06	1.000000000000e-01
1.542262000000e+18	1.575189247950e-06	1.000000000000e-01	1.542262000000e+18	8.413903000000e-06	1.000000000000e-01
1.763337000000e+18	1.208597913900e-06	1.000000000000e-01	1.763337000000e+18	8.783057000000e-06	1.000000000000e-01
1.984412000000e+18	9.273223266840e-07	1.000000000000e-01	1.984412000000e+18	9.066297000000e-06	1.000000000000e-01
2.205487000000e+18	7.115078848500e-07	1.000000000000e-01	2.205487000000e+18	9.283620000000e-06	1.000000000000e-01
2.426562000000e+18	5.459197407480e-07	1.000000000000e-01	2.426562000000e+18	9.450365000000e-06	1.000000000000e-01
2.675060000000e+18	4.053276466830e-07	1.000000000000e-01	2.675060000000e+18	9.591940000000e-06	1.000000000000e-01
2.941841000000e+18	2.944213557570e-07	1.000000000000e-01	2.941841000000e+18	9.703621000000e-06	1.000000000000e-01
3.208621000000e+18	2.138614613640e-07	1.000000000000e-01	3.208621000000e+18	9.784744000000e-06	1.000000000000e-01
3.475402000000e+18	1.553444465400e-07	1.000000000000e-01	3.475402000000e+18	9.843670000000e-06	1.000000000000e-01
3.796681000000e+18	1.057052429370e-07	1.000000000000e-01	3.796681000000e+18	9.893656000000e-06	1.000000000000e-01
