Batch	m_SP	5	Pr3	W1	W2	Pr1	Pr2							
3.821051e-11	9.75366546237e-06	0.1	3.821051e-11	2.351211e-07	0.1	3.821051e-11	2.012039e-09	0.1	3.821051e-11	4.656432e-09	0.1	3.821051e-11	4.44948e-09	0.1
8.199086e-11	9.478983209220001e-06	0.1	8.199086e-11	4.974067e-07	0.1	8.199086e-11	4.256537e-09	0.1	8.199086e-11	9.850842e-09	0.1	8.199086e-11	9.413027e-09	0.1
1.827977e-10	8.87556324348e-06	0.1	1.827977e-10	1.073593e-06	0.1	1.827977e-10	9.187226e-09	0.1	1.827977e-10	2.126187e-08	0.1	1.827977e-10	2.031689e-08	0.1
3.6425e-10	7.884558365156199e-06	0.1	3.6425e-10	2.019871e-06	0.1	3.6425e-10	1.728496e-08	0.1	3.6425e-10	4.000233e-08	0.1	3.6425e-10	3.822445e-08	0.1
5.955098e-10	6.7802365189195e-06	0.1	5.955098e-10	3.074352e-06	0.1	5.955098e-10	2.630864e-08	0.1	5.955098e-10	6.08857e-08	0.1	5.955098e-10	5.817967e-08	0.1
8.465336e-10	5.7558792894324e-06	0.1	8.465336e-10	4.052477e-06	0.1	8.465336e-10	3.46789e-08	0.1	8.465336e-10	8.025688e-08	0.1	8.465336e-10	7.668991e-08	0.1
1.13869e-09	4.756886479263e-06	0.1	1.13869e-09	5.006384e-06	0.1	1.13869e-09	4.284191e-08	0.1	1.13869e-09	9.914843e-08	0.1	1.13869e-09	9.474183e-08	0.1
1.458268e-09	3.8615646116392e-06	0.1	1.458268e-09	5.861298e-06	0.1	1.458268e-09	5.01578e-08	0.1	1.458268e-09	1.160795e-07	0.1	1.458268e-09	1.109204e-07	0.1
1.777846e-09	3.1347557116836e-06	0.1	1.777846e-09	6.555303e-06	0.1	1.777846e-09	5.609673e-08	0.1	1.777846e-09	1.298239e-07	0.1	1.777846e-09	1.240539e-07	0.1
2.097425e-09	2.5447447888586998e-06	0.1	2.097425e-09	7.118686e-06	0.1	2.097425e-09	6.091785e-08	0.1	2.097425e-09	1.409813e-07	0.1	2.097425e-09	1.347155e-07	0.1
2.442837e-09	2.0312530778778e-06	0.1	2.442837e-09	7.609003e-06	0.1	2.442837e-09	6.511371e-08	0.1	2.442837e-09	1.506917e-07	0.1	2.442837e-09	1.439943e-07	0.1
2.827e-09	1.5808947166167e-06	0.1	2.827e-09	8.039036e-06	0.1	2.827e-09	6.87937e-08	0.1	2.827e-09	1.592083e-07	0.1	2.827e-09	1.521324e-07	0.1
3.211164e-09	1.23038732688e-06	0.1	3.211164e-09	8.373724e-06	0.1	3.211164e-09	7.165778e-08	0.1	3.211164e-09	1.658366e-07	0.1	3.211164e-09	1.584661e-07	0.1
3.595327e-09	9.5759253669528e-07	0.1	3.595327e-09	8.634207e-06	0.1	3.595327e-09	7.388685e-08	0.1	3.595327e-09	1.709953e-07	0.1	3.595327e-09	1.633955e-07	0.1
3.979491e-09	7.452803235335999e-07	0.1	3.979491e-09	8.836937e-06	0.1	3.979491e-09	7.562171e-08	0.1	3.979491e-09	1.750102e-07	0.1	3.979491e-09	1.67232e-07	0.1
4.426999e-09	5.565554674196399e-07	0.1	4.426999e-09	9.017145e-06	0.1	4.426999e-09	7.716382e-08	0.1	4.426999e-09	1.785791e-07	0.1	4.426999e-09	1.706423e-07	0.1
4.890343e-09	4.1134822193400004e-07	0.1	4.890343e-09	9.155798e-06	0.1	4.890343e-09	7.835034e-08	0.1	4.890343e-09	1.813251e-07	0.1	4.890343e-09	1.732662e-07	0.1
5.353688e-09	3.0402613809528e-07	0.1	5.353688e-09	9.258277e-06	0.1	5.353688e-09	7.92273e-08	0.1	5.353688e-09	1.833546e-07	0.1	5.353688e-09	1.752055e-07	0.1
5.817032e-09	2.2470476304616e-07	0.1	5.817032e-09	9.334018e-06	0.1	5.817032e-09	7.987545e-08	0.1	5.817032e-09	1.848546e-07	0.1	5.817032e-09	1.766389e-07	0.1
6.375207e-09	1.5611377639984e-07	0.1	6.375207e-09	9.399513e-06	0.1	6.375207e-09	8.043593e-08	0.1	6.375207e-09	1.861517e-07	0.1	6.375207e-09	1.778783e-07	0.1
6.933381e-09	1.0846017200248e-07	0.1	6.933381e-09	9.445016e-06	0.1	6.933381e-09	8.082531e-08	0.1	6.933381e-09	1.870529e-07	0.1	6.933381e-09	1.787394e-07	0.1
