	T[K]	N7a	N7b	N7c
600 0.00000 0.99522 0.00323
700 0.00000 0.99537 0.00306
800 0.00000 0.99536 0.00294
900 0.00000 0.99562 0.00286
1000 0.00000 0.99583 0.00281
1100 0.00000 0.99529 0.00277
1200 0.00000 0.99583 0.00275
1300 0.00001 0.99576 0.00274
1400 0.00001 0.99566 0.00273
1500 0.00001 0.99592 0.00273
1600 0.00002 0.99589 0.00273
1700 0.00002 0.99591 0.00274
1800 0.00003 0.99580 0.00274
1900 0.00004 0.99587 0.00275
2000 0.00004 0.99588 0.00276
