	T[K]	W4	W5	W1
600 0.36060 0.58343 0.05319
700 0.36345 0.58081 0.05309
800 0.36469 0.58019 0.05253
900 0.36510 0.57975 0.05254
1000 0.36317 0.57970 0.05470
1100 0.35684 0.57990 0.06092
1200 0.34535 0.57814 0.07424
1300 0.32150 0.57337 0.10294
1400 0.41751 0.57680 0.00000
1500 0.00000 0.99474 0.00000
1600 0.00000 0.99466 0.00000
1700 0.00000 0.99463 0.00000
1800 0.00000 0.99514 0.00000
1900 0.00000 0.99556 0.00000
2000 0.00000 0.99598 0.00000
2100 0.00000 0.99601 0.00000
2200 0.00000 0.99636 0.00000
2300 0.00000 0.99671 0.00000
2400 0.00000 0.99674 0.00000
2500 0.00000 0.99703 0.00000
