	T[K]	W4	W5	W1
600 0.21769 0.75488 0.02333
700 0.25742 0.70459 0.03390
800 0.28979 0.66220 0.04392
900 0.31402 0.62982 0.05207
1000 0.33084 0.60677 0.05832
1100 0.34029 0.59219 0.06345
1200 0.34337 0.58342 0.06915
1300 0.34141 0.57705 0.07711
1400 0.33332 0.57363 0.08865
1500 0.31793 0.56972 0.10810
1600 0.28295 0.56549 0.14732
1700 0.44281 0.55295 0.00000
1800 0.00000 0.99565 0.00000
1900 0.00000 0.99584 0.00000
2000 0.00000 0.99579 0.00000
2100 0.00000 0.99615 0.00000
2200 0.00000 0.99662 0.00000
2300 0.00000 0.99664 0.00000
2400 0.00000 0.99698 0.00000
2500 0.00000 0.99726 0.00000
