	T[K]	W4	W5	W1
600 0.37745 0.58402 0.03243
700 0.37690 0.58454 0.03248
800 0.37547 0.58390 0.03453
900 0.36794 0.58298 0.04266
1000 0.34873 0.57775 0.06711
1100 0.39466 0.59888 0.00000
1200 0.00000 0.99404 0.00000
1300 0.00000 0.99404 0.00000
1400 0.00000 0.99454 0.00000
1500 0.00000 0.99498 0.00000
1600 0.00000 0.99498 0.00000
1700 0.00000 0.99544 0.00000
1800 0.00000 0.99582 0.00000
1900 0.00000 0.99586 0.00000
2000 0.00000 0.99588 0.00000
2100 0.00000 0.99624 0.00000
2200 0.33209 0.33209 0.33209
2300 0.33221 0.33221 0.33221
2400 0.33221 0.33221 0.33221
2500 0.33222 0.33222 0.33222
