Batch	m_SP	8	W1_L	R	P1	P2	P3	P4	P5	P6													
0.0	0.9999999	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
3.873577e-06	0.9999999799999999	0.1	3.873577e-06	0.0	0.1	3.873577e-06	0.0	0.1	3.873577e-06	0.0	0.1	3.873577e-06	0.0	0.1	3.873577e-06	0.0	0.1	3.873577e-06	0.0	0.1	3.873577e-06	0.0	0.1
0.0001190325	0.99999992	0.1	0.0001190325	0.0	0.1	0.0001190325	0.0	0.1	0.0001190325	0.0	0.1	0.0001190325	0.0	0.1	0.0001190325	0.0	0.1	0.0001190325	0.0	0.1	0.0001190325	0.0	0.1
0.000440486	0.9999999999999999	0.1	0.000440486	0.0	0.1	0.000440486	0.0	0.1	0.000440486	0.0	0.1	0.000440486	0.0	0.1	0.000440486	0.0	0.1	0.000440486	0.0	0.1	0.000440486	0.0	0.1
0.0008334482	0.9999999099999999	0.1	0.0008334482	0.0	0.1	0.0008334482	0.0	0.1	0.0008334482	0.0	0.1	0.0008334482	0.0	0.1	0.0008334482	0.0	0.1	0.0008334482	0.0	0.1	0.0008334482	0.0	0.1
0.001719053	0.99999997	0.1	0.001719053	0.0	0.1	0.001719053	0.0	0.1	0.001719053	0.0	0.1	0.001719053	0.0	0.1	0.001719053	0.0	0.1	0.001719053	0.0	0.1	0.001719053	0.0	0.1
0.002604658	0.9999999500000001	0.1	0.002604658	0.0	0.1	0.002604658	0.0	0.1	0.002604658	0.0	0.1	0.002604658	0.0	0.1	0.002604658	0.0	0.1	0.002604658	0.0	0.1	0.002604658	0.0	0.1
0.003984756	0.99999999	0.1	0.003984756	0.0	0.1	0.003984756	0.0	0.1	0.003984756	0.0	0.1	0.003984756	0.0	0.1	0.003984756	0.0	0.1	0.003984756	0.0	0.1	0.003984756	0.0	0.1
0.005633128	0.99999996	0.1	0.005633128	0.0	0.1	0.005633128	0.0	0.1	0.005633128	0.0	0.1	0.005633128	0.0	0.1	0.005633128	0.0	0.1	0.005633128	0.0	0.1	0.005633128	0.0	0.1
0.007460349	0.9999999599999999	0.1	0.007460349	0.0	0.1	0.007460349	0.0	0.1	0.007460349	0.0	0.1	0.007460349	0.0	0.1	0.007460349	0.0	0.1	0.007460349	0.0	0.1	0.007460349	0.0	0.1
0.009287571	1.0	0.1	0.009287571	0.0	0.1	0.009287571	0.0	0.1	0.009287571	0.0	0.1	0.009287571	0.0	0.1	0.009287571	0.0	0.1	0.009287571	0.0	0.1	0.009287571	0.0	0.1
0.01151603	0.99999997	0.1	0.01151603	0.0	0.1	0.01151603	0.0	0.1	0.01151603	0.0	0.1	0.01151603	0.0	0.1	0.01151603	0.0	0.1	0.01151603	0.0	0.1	0.01151603	0.0	0.1
