Batch	m_SP	16	T4a_L	C5H5	N1a	N1b	N1c	T1a	T1b	T1c	T1d	T1e	T1f	T2	T3	N7a	N7c	N7b																													
0.0	0.9999999223	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
9.701962e-14	1.0000000924	0.1	9.701962e-14	0.0	0.1	9.701962e-14	0.0	0.1	9.701962e-14	0.0	0.1	9.701962e-14	0.0	0.1	9.701962e-14	0.0	0.1	9.701962e-14	0.0	0.1	9.701962e-14	0.0	0.1	9.701962e-14	0.0	0.1	9.701962e-14	0.0	0.1	9.701962e-14	0.0	0.1	9.701962e-14	0.0	0.1	9.701962e-14	0.0	0.1	9.701962e-14	0.0	0.1	9.701962e-14	0.0	0.1	9.701962e-14	0.0	0.1
7.986252e-12	0.9999999255999998	0.1	7.986252e-12	0.0	0.1	7.986252e-12	0.0	0.1	7.986252e-12	0.0	0.1	7.986252e-12	0.0	0.1	7.986252e-12	0.0	0.1	7.986252e-12	0.0	0.1	7.986252e-12	0.0	0.1	7.986252e-12	0.0	0.1	7.986252e-12	0.0	0.1	7.986252e-12	0.0	0.1	7.986252e-12	0.0	0.1	7.986252e-12	0.0	0.1	7.986252e-12	0.0	0.1	7.986252e-12	0.0	0.1	7.986252e-12	0.0	0.1
2.896066e-11	1.0000001444	0.1	2.896066e-11	0.0	0.1	2.896066e-11	0.0	0.1	2.896066e-11	0.0	0.1	2.896066e-11	0.0	0.1	2.896066e-11	0.0	0.1	2.896066e-11	0.0	0.1	2.896066e-11	0.0	0.1	2.896066e-11	0.0	0.1	2.896066e-11	0.0	0.1	2.896066e-11	0.0	0.1	2.896066e-11	0.0	0.1	2.896066e-11	0.0	0.1	2.896066e-11	0.0	0.1	2.896066e-11	0.0	0.1	2.896066e-11	0.0	0.1
6.364336e-11	0.9999999345	0.1	6.364336e-11	0.0	0.1	6.364336e-11	0.0	0.1	6.364336e-11	0.0	0.1	6.364336e-11	0.0	0.1	6.364336e-11	0.0	0.1	6.364336e-11	0.0	0.1	6.364336e-11	0.0	0.1	6.364336e-11	0.0	0.1	6.364336e-11	0.0	0.1	6.364336e-11	0.0	0.1	6.364336e-11	0.0	0.1	6.364336e-11	0.0	0.1	6.364336e-11	0.0	0.1	6.364336e-11	0.0	0.1	6.364336e-11	0.0	0.1
1.251104e-10	0.9999999629000001	0.1	1.251104e-10	0.0	0.1	1.251104e-10	0.0	0.1	1.251104e-10	0.0	0.1	1.251104e-10	0.0	0.1	1.251104e-10	0.0	0.1	1.251104e-10	0.0	0.1	1.251104e-10	0.0	0.1	1.251104e-10	0.0	0.1	1.251104e-10	0.0	0.1	1.251104e-10	0.0	0.1	1.251104e-10	0.0	0.1	1.251104e-10	0.0	0.1	1.251104e-10	0.0	0.1	1.251104e-10	0.0	0.1	1.251104e-10	0.0	0.1
1.865775e-10	1.0000000947	0.1	1.865775e-10	0.0	0.1	1.865775e-10	0.0	0.1	1.865775e-10	0.0	0.1	1.865775e-10	0.0	0.1	1.865775e-10	0.0	0.1	1.865775e-10	0.0	0.1	1.865775e-10	0.0	0.1	1.865775e-10	0.0	0.1	1.865775e-10	0.0	0.1	1.865775e-10	0.0	0.1	1.865775e-10	0.0	0.1	1.865775e-10	0.0	0.1	1.865775e-10	0.0	0.1	1.865775e-10	0.0	0.1	1.865775e-10	0.0	0.1
2.840582e-10	0.9999999657000002	0.1	2.840582e-10	0.0	0.1	2.840582e-10	0.0	0.1	2.840582e-10	0.0	0.1	2.840582e-10	0.0	0.1	2.840582e-10	0.0	0.1	2.840582e-10	0.0	0.1	2.840582e-10	0.0	0.1	2.840582e-10	0.0	0.1	2.840582e-10	0.0	0.1	2.840582e-10	0.0	0.1	2.840582e-10	0.0	0.1	2.840582e-10	0.0	0.1	2.840582e-10	0.0	0.1	2.840582e-10	0.0	0.1	2.840582e-10	0.0	0.1
4.541439e-10	1.0000000463999998	0.1	4.541439e-10	0.0	0.1	4.541439e-10	0.0	0.1	4.541439e-10	0.0	0.1	4.541439e-10	0.0	0.1	4.541439e-10	0.0	0.1	4.541439e-10	0.0	0.1	4.541439e-10	0.0	0.1	4.541439e-10	0.0	0.1	4.541439e-10	0.0	0.1	4.541439e-10	0.0	0.1	4.541439e-10	0.0	0.1	4.541439e-10	0.0	0.1	4.541439e-10	0.0	0.1	4.541439e-10	0.0	0.1	4.541439e-10	0.0	0.1
6.971236e-10	0.9999999768	0.1	6.971236e-10	0.0	0.1	6.971236e-10	0.0	0.1	6.971236e-10	0.0	0.1	6.971236e-10	0.0	0.1	6.971236e-10	0.0	0.1	6.971236e-10	0.0	0.1	6.971236e-10	0.0	0.1	6.971236e-10	0.0	0.1	6.971236e-10	0.0	0.1	6.971236e-10	0.0	0.1	6.971236e-10	0.0	0.1	6.971236e-10	0.0	0.1	6.971236e-10	0.0	0.1	6.971236e-10	0.0	0.1	6.971236e-10	0.0	0.1
