Batch	m_SP	7	P2_L	W4_L	W3	R	P1	P3	P4											
1.595859e-09	9.833947333685502e-06	0.1	1.595859e-09	9.028587e-10	0.1	1.595859e-09	2.720074e-11	0.1	1.595859e-09	1.721363e-08	0.1	1.595859e-09	9.104363e-08	0.1	1.595859e-09	2.41178e-08	0.1	1.595859e-09	2.494533e-10	0.1
5.010906e-09	9.5551350268213e-06	0.1	5.010906e-09	2.79875e-09	0.1	5.010906e-09	8.438701e-11	0.1	5.010906e-09	5.356696e-08	0.1	5.010906e-09	2.821158e-07	0.1	5.010906e-09	7.302866e-08	0.1	5.010906e-09	7.748321e-10	0.1
1.141851e-08	9.056577524964501e-06	0.1	1.141851e-08	6.22726e-09	0.1	1.141851e-08	1.880367e-10	0.1	1.141851e-08	1.200201e-07	0.1	1.141851e-08	6.272835e-07	0.1	1.141851e-08	1.55481e-07	0.1	1.141851e-08	1.730292e-09	0.1
2.133387e-08	8.3436762759098e-06	0.1	2.133387e-08	1.121982e-08	0.1	2.133387e-08	3.395117e-10	0.1	2.133387e-08	2.184293e-07	0.1	2.133387e-08	1.129102e-06	0.1	2.133387e-08	2.616132e-07	0.1	2.133387e-08	3.134027e-09	0.1
3.507655e-08	7.4606321163863e-06	0.1	3.507655e-08	1.756194e-08	0.1	3.507655e-08	5.328587e-10	0.1	3.507655e-08	3.462416e-07	0.1	3.507655e-08	1.765272e-06	0.1	3.507655e-08	3.723444e-07	0.1	3.507655e-08	4.938479e-09	0.1
5.105245e-08	6.5664806241501e-06	0.1	5.105245e-08	2.417816e-08	0.1	5.105245e-08	7.356666e-10	0.1	5.105245e-08	4.829045e-07	0.1	5.105245e-08	2.427576e-06	0.1	5.105245e-08	4.588128e-07	0.1	5.105245e-08	6.846357e-09	0.1
6.909276e-08	5.7006898904475e-06	0.1	6.909276e-08	3.078869e-08	0.1	6.909276e-08	9.394243e-10	0.1	6.909276e-08	6.228135e-07	0.1	6.909276e-08	3.088208e-06	0.1	6.909276e-08	5.153274e-07	0.1	6.909276e-08	8.778607e-09	0.1
9.539066e-08	4.6601298919485e-06	0.1	9.539066e-08	3.902515e-08	0.1	9.539066e-08	1.194869e-09	0.1	9.539066e-08	8.017801e-07	0.1	9.539066e-08	3.910454e-06	0.1	9.539066e-08	5.437563e-07	0.1	9.539066e-08	1.122275e-08	0.1
1.216886e-07	3.826838413132e-06	0.1	1.216886e-07	4.586923e-08	0.1	1.216886e-07	1.408468e-09	0.1	1.216886e-07	9.543673e-07	0.1	1.216886e-07	4.593854e-06	0.1	1.216886e-07	5.319568e-07	0.1	1.216886e-07	1.328525e-08	0.1
1.479865e-07	3.15412375979232e-06	0.1	1.479865e-07	5.156367e-08	0.1	1.479865e-07	1.587142e-09	0.1	1.479865e-07	1.084003e-06	0.1	1.479865e-07	5.163539e-06	0.1	1.479865e-07	4.977528e-07	0.1	1.479865e-07	1.502422e-08	0.1
1.742844e-07	2.60731882198284e-06	0.1	1.742844e-07	5.630375e-08	0.1	1.742844e-07	1.736579e-09	0.1	1.742844e-07	1.193819e-06	0.1	1.742844e-07	5.639454e-06	0.1	1.742844e-07	4.524859e-07	0.1	1.742844e-07	1.648914e-08	0.1
2.005823e-07	2.16031852169425e-06	0.1	2.005823e-07	6.024836e-08	0.1	2.005823e-07	1.861493e-09	0.1	2.005823e-07	1.286621e-06	0.1	2.005823e-07	6.037635e-06	0.1	2.005823e-07	4.032124e-07	0.1	2.005823e-07	1.772215e-08	0.1
2.268802e-07	1.79319542711073e-06	0.1	2.268802e-07	6.352799e-08	0.1	2.268802e-07	1.965808e-09	0.1	2.268802e-07	1.364889e-06	0.1	2.268802e-07	6.371116e-06	0.1	2.268802e-07	3.541767e-07	0.1	2.268802e-07	1.875911e-08	0.1
2.531781e-07	1.49053661474415e-06	0.1	2.531781e-07	6.625059e-08	0.1	2.531781e-07	2.052808e-09	0.1	2.531781e-07	1.430786e-06	0.1	2.531781e-07	6.650585e-06	0.1	2.531781e-07	3.07798e-07	0.1	2.531781e-07	1.96305e-08	0.1
2.838843e-07	1.20273994121556e-06	0.1	2.838843e-07	6.884377e-08	0.1	2.838843e-07	2.136135e-09	0.1	2.838843e-07	1.494567e-06	0.1	2.838843e-07	6.920256e-06	0.1	2.838843e-07	2.586333e-07	0.1	2.838843e-07	2.047281e-08	0.1
3.156926e-07	9.6410342943743e-07	0.1	3.156926e-07	7.098311e-08	0.1	3.156926e-07	2.205378e-09	0.1	3.156926e-07	1.548245e-06	0.1	3.156926e-07	7.146839e-06	0.1	3.156926e-07	2.141004e-07	0.1	3.156926e-07	2.118116e-08	0.1
3.488088e-07	7.6642314973083e-07	0.1	3.488088e-07	7.273167e-08	0.1	3.488088e-07	2.262503e-09	0.1	3.488088e-07	1.593221e-06	0.1	3.488088e-07	7.336625e-06	0.1	3.488088e-07	1.746276e-07	0.1	3.488088e-07	2.177451e-08	0.1
3.871564e-07	5.879548900148e-07	0.1	3.871564e-07	7.427045e-08	0.1	3.871564e-07	2.31345e-09	0.1	3.871564e-07	1.63419e-06	0.1	3.871564e-07	7.509634e-06	0.1	3.871564e-07	1.369951e-07	0.1	3.871564e-07	2.231508e-08	0.1
