Batch	m_SP	2	Pr2	Pr1	
1.003003000000e+05	9.999900000000e-06	1.000000000000e-01	1.003003000000e+05	1.911481000000e-17	1.000000000000e-01
1.253226000000e+06	9.999900000000e-06	1.000000000000e-01	1.253226000000e+06	1.340179000000e-13	1.000000000000e-01
5.527805000000e+06	9.999899000010e-06	1.000000000000e-01	5.527805000000e+06	9.636368000000e-13	1.000000000000e-01
1.992000000000e+07	9.999896000040e-06	1.000000000000e-01	1.992000000000e+07	3.851222000000e-12	1.000000000000e-01
4.531298000000e+07	9.999891000090e-06	1.000000000000e-01	4.531298000000e+07	8.956423000000e-12	1.000000000000e-01
6.521422000000e+07	9.999887000130e-06	1.000000000000e-01	6.521422000000e+07	1.294643000000e-11	1.000000000000e-01
1.348686000000e+08	9.999873000270e-06	1.000000000000e-01	1.348686000000e+08	2.690934000000e-11	1.000000000000e-01
3.537823000000e+08	9.999829000710e-06	1.000000000000e-01	3.537823000000e+08	7.079438000000e-11	1.000000000000e-01
9.906221000000e+08	9.999701001990e-06	1.000000000000e-01	9.906221000000e+08	1.984561000000e-10	1.000000000000e-01
3.219562000000e+09	9.999254006460e-06	1.000000000000e-01	3.219562000000e+09	6.452115000000e-10	1.000000000000e-01
8.951120000000e+09	9.998107017930e-06	1.000000000000e-01	8.951120000000e+09	1.792957000000e-09	1.000000000000e-01
2.168792000000e+10	9.995569043310e-06	1.000000000000e-01	2.168792000000e+10	4.330577000000e-09	1.000000000000e-01
4.603659000000e+10	9.990826090740e-06	1.000000000000e-01	4.603659000000e+10	9.073621000000e-09	1.000000000000e-01
8.247356000000e+10	9.984210156900e-06	1.000000000000e-01	8.247356000000e+10	1.568921000000e-08	1.000000000000e-01
1.292574000000e+11	9.976958229420e-06	1.000000000000e-01	1.292574000000e+11	2.294206000000e-08	1.000000000000e-01
1.809246000000e+11	9.970815290850e-06	1.000000000000e-01	1.809246000000e+11	2.908413000000e-08	1.000000000000e-01
2.063710000000e+11	9.968480314200e-06	1.000000000000e-01	2.063710000000e+11	3.141954000000e-08	1.000000000000e-01
2.328188000000e+11	9.966477334230e-06	1.000000000000e-01	2.328188000000e+11	3.342252000000e-08	1.000000000000e-01
2.736082000000e+11	9.964106357940e-06	1.000000000000e-01	2.736082000000e+11	3.579361000000e-08	1.000000000000e-01
3.264247000000e+11	9.962033378670e-06	1.000000000000e-01	3.264247000000e+11	3.786680000000e-08	1.000000000000e-01
4.018639000000e+11	9.960348395520e-06	1.000000000000e-01	4.018639000000e+11	3.955111000000e-08	1.000000000000e-01
5.083260000000e+11	9.959310405900e-06	1.000000000000e-01	5.083260000000e+11	4.058951000000e-08	1.000000000000e-01
5.718980000000e+11	9.959042408580e-06	1.000000000000e-01	5.718980000000e+11	4.085762000000e-08	1.000000000000e-01
6.458397000000e+11	9.958880410200e-06	1.000000000000e-01	6.458397000000e+11	4.101921000000e-08	1.000000000000e-01
7.353361000000e+11	9.958791411090e-06	1.000000000000e-01	7.353361000000e+11	4.110876000000e-08	1.000000000000e-01
