Batch	m_SP	2	P4	W3	
6.643268000000e-14	9.823357765440e-06	1.000000000000e-01	6.643268000000e-14	1.765308000000e-07	1.000000000000e-01
1.577359000000e-13	9.585797141070e-06	1.000000000000e-01	1.577359000000e-13	4.140759000000e-07	1.000000000000e-01
3.486878000000e-13	9.107369925390e-06	1.000000000000e-01	3.486878000000e-13	8.924716000000e-07	1.000000000000e-01
6.942500000000e-13	8.301455984610e-06	1.000000000000e-01	6.942500000000e-13	1.698333000000e-06	1.000000000000e-01
1.211897000000e-12	7.225656742710e-06	1.000000000000e-01	1.211897000000e-12	2.774062000000e-06	1.000000000000e-01
1.825488000000e-12	6.129544703940e-06	1.000000000000e-01	1.825488000000e-12	3.870103000000e-06	1.000000000000e-01
2.472600000000e-12	5.153185467630e-06	1.000000000000e-01	2.472600000000e-12	4.846398000000e-06	1.000000000000e-01
3.253793000000e-12	4.179366205920e-06	1.000000000000e-01	3.253793000000e-12	5.820154000000e-06	1.000000000000e-01
4.034986000000e-12	3.389574103920e-06	1.000000000000e-01	4.034986000000e-12	6.609895000000e-06	1.000000000000e-01
4.816178000000e-12	2.749031509410e-06	1.000000000000e-01	4.816178000000e-12	7.250395000000e-06	1.000000000000e-01
5.597371000000e-12	2.229535704420e-06	1.000000000000e-01	5.597371000000e-12	7.769858000000e-06	1.000000000000e-01
6.536549000000e-12	1.733215667670e-06	1.000000000000e-01	6.536549000000e-12	8.266145000000e-06	1.000000000000e-01
7.475726000000e-12	1.347382526040e-06	1.000000000000e-01	7.475726000000e-12	8.651953000000e-06	1.000000000000e-01
8.414904000000e-12	1.047439525500e-06	1.000000000000e-01	8.414904000000e-12	8.951876000000e-06	1.000000000000e-01
9.354081000000e-12	8.142679572390e-07	1.000000000000e-01	9.354081000000e-12	9.185033000000e-06	1.000000000000e-01
1.037109000000e-11	6.199302006360e-07	1.000000000000e-01	1.037109000000e-11	9.379358000000e-06	1.000000000000e-01
1.150484000000e-11	4.574294256600e-07	1.000000000000e-01	1.150484000000e-11	9.541848000000e-06	1.000000000000e-01
1.263859000000e-11	3.375246247200e-07	1.000000000000e-01	1.263859000000e-11	9.661745000000e-06	1.000000000000e-01
1.377234000000e-11	2.490501094740e-07	1.000000000000e-01	1.377234000000e-11	9.750214000000e-06	1.000000000000e-01
1.504613000000e-11	1.769950300320e-07	1.000000000000e-01	1.504613000000e-11	9.822264000000e-06	1.000000000000e-01
1.641329000000e-11	1.226772732150e-07	1.000000000000e-01	1.641329000000e-11	9.876578000000e-06	1.000000000000e-01
