	T[K]	W4	W5	W1
600 0.37115 0.58136 0.04139
700 0.37146 0.58180 0.04064
800 0.37128 0.58189 0.04072
900 0.36824 0.58210 0.04354
1000 0.36023 0.58096 0.05267
1100 0.34137 0.57636 0.07582
1200 0.40373 0.58981 0.00000
1300 0.00000 0.99357 0.00000
1400 0.00000 0.99355 0.00000
1500 0.00000 0.99355 0.00000
1600 0.00000 0.99355 0.00000
1700 0.00000 0.99355 0.00000
1800 0.00000 0.99355 0.00000
1900 0.00000 0.99356 0.00000
2000 0.00000 0.99356 0.00000
2100 0.00000 0.99356 0.00000
2200 0.00000 0.99356 0.00000
2300 0.00000 0.99356 0.00000
2400 0.33119 0.33119 0.33119
2500 0.33119 0.33119 0.33119
