	T[K]	W4	W5	W1
600 0.37746 0.58402 0.03244
700 0.37686 0.58455 0.03251
800 0.37532 0.58388 0.03470
900 0.36741 0.58290 0.04329
1000 0.34686 0.57724 0.06951
1100 0.39415 0.59947 0.00000
1200 0.00000 0.99366 0.00000
1300 0.00000 0.99369 0.00000
1400 0.00000 0.99372 0.00000
1500 0.00000 0.99376 0.00000
1600 0.00000 0.99381 0.00000
1700 0.00000 0.99385 0.00000
1800 0.00000 0.99841 0.00000
1900 0.00000 0.99843 0.00000
2000 0.00000 0.99846 0.00000
2100 0.00000 0.99849 0.00000
2200 0.33284 0.33284 0.33284
2300 0.33285 0.33285 0.33285
2400 0.33286 0.33286 0.33286
2500 0.33287 0.33287 0.33287
