	T[K]	W4	W5	W1
600 0.21919 0.75329 0.02343
700 0.25844 0.70348 0.03399
800 0.29036 0.66156 0.04399
900 0.31436 0.62942 0.05213
1000 0.33075 0.60683 0.05835
1100 0.34031 0.59204 0.06358
1200 0.34300 0.58316 0.06941
1300 0.34063 0.57732 0.07763
1400 0.33220 0.57357 0.08981
1500 0.31512 0.56991 0.11075
1600 0.27722 0.56520 0.15338
1700 0.44402 0.55142 0.00000
1800 0.00000 0.99585 0.00000
1900 0.00000 0.99552 0.00000
2000 0.00000 0.99556 0.00000
2100 0.00000 0.99561 0.00000
2200 0.00000 0.99568 0.00000
2300 0.00000 0.99569 0.00000
2400 0.00000 0.99573 0.00000
2500 0.00000 0.99578 0.00000
