Batch	m_SP	21	N1a_L	C5H5	T1a	T1b	T1c	T1d	T1e	T1f	T2	T3	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h	N7a	N7c	N7b																																							
1.712018e-11	9.739115265897599e-06	0.1	1.712018e-11	3.659589e-07	0.1	1.712018e-11	1.42002e-09	0.1	1.712018e-11	1.026995e-08	0.1	1.712018e-11	1.738798e-08	0.1	1.712018e-11	1.740094e-08	0.1	1.712018e-11	1.658513e-08	0.1	1.712018e-11	1.430238e-08	0.1	1.712018e-11	2.908541e-11	0.1	1.712018e-11	2.750753e-10	0.1	1.712018e-11	9.235306e-12	0.1	1.712018e-11	1.235376e-11	0.1	1.712018e-11	3.474264e-12	0.1	1.712018e-11	7.651368e-13	0.1	1.712018e-11	3.708134e-13	0.1	1.712018e-11	1.122967e-11	0.1	1.712018e-11	3.031797e-13	0.1	1.712018e-11	8.523456e-14	0.1	1.712018e-11	7.609729e-15	0.1	1.712018e-11	9.104875e-14	0.1	1.712018e-11	2.133258e-14	0.1
3.6632e-11	9.450314209657199e-06	0.1	3.6632e-11	7.726803e-07	0.1	3.6632e-11	2.978321e-09	0.1	3.6632e-11	2.146951e-08	0.1	3.6632e-11	3.667852e-08	0.1	3.6632e-11	3.664296e-08	0.1	3.6632e-11	3.483189e-08	0.1	3.6632e-11	2.983174e-08	0.1	3.6632e-11	6.089977e-11	0.1	3.6632e-11	5.798156e-10	0.1	3.6632e-11	1.956771e-11	0.1	3.6632e-11	2.646409e-11	0.1	3.6632e-11	7.453e-12	0.1	3.6632e-11	1.629179e-12	0.1	3.6632e-11	7.96894e-13	0.1	3.6632e-11	2.391604e-11	0.1	3.6632e-11	6.464668e-13	0.1	3.6632e-11	1.799191e-13	0.1	3.6632e-11	3.437746e-14	0.1	3.6632e-11	4.101589e-13	0.1	3.6632e-11	9.640714e-14	0.1
8.188057e-11	8.813188681862401e-06	0.1	8.188057e-11	1.675095e-06	0.1	8.188057e-11	6.357337e-09	0.1	8.188057e-11	4.549809e-08	0.1	8.188057e-11	7.928833e-08	0.1	8.188057e-11	7.890851e-08	0.1	8.188057e-11	7.457292e-08	0.1	8.188057e-11	6.289498e-08	0.1	8.188057e-11	1.2948e-10	0.1	8.188057e-11	1.252e-09	0.1	8.188057e-11	4.278571e-11	0.1	8.188057e-11	5.927465e-11	0.1	8.188057e-11	1.67607e-11	0.1	8.188057e-11	3.606363e-12	0.1	8.188057e-11	1.803596e-12	0.1	8.188057e-11	5.290147e-11	0.1	8.188057e-11	1.43834e-12	0.1	8.188057e-11	3.91547e-13	0.1	8.188057e-11	1.665471e-13	0.1	8.188057e-11	1.974163e-12	0.1	8.188057e-11	4.674676e-13	0.1
1.62432e-10	7.78368186884e-06	0.1	1.62432e-10	3.150296e-06	0.1	1.62432e-10	1.162745e-08	0.1	1.62432e-10	8.22555e-08	0.1	1.62432e-10	1.480256e-07	0.1	1.62432e-10	1.463828e-07	0.1	1.62432e-10	1.370711e-07	0.1	1.62432e-10	1.127136e-07	0.1	1.62432e-10	2.351422e-10	0.1	1.62432e-10	2.337384e-09	0.1	1.62432e-10	8.181428e-11	0.1	1.62432e-10	1.177876e-10	0.1	1.62432e-10	3.362181e-11	0.1	1.62432e-10	7.068563e-12	0.1	1.62432e-10	3.685152e-12	0.1	1.62432e-10	1.031339e-10	0.1	1.62432e-10	2.861085e-12	0.1	1.62432e-10	7.521624e-13	0.1	1.62432e-10	6.208026e-13	0.1	1.62432e-10	7.274619e-12	0.1	1.62432e-10	1.745254e-12	0.1
2.632212e-10	6.6636617306336e-06	0.1	2.632212e-10	4.784369e-06	0.1	2.632212e-10	1.70458e-08	0.1	2.632212e-10	1.190851e-07	0.1	2.632212e-10	2.219498e-07	0.1	2.632212e-10	2.179117e-07	0.1	2.632212e-10	2.020698e-07	0.1	2.632212e-10	1.615113e-07	0.1	2.632212e-10	3.416504e-10	0.1	2.632212e-10	3.515701e-09	0.1	2.632212e-10	1.271275e-10	0.1	2.632212e-10	1.907356e-10	0.1	2.632212e-10	5.526625e-11	0.1	2.632212e-10	1.137931e-11	0.1	2.632212e-10	6.263393e-12	0.1	2.632212e-10	1.638426e-10	0.1	2.632212e-10	4.731268e-12	0.1	2.632212e-10	1.200182e-12	0.1	2.632212e-10	1.524789e-12	0.1	2.632212e-10	1.761682e-11	0.1	2.632212e-10	4.295439e-12	0.1
3.811283e-10	5.5568280785976e-06	0.1	3.811283e-10	6.43816e-06	0.1	3.811283e-10	2.199549e-08	0.1	3.811283e-10	1.517911e-07	0.1	3.811283e-10	2.929307e-07	0.1	3.811283e-10	2.854559e-07	0.1	3.811283e-10	2.622365e-07	0.1	3.811283e-10	2.036092e-07	0.1	3.811283e-10	4.36273e-10	0.1	3.811283e-10	4.674823e-09	0.1	3.811283e-10	1.761115e-10	0.1	3.811283e-10	2.750909e-10	0.1	3.811283e-10	8.137177e-11	0.1	3.811283e-10	1.65149e-11	0.1	3.811283e-10	9.693e-12	0.1	3.811283e-10	2.3231e-10	0.1	3.811283e-10	7.144463e-12	0.1	3.811283e-10	1.755359e-12	0.1	3.811283e-10	2.960398e-12	0.1	3.811283e-10	3.365468e-11	0.1	3.811283e-10	8.360481e-12	0.1
5.120177e-10	4.5427551712592e-06	0.1	5.120177e-10	7.999772e-06	0.1	5.120177e-10	2.606622e-08	0.1	5.120177e-10	1.778931e-07	0.1	5.120177e-10	3.545178e-07	0.1	5.120177e-10	3.429645e-07	0.1	5.120177e-10	3.124472e-07	0.1	5.120177e-10	2.360036e-07	0.1	5.120177e-10	5.111207e-10	0.1	5.120177e-10	5.727768e-09	0.1	5.120177e-10	2.264521e-10	0.1	5.120177e-10	3.669145e-10	0.1	5.120177e-10	1.113241e-10	0.1	5.120177e-10	2.246687e-11	0.1	5.120177e-10	1.413418e-11	0.1	5.120177e-10	3.056086e-10	0.1	5.120177e-10	1.021487e-11	0.1	5.120177e-10	2.446015e-12	0.1	5.120177e-10	4.914789e-12	0.1	5.120177e-10	5.49062e-11	0.1	5.120177e-10	1.39199e-11	0.1
6.948357e-10	3.4294378048723203e-06	0.1	6.948357e-10	9.789176e-06	0.1	6.948357e-10	2.981361e-08	0.1	6.948357e-10	2.010244e-07	0.1	6.948357e-10	4.151917e-07	0.1	6.948357e-10	3.982087e-07	0.1	6.948357e-10	3.595478e-07	0.1	6.948357e-10	2.631474e-07	0.1	6.948357e-10	5.756246e-10	0.1	6.948357e-10	6.863938e-09	0.1	6.948357e-10	2.912684e-10	0.1	6.948357e-10	4.912688e-10	0.1	6.948357e-10	1.547571e-10	0.1	6.948357e-10	3.141468e-11	0.1	6.948357e-10	2.162291e-11	0.1	6.948357e-10	4.039879e-10	0.1	6.948357e-10	1.534566e-11	0.1	6.948357e-10	3.586007e-12	0.1	6.948357e-10	8.07873e-12	0.1	6.948357e-10	8.816355e-11	0.1	6.948357e-10	2.297737e-11	0.1
8.776538e-10	2.5900156939008e-06	0.1	8.776538e-10	1.121904e-05	0.1	8.776538e-10	3.188672e-08	0.1	8.776538e-10	2.130713e-07	0.1	8.776538e-10	4.523259e-07	0.1	8.776538e-10	4.307404e-07	0.1	8.776538e-10	3.863592e-07	0.1	8.776538e-10	2.758044e-07	0.1	8.776538e-10	6.068036e-10	0.1	8.776538e-10	7.692939e-09	0.1	8.776538e-10	3.511405e-10	0.1	8.776538e-10	6.106752e-10	0.1	8.776538e-10	1.998242e-10	0.1	8.776538e-10	4.124795e-11	0.1	8.776538e-10	3.074383e-11	0.1	8.776538e-10	4.983665e-10	0.1	8.776538e-10	2.157249e-11	0.1	8.776538e-10	4.958271e-12	0.1	8.776538e-10	1.154381e-11	0.1	8.776538e-10	1.232099e-10	0.1	8.776538e-10	3.297763e-11	0.1
1.060472e-09	1.9570047251328e-06	0.1	1.060472e-09	1.237234e-05	0.1	1.060472e-09	3.276718e-08	0.1	1.060472e-09	2.174753e-07	0.1	1.060472e-09	4.715682e-07	0.1	1.060472e-09	4.464242e-07	0.1	1.060472e-09	3.984522e-07	0.1	1.060472e-09	2.788884e-07	0.1	1.060472e-09	6.154354e-10	0.1	1.060472e-09	8.286036e-09	0.1	1.060472e-09	4.071244e-10	0.1	1.060472e-09	7.250436e-10	0.1	1.060472e-09	2.462231e-10	0.1	1.060472e-09	5.203236e-11	0.1	1.060472e-09	4.155765e-11	0.1	1.060472e-09	5.89184e-10	0.1	1.060472e-09	2.894447e-11	0.1	1.060472e-09	6.570527e-12	0.1	1.060472e-09	1.514456e-11	0.1	1.060472e-09	1.582916e-10	0.1	1.060472e-09	4.346305e-11	0.1
