Batch	m_SP	2	Pr1	W1	
8.479638000000e+16	9.898692012090e-06	1.000000000000e-01	8.479638000000e+16	9.435639000000e-08	1.000000000000e-01
1.222032000000e+17	9.854416454850e-06	1.000000000000e-01	1.222032000000e+17	1.386633000000e-07	1.000000000000e-01
1.895354000000e+17	9.775219246830e-06	1.000000000000e-01	1.895354000000e+17	2.179170000000e-07	1.000000000000e-01
3.242000000000e+17	9.618729811740e-06	1.000000000000e-01	3.242000000000e+17	3.745186000000e-07	1.000000000000e-01
5.935290000000e+17	9.313224866820e-06	1.000000000000e-01	5.935290000000e+17	6.802409000000e-07	1.000000000000e-01
1.072336000000e+18	8.793866060460e-06	1.000000000000e-01	1.072336000000e+18	1.199969000000e-06	1.000000000000e-01
1.795742000000e+18	8.063603363160e-06	1.000000000000e-01	1.795742000000e+18	1.930753000000e-06	1.000000000000e-01
2.823310000000e+18	7.129315706130e-06	1.000000000000e-01	2.823310000000e+18	2.865705000000e-06	1.000000000000e-01
4.318140000000e+18	5.960013399270e-06	1.000000000000e-01	4.318140000000e+18	4.035841000000e-06	1.000000000000e-01
5.812971000000e+18	4.982492174580e-06	1.000000000000e-01	5.812971000000e+18	5.014059000000e-06	1.000000000000e-01
8.019182000000e+18	3.824908750530e-06	1.000000000000e-01	8.019182000000e+18	6.172466000000e-06	1.000000000000e-01
1.022539000000e+19	2.936267637030e-06	1.000000000000e-01	1.022539000000e+19	7.061741000000e-06	1.000000000000e-01
1.243160000000e+19	2.254084458930e-06	1.000000000000e-01	1.243160000000e+19	7.744410000000e-06	1.000000000000e-01
1.463781000000e+19	1.730392695900e-06	1.000000000000e-01	1.463781000000e+19	8.268475000000e-06	1.000000000000e-01
1.684403000000e+19	1.328370716160e-06	1.000000000000e-01	1.684403000000e+19	8.670783000000e-06	1.000000000000e-01
1.905024000000e+19	1.019749802400e-06	1.000000000000e-01	1.905024000000e+19	8.979624000000e-06	1.000000000000e-01
2.125645000000e+19	7.828313716080e-07	1.000000000000e-01	2.125645000000e+19	9.216711000000e-06	1.000000000000e-01
2.346266000000e+19	6.009560903790e-07	1.000000000000e-01	2.346266000000e+19	9.398716000000e-06	1.000000000000e-01
2.584632000000e+19	4.516289836650e-07	1.000000000000e-01	2.584632000000e+19	9.548149000000e-06	1.000000000000e-01
2.849614000000e+19	3.287515124520e-07	1.000000000000e-01	2.849614000000e+19	9.671114000000e-06	1.000000000000e-01
3.114597000000e+19	2.393060069160e-07	1.000000000000e-01	3.114597000000e+19	9.760624000000e-06	1.000000000000e-01
3.379580000000e+19	1.741965580170e-07	1.000000000000e-01	3.379580000000e+19	9.825779000000e-06	1.000000000000e-01
3.687585000000e+19	1.204296956910e-07	1.000000000000e-01	3.687585000000e+19	9.879585000000e-06	1.000000000000e-01
