Batch	m_SP	13	P6	W1	W2	W3	W4	W5	W6	R	P1	P2	P3	P4	P5																							
3.106636e-10	9.771955302254599e-06	0.1	3.106636e-10	1.641446e-118	0.1	3.106636e-10	1.641446e-118	0.1	3.106636e-10	4.638919e-13	0.1	3.106636e-10	1.641446e-118	0.1	3.106636e-10	1.641446e-118	0.1	3.106636e-10	1.641446e-118	0.1	3.106636e-10	4.186247e-08	0.1	3.106636e-10	1.402603e-08	0.1	3.106636e-10	7.526156e-08	0.1	3.106636e-10	7.699419e-08	0.1	3.106636e-10	7.953019e-10	0.1	3.106636e-10	1.900578e-08	0.1
6.79246e-10	9.508244965755901e-06	0.1	6.79246e-10	3.577017e-118	0.1	6.79246e-10	3.577017e-118	0.1	6.79246e-10	1.87855e-12	0.1	6.79246e-10	3.577017e-118	0.1	6.79246e-10	3.577017e-118	0.1	6.79246e-10	3.577017e-118	0.1	6.79246e-10	9.123271e-08	0.1	6.79246e-10	3.241962e-08	0.1	6.79246e-10	1.616923e-07	0.1	6.79246e-10	1.636723e-07	0.1	6.79246e-10	1.735143e-09	0.1	6.79246e-10	4.090473e-08	0.1
1.552298e-09	8.9116462090986e-06	0.1	1.552298e-09	8.110462e-118	0.1	1.552298e-09	8.110462e-118	0.1	1.552298e-09	8.745985e-12	0.1	1.552298e-09	8.110462e-118	0.1	1.552298e-09	8.110462e-118	0.1	1.552298e-09	8.110462e-118	0.1	1.552298e-09	2.068205e-07	0.1	1.552298e-09	8.31386e-08	0.1	1.552298e-09	3.543244e-07	0.1	1.552298e-09	3.500063e-07	0.1	1.552298e-09	3.943753e-09	0.1	1.552298e-09	9.002011e-08	0.1
2.976352e-09	8.017786010567402e-06	0.1	2.976352e-09	1.53516e-117	0.1	2.976352e-09	1.53516e-117	0.1	2.976352e-09	2.946236e-11	0.1	2.976352e-09	1.53516e-117	0.1	2.976352e-09	1.53516e-117	0.1	2.976352e-09	1.53516e-117	0.1	2.976352e-09	3.909627e-07	0.1	2.976352e-09	1.852872e-07	0.1	2.976352e-09	6.336396e-07	0.1	2.976352e-09	6.025886e-07	0.1	2.976352e-09	7.486675e-09	0.1	2.976352e-09	1.621348e-07	0.1
4.738217e-09	7.03497261445e-06	0.1	4.738217e-09	2.40512e-117	0.1	4.738217e-09	2.40512e-117	0.1	4.738217e-09	6.881497e-11	0.1	4.738217e-09	2.40512e-117	0.1	4.738217e-09	2.40512e-117	0.1	4.738217e-09	2.40512e-117	0.1	4.738217e-09	6.106015e-07	0.1	4.738217e-09	3.397717e-07	0.1	4.738217e-09	9.236757e-07	0.1	4.738217e-09	8.405847e-07	0.1	4.738217e-09	1.175311e-08	0.1	4.738217e-09	2.384949e-07	0.1
6.713932e-09	6.075440739186001e-06	0.1	6.713932e-09	3.347362e-117	0.1	6.713932e-09	3.347362e-117	0.1	6.713932e-09	1.27184e-10	0.1	6.713932e-09	3.347362e-117	0.1	6.713932e-09	3.347362e-117	0.1	6.713932e-09	3.347362e-117	0.1	6.713932e-09	8.453753e-07	0.1	6.713932e-09	5.421697e-07	0.1	6.713932e-09	1.183197e-06	0.1	6.713932e-09	1.028575e-06	0.1	6.713932e-09	1.63641e-08	0.1	6.713932e-09	3.086815e-07	0.1
9.011547e-09	5.1229270364428e-06	0.1	9.011547e-09	4.400267e-117	0.1	9.011547e-09	4.400267e-117	0.1	9.011547e-09	2.090001e-10	0.1	9.011547e-09	4.400267e-117	0.1	9.011547e-09	4.400267e-117	0.1	9.011547e-09	4.400267e-117	0.1	9.011547e-09	1.1024e-06	0.1	9.011547e-09	8.058316e-07	0.1	9.011547e-09	1.408818e-06	0.1	9.011547e-09	1.16622e-06	0.1	9.011547e-09	2.147411e-08	0.1	9.011547e-09	3.720595e-07	0.1
1.130916e-08	4.3197590023375e-06	0.1	1.130916e-08	5.408964e-117	0.1	1.130916e-08	5.408964e-117	0.1	1.130916e-08	3.010031e-10	0.1	1.130916e-08	5.408964e-117	0.1	1.130916e-08	5.408964e-117	0.1	1.130916e-08	5.408964e-117	0.1	1.130916e-08	1.341928e-06	0.1	1.130916e-08	1.089604e-06	0.1	1.130916e-08	1.564927e-06	0.1	1.130916e-08	1.238726e-06	0.1	1.130916e-08	2.629657e-08	0.1	1.130916e-08	4.184049e-07	0.1
1.360678e-08	3.6425216466029996e-06	0.1	1.360678e-08	6.375584e-117	0.1	1.360678e-08	6.375584e-117	0.1	1.360678e-08	3.991526e-10	0.1	1.360678e-08	6.375584e-117	0.1	1.360678e-08	6.375584e-117	0.1	1.360678e-08	6.375584e-117	0.1	1.360678e-08	1.564073e-06	0.1	1.360678e-08	1.38463e-06	0.1	1.360678e-08	1.663454e-06	0.1	1.360678e-08	1.263791e-06	0.1	1.360678e-08	3.08227e-08	0.1	1.360678e-08	4.502614e-07	0.1
1.628046e-08	2.9869283772216004e-06	0.1	1.628046e-08	7.450419e-117	0.1	1.628046e-08	7.450419e-117	0.1	1.628046e-08	5.169241e-10	0.1	1.628046e-08	7.450419e-117	0.1	1.628046e-08	7.450419e-117	0.1	1.628046e-08	7.450419e-117	0.1	1.628046e-08	1.801276e-06	0.1	1.628046e-08	1.732783e-06	0.1	1.628046e-08	1.719678e-06	0.1	1.628046e-08	1.250893e-06	0.1	1.628046e-08	3.571434e-08	0.1	1.628046e-08	4.721697e-07	0.1
