	T[K]	N7a	N7b	N7c
600 0.01984 0.09574 0.87948
700 0.02672 0.11242 0.85596
800 0.03304 0.12557 0.83652
900 0.03867 0.13596 0.82053
1000 0.04360 0.14422 0.80736
1100 0.04780 0.15064 0.79543
1200 0.05147 0.15598 0.78643
1300 0.05460 0.16031 0.77896
1400 0.05728 0.16385 0.77274
1500 0.05955 0.16674 0.76757
1600 0.06148 0.16912 0.76327
1700 0.06311 0.17108 0.75970
1800 0.06447 0.17271 0.75673
1900 0.06562 0.17405 0.75426
2000 0.06658 0.17516 0.75223
