Batch	m_SP	7	P1	W4_L	W3	R	P2_L	P3	P4											
0.0	9.9999e-06	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
1.346934e-06	9.99989400006e-06	0.1	1.346934e-06	2.2383432e-114	0.1	1.346934e-06	9.389379e-14	0.1	1.346934e-06	1.813705e-13	0.1	1.346934e-06	4.63453109e-12	0.1	1.346934e-06	2.895689e-13	0.1	1.346934e-06	5.370608e-13	0.1
1.126914e-05	9.99985200048e-06	0.1	1.126914e-05	1.8727293e-113	0.1	1.126914e-05	1.276645e-13	0.1	1.126914e-05	1.518146e-12	0.1	1.126914e-05	3.8779659400000004e-11	0.1	1.126914e-05	2.423524e-12	0.1	1.126914e-05	4.740093e-12	0.1
0.000172853	9.99917100729e-06	0.1	0.000172853	2.8724052e-112	0.1	0.000172853	1.197092e-13	0.1	0.000172853	2.32876e-11	0.1	0.000172853	5.94815789e-10	0.1	0.000172853	3.717467e-11	0.1	0.000172853	7.339334e-11	0.1
0.00202032	9.99138808512e-06	0.1	0.00202032	3.355992e-111	0.1	0.00202032	1.196173e-13	0.1	0.00202032	2.724355e-10	0.1	0.00202032	6.946799700000001e-09	0.1	0.00202032	4.346369e-10	0.1	0.00202032	8.579855e-10	0.1
0.005610232	9.97631923581e-06	0.1	0.005610232	9.312231e-111	0.1	0.005610232	1.194469e-13	0.1	0.005610232	7.623507e-10	0.1	0.005610232	1.92256645e-08	0.1	0.005610232	1.211511e-09	0.1	0.005610232	2.381011e-09	0.1
0.01054166	9.955845440550001e-06	0.1	0.01054166	1.7479679999999998e-110	0.1	0.01054166	1.192303e-13	0.1	0.01054166	1.465647e-09	0.1	0.01054166	3.58157189e-08	0.1	0.01054166	2.303344e-09	0.1	0.01054166	4.47037e-09	0.1
0.01887498	9.9222547842145e-06	0.1	0.01887498	3.124377e-110	0.1	0.01887498	1.189118e-13	0.1	0.01887498	2.805115e-09	0.1	0.01887498	6.2576811e-08	0.1	0.01887498	4.266798e-09	0.1	0.01887498	7.995911e-09	0.1
0.02807893	9.8872941373206e-06	0.1	0.02807893	4.639332e-110	0.1	0.02807893	1.186271e-13	0.1	0.02807893	4.623663e-09	0.1	0.02807893	8.9421896e-08	0.1	0.02807893	6.673113e-09	0.1	0.02807893	1.188614e-08	0.1
0.03858881	9.850814505768601e-06	0.1	0.03858881	6.362984999999999e-110	0.1	0.03858881	1.183774e-13	0.1	0.03858881	7.272558e-09	0.1	0.03858881	1.15747406e-07	0.1	0.03858881	9.736831e-09	0.1	0.03858881	1.63283e-08	0.1
0.05215092	9.809585941202801e-06	0.1	0.05215092	8.578404e-110	0.1	0.05215092	1.181471e-13	0.1	0.05215092	1.171468e-08	0.1	0.05215092	1.42506412e-07	0.1	0.05215092	1.402547e-08	0.1	0.05215092	2.206509e-08	0.1
0.06706091	9.7713663310468e-06	0.1	0.06706091	1.1004156e-109	0.1	0.06706091	1.179754e-13	0.1	0.06706091	1.791559e-08	0.1	0.06706091	1.6345368099999998e-07	0.1	0.06706091	1.87823e-08	0.1	0.06706091	2.837885e-08	0.1
0.07758573	9.7481535929838e-06	0.1	0.07758573	1.2711156e-109	0.1	0.07758573	1.178881e-13	0.1	0.07758573	2.30279e-08	0.1	0.07758573	1.7394195e-07	0.1	0.07758573	2.193453e-08	0.1	0.07758573	3.283794e-08	0.1
0.09408528	9.7165809181857e-06	0.1	0.09408528	1.5379626000000001e-109	0.1	0.09408528	1.177899e-13	0.1	0.09408528	3.20163e-08	0.1	0.09408528	1.8519475e-07	0.1	0.09408528	2.627698e-08	0.1	0.09408528	3.982629e-08	0.1
0.114568	9.6831722622984e-06	0.1	0.114568	1.8681231e-109	0.1	0.114568	1.177179e-13	0.1	0.114568	4.433076e-08	0.1	0.114568	1.9339721000000002e-07	0.1	0.114568	3.050661e-08	0.1	0.114568	4.848644e-08	0.1
0.1378916	9.6500336036301e-06	0.1	0.1378916	2.2427892e-109	0.1	0.1378916	1.17694e-13	0.1	0.1378916	5.917908e-08	0.1	0.1378916	1.9844767e-07	0.1	0.1378916	3.392221e-08	0.1	0.1378916	5.831011e-08	0.1
0.163109	9.6177429744328e-06	0.1	0.163109	2.6465117999999996e-109	0.1	0.163109	1.177351e-13	0.1	0.163109	7.547258e-08	0.1	0.163109	2.0140996000000002e-07	0.1	0.163109	3.639684e-08	0.1	0.163109	6.886889e-08	0.1
0.1883265	9.5878122857152e-06	0.1	0.1883265	3.048933e-109	0.1	0.1883265	1.178459e-13	0.1	0.1883265	9.145033e-08	0.1	0.1883265	2.0319963e-07	0.1	0.1883265	3.807912e-08	0.1	0.1883265	7.934859e-08	0.1
0.2146754	9.558390591703999e-06	0.1	0.2146754	3.468114e-109	0.1	0.2146754	1.180361e-13	0.1	0.2146754	1.074077e-07	0.1	0.2146754	2.045293e-07	0.1	0.2146754	3.935947e-08	0.1	0.2146754	9.020232e-08	0.1
0.2455503	9.5259429765485e-06	0.1	0.2455503	3.9577049999999997e-109	0.1	0.2455503	1.183544e-13	0.1	0.2455503	1.24818e-07	0.1	0.2455503	2.0580345e-07	0.1	0.2455503	4.054186e-08	0.1	0.2455503	1.027823e-07	0.1
0.2822963	9.489964354328e-06	0.1	0.2822963	4.538307e-109	0.1	0.2822963	1.18863e-13	0.1	0.2822963	1.434651e-07	0.1	0.2822963	2.0717373999999998e-07	0.1	0.2822963	4.174312e-08	0.1	0.2822963	1.175424e-07	0.1
0.3249354	9.451684756268e-06	0.1	0.3249354	5.209383e-109	0.1	0.3249354	1.196206e-13	0.1	0.3249354	1.62167e-07	0.1	0.3249354	2.0867656999999999e-07	0.1	0.3249354	4.300429e-08	0.1	0.3249354	1.343554e-07	0.1
0.3742125	9.411914232651601e-06	0.1	0.3742125	5.98173e-109	0.1	0.3742125	1.207021e-13	0.1	0.3742125	1.800167e-07	0.1	0.3742125	2.102961e-07	0.1	0.3742125	4.433151e-08	0.1	0.3742125	1.533288e-07	0.1
0.4360624	9.3682696952886e-06	0.1	0.4360624	6.946835999999999e-109	0.1	0.4360624	1.223345e-13	0.1	0.4360624	1.973769e-07	0.1	0.4360624	2.1207597e-07	0.1	0.4360624	4.577529e-08	0.1	0.4360624	1.763894e-07	0.1
0.5071896	9.3255912151063e-06	0.1	0.5071896	8.051595e-109	0.1	0.5071896	1.245264e-13	0.1	0.5071896	2.11717e-07	0.1	0.5071896	2.136986e-07	0.1	0.5071896	4.709366e-08	0.1	0.5071896	2.017853e-07	0.1
0.5845018	9.286640631882e-06	0.1	0.5845018	9.247182e-109	0.1	0.5845018	1.272022e-13	0.1	0.5845018	2.22232e-07	0.1	0.5845018	2.1495337e-07	0.1	0.5845018	4.81325e-08	0.1	0.5845018	2.279271e-07	0.1
0.6743125	9.2489071107244e-06	0.1	0.6743125	1.0630329e-108	0.1	0.6743125	1.30572e-13	0.1	0.6743125	2.299107e-07	0.1	0.6743125	2.1586388000000002e-07	0.1	0.6743125	4.892551e-08	0.1	0.6743125	2.562776e-07	0.1
0.7803971	9.2120685085856e-06	0.1	0.7803971	1.2257529e-108	0.1	0.7803971	1.347427e-13	0.1	0.7803971	2.350544e-07	0.1	0.7803971	2.1641183e-07	0.1	0.7803971	4.946693e-08	0.1	0.7803971	2.868829e-07	0.1
0.9062052	9.1762848950528e-06	0.1	0.9062052	1.4179671e-108	0.1	0.9062052	1.397215e-13	0.1	0.9062052	2.380717e-07	0.1	0.9062052	2.1662792e-07	0.1	0.9062052	4.978043e-08	0.1	0.9062052	3.191206e-07	0.1
1.032013	9.1468862978526e-06	0.1	1.032013	1.6095033000000002e-108	0.1	1.032013	1.445211e-13	0.1	1.032013	2.393868e-07	0.1	1.032013	2.1661008e-07	0.1	1.032013	4.990788e-08	0.1	1.032013	3.470937e-07	0.1
