	T[K]	W1	W2	W3	W4	W5	W6
600 0.00067 0.00088 0.34795 0.23883 0.29942 0.11225
700 0.00161 0.00020 0.34048 0.24054 0.31717 0.10000
800 0.00220 0.00003 0.45441 0.17257 0.23661 0.13418
900 0.00653 0.00003 0.09140 0.30996 0.43746 0.15462
1000 0.00184 0.00000 0.02102 0.05840 0.08492 0.83382
1100 0.00160 0.00000 0.02368 0.03674 0.05454 0.88344
1200 0.00136 0.00000 0.05737 0.02373 0.03588 0.88166
1300 0.00211 0.00001 0.09841 0.02917 0.04475 0.82555
1400 0.00312 0.00002 0.15264 0.03528 0.05496 0.75398
1500 0.00421 0.00003 0.22179 0.04001 0.06301 0.67094
1600 0.00526 0.00005 0.29746 0.04311 0.06861 0.58551
1700 0.23760 0.00006 0.28610 0.03862 0.05457 0.38305
1800 0.05621 0.00009 0.40538 0.03987 0.11179 0.38666
1900 0.14317 0.00011 0.43869 0.00315 0.10451 0.31037
2000 0.10029 0.00013 0.50252 0.02038 0.10429 0.27239
2100 0.10565 0.00014 0.48824 0.10404 0.09066 0.21126
2200 0.13534 0.00016 0.52191 0.07143 0.08686 0.18430
2300 0.03483 0.28876 0.37082 0.13866 0.05650 0.11043
2400 0.12010 0.16039 0.25217 0.36798 0.03511 0.06425
2500 0.18783 0.19599 0.37302 0.11258 0.04776 0.08282
