	T[K]	W1	W2	W3	W4	W5	W6
600 0.00018 0.00019 0.78345 0.06421 0.08051 0.07145
700 0.00209 0.00008 0.24329 0.31339 0.41302 0.02812
800 0.00373 0.00002 0.26751 0.29275 0.40147 0.03453
900 0.00608 0.00000 0.12352 0.28940 0.41005 0.17094
1000 0.00080 0.00000 0.01846 0.02551 0.03709 0.91814
1100 0.03123 0.00000 0.02504 0.01711 0.02434 0.90228
1200 0.14517 0.00000 0.02905 0.29524 0.03284 0.49769
1300 0.12151 0.00001 0.06832 0.14579 0.05579 0.60858
1400 0.17402 0.00001 0.08764 0.23007 0.05407 0.45419
1500 0.22376 0.00002 0.12259 0.17795 0.05993 0.41575
1600 0.21127 0.12073 0.11912 0.20551 0.04746 0.29591
1700 0.16667 0.16667 0.14933 0.16667 0.05026 0.30041
1800 0.12463 0.18543 0.19762 0.20321 0.05483 0.23429
1900 0.42107 0.14135 0.07510 0.16399 0.01787 0.18061
2000 0.01181 0.06713 0.48407 0.12333 0.10095 0.21271
2100 0.14336 0.03428 0.42297 0.29464 0.07872 0.02603
2200 0.16668 0.16683 0.16655 0.16654 0.16680 0.16660
2300 0.16663 0.16673 0.16673 0.16665 0.16663 0.16663
