Batch	m_SP	4	R	W4_L	P1	P2_L	
2.846731000000e-11	9.738196617060e-06	1.000000000000e-01	2.846731000000e-11	2.613892700000e-07	1.000000000000e-01	2.846731000000e-11	1.574840000000e-10	1.000000000000e-01	2.846731000000e-11	1.160360020000e-10	1.000000000000e-01
6.094890000000e-11	9.447944519610e-06	1.000000000000e-01	6.094890000000e-11	5.512925600000e-07	1.000000000000e-01	6.094890000000e-11	3.321475000000e-10	1.000000000000e-01	6.094890000000e-11	2.447301010000e-10	1.000000000000e-01
1.361124000000e-10	8.809029908820e-06	1.000000000000e-01	1.361124000000e-10	1.189438550000e-06	1.000000000000e-01	1.361124000000e-10	7.166231000000e-10	1.000000000000e-01	1.361124000000e-10	5.280162470000e-10	1.000000000000e-01
2.714068000000e-10	7.765895340270e-06	1.000000000000e-01	2.714068000000e-10	2.231319880000e-06	1.000000000000e-01	2.714068000000e-10	1.344345000000e-09	1.000000000000e-01	2.714068000000e-10	9.905289200000e-10	1.000000000000e-01
4.415476000000e-10	6.627609723240e-06	1.000000000000e-01	4.415476000000e-10	3.368237700000e-06	1.000000000000e-01	4.415476000000e-10	2.029325000000e-09	1.000000000000e-01	4.415476000000e-10	1.495230200000e-09	1.000000000000e-01
6.248977000000e-10	5.586994129500e-06	1.000000000000e-01	6.248977000000e-10	4.407602500000e-06	1.000000000000e-01	6.248977000000e-10	2.655530000000e-09	1.000000000000e-01	6.248977000000e-10	1.956625710000e-09	1.000000000000e-01
8.380955000000e-10	4.580616193380e-06	1.000000000000e-01	8.380955000000e-10	5.412771300000e-06	1.000000000000e-01	8.380955000000e-10	3.261132000000e-09	1.000000000000e-01	8.380955000000e-10	2.402840040000e-09	1.000000000000e-01
1.071192000000e-09	3.686542134210e-06	1.000000000000e-01	1.071192000000e-09	6.305770200000e-06	1.000000000000e-01	1.071192000000e-09	3.799154000000e-09	1.000000000000e-01	1.071192000000e-09	2.799260520000e-09	1.000000000000e-01
1.304288000000e-09	2.966979329910e-06	1.000000000000e-01	1.304288000000e-09	7.024468700000e-06	1.000000000000e-01	1.304288000000e-09	4.232162000000e-09	1.000000000000e-01	1.304288000000e-09	3.118306050000e-09	1.000000000000e-01
1.537384000000e-09	2.387865121110e-06	1.000000000000e-01	1.537384000000e-09	7.602886200000e-06	1.000000000000e-01	1.537384000000e-09	4.580652000000e-09	1.000000000000e-01	1.537384000000e-09	3.375077890000e-09	1.000000000000e-01
1.780075000000e-09	1.904686952940e-06	1.000000000000e-01	1.780075000000e-09	8.085484500000e-06	1.000000000000e-01	1.780075000000e-09	4.871412000000e-09	1.000000000000e-01	1.780075000000e-09	3.589313100000e-09	1.000000000000e-01
2.061143000000e-09	1.465922340630e-06	1.000000000000e-01	2.061143000000e-09	8.523722000000e-06	1.000000000000e-01	2.061143000000e-09	5.135445000000e-09	1.000000000000e-01	2.061143000000e-09	3.783855780000e-09	1.000000000000e-01
2.342210000000e-09	1.128230717580e-06	1.000000000000e-01	2.342210000000e-09	8.861006300000e-06	1.000000000000e-01	2.342210000000e-09	5.338655000000e-09	1.000000000000e-01	2.342210000000e-09	3.933583370000e-09	1.000000000000e-01
2.623278000000e-09	8.683311166020e-07	1.000000000000e-01	2.623278000000e-09	9.120595100000e-06	1.000000000000e-01	2.623278000000e-09	5.495054000000e-09	1.000000000000e-01	2.623278000000e-09	4.048819690000e-09	1.000000000000e-01
2.904346000000e-09	6.683018169150e-07	1.000000000000e-01	2.904346000000e-09	9.320383500000e-06	1.000000000000e-01	2.904346000000e-09	5.615424000000e-09	1.000000000000e-01	2.904346000000e-09	4.137509950000e-09	1.000000000000e-01
3.231474000000e-09	4.927484724660e-07	1.000000000000e-01	3.231474000000e-09	9.495726400000e-06	1.000000000000e-01	3.231474000000e-09	5.721066000000e-09	1.000000000000e-01	3.231474000000e-09	4.215347260000e-09	1.000000000000e-01
3.570116000000e-09	3.594341056230e-07	1.000000000000e-01	3.570116000000e-09	9.628880300000e-06	1.000000000000e-01	3.570116000000e-09	5.801290000000e-09	1.000000000000e-01	3.570116000000e-09	4.274457230000e-09	1.000000000000e-01
3.908759000000e-09	2.621882780910e-07	1.000000000000e-01	3.908759000000e-09	9.726009100000e-06	1.000000000000e-01	3.908759000000e-09	5.859809000000e-09	1.000000000000e-01	3.908759000000e-09	4.317574610000e-09	1.000000000000e-01
4.261020000000e-09	1.888416115650e-07	1.000000000000e-01	4.261020000000e-09	9.799267500000e-06	1.000000000000e-01	4.261020000000e-09	5.903947000000e-09	1.000000000000e-01	4.261020000000e-09	4.350096020000e-09	1.000000000000e-01
4.667754000000e-09	1.292836071510e-07	1.000000000000e-01	4.667754000000e-09	9.858754400000e-06	1.000000000000e-01	4.667754000000e-09	5.939786000000e-09	1.000000000000e-01	4.667754000000e-09	4.376503480000e-09	1.000000000000e-01
