Batch	m_SP	5	Nphln	N1a_L	N7a_L	Flvln	Azln							
2.001172e-07	9.841158587430002e-06	0.1	2.001172e-07	7.65996454e-14	0.1	2.001172e-07	1.4874873130000002e-07	0.1	2.001172e-07	9.619126e-16	0.1	2.001172e-07	4.203405e-14	0.1
3.864599e-07	9.70408895814e-06	0.1	3.864599e-07	1.469180462e-13	0.1	3.864599e-07	2.859602823e-07	0.1	3.864599e-07	1.849099e-15	0.1	3.864599e-07	8.080886e-14	0.1
7.177359e-07	9.46510634799e-06	0.1	7.177359e-07	2.6951896399999996e-13	0.1	7.177359e-07	5.2519028e-07	0.1	7.177359e-07	3.395919e-15	0.1	7.177359e-07	1.484132e-13	0.1
1.297469e-06	9.060961389480001e-06	0.1	1.297469e-06	4.768501740000001e-13	0.1	1.297469e-06	9.29753552e-07	0.1	1.297469e-06	6.011756e-15	0.1	1.297469e-06	2.627393e-13	0.1
2.291297e-06	8.407878920370001e-06	0.1	2.291297e-06	8.11889091e-13	0.1	2.291297e-06	1.583511928e-06	0.1	2.291297e-06	1.023884e-14	0.1	2.291297e-06	4.474857e-13	0.1
3.947677e-06	7.42232777598e-06	0.1	3.947677e-06	1.317488951e-12	0.1	3.947677e-06	2.570083478e-06	0.1	3.947677e-06	1.661785e-14	0.1	3.947677e-06	7.262824e-13	0.1
6.064803e-06	6.3289567098e-06	0.1	6.064803e-06	1.878400791e-12	0.1	6.064803e-06	3.664584899e-06	0.1	6.064803e-06	2.369471e-14	0.1	6.064803e-06	1.035579e-12	0.1
8.297117e-06	5.350061498850001e-06	0.1	8.297117e-06	2.3805864e-12	0.1	8.297117e-06	4.64449357e-06	0.1	8.297117e-06	3.003063e-14	0.1	8.297117e-06	1.312493e-12	0.1
1.103853e-05	4.35254347413e-06	0.1	1.103853e-05	2.89232455e-12	0.1	1.103853e-05	5.6430439e-06	0.1	1.103853e-05	3.648709e-14	0.1	1.103853e-05	1.594675e-12	0.1
1.377995e-05	3.54101258952e-06	0.1	1.377995e-05	3.3086505899999995e-12	0.1	1.377995e-05	6.4554155700000004e-06	0.1	1.377995e-05	4.173974e-14	0.1	1.377995e-05	1.824244e-12	0.1
1.652136e-05	2.8807911918e-06	0.1	1.652136e-05	3.64735107e-12	0.1	1.652136e-05	7.116319850000001e-06	0.1	1.652136e-05	4.601303e-14	0.1	1.652136e-05	2.01101e-12	0.1
1.926278e-05	2.34366756309e-06	0.1	1.926278e-05	3.92290161e-12	0.1	1.926278e-05	7.65399921e-06	0.1	1.926278e-05	4.948958e-14	0.1	1.926278e-05	2.162953e-12	0.1
2.200419e-05	1.9066909329e-06	0.1	2.200419e-05	4.14707634e-12	0.1	2.200419e-05	8.09142746e-06	0.1	2.200419e-05	5.231791e-14	0.1	2.200419e-05	2.286567e-12	0.1
2.496758e-05	1.5254867449800002e-06	0.1	2.496758e-05	4.3426383600000005e-12	0.1	2.496758e-05	8.473026239999999e-06	0.1	2.496758e-05	5.478527e-14	0.1	2.496758e-05	2.394403e-12	0.1
2.826393e-05	1.1902890969900001e-06	0.1	2.826393e-05	4.51459935e-12	0.1	2.826393e-05	8.8085716e-06	0.1	2.826393e-05	5.695484e-14	0.1	2.826393e-05	2.489226e-12	0.1
3.156027e-05	9.28744212465e-07	0.1	3.156027e-05	4.64877431e-12	0.1	3.156027e-05	9.07038672e-06	0.1	3.156027e-05	5.86477e-14	0.1	3.156027e-05	2.563212e-12	0.1
3.485662e-05	7.24669453233e-07	0.1	3.485662e-05	4.75346726e-12	0.1	3.485662e-05	9.27467266e-06	0.1	3.485662e-05	5.996857e-14	0.1	3.485662e-05	2.620942e-12	0.1
3.815297e-05	5.6543634558e-07	0.1	3.815297e-05	4.83515536e-12	0.1	3.815297e-05	9.434070609999999e-06	0.1	3.815297e-05	6.099921e-14	0.1	3.815297e-05	2.665986e-12	0.1
4.198683e-05	4.23697962978e-07	0.1	4.198683e-05	4.907868900000001e-12	0.1	4.198683e-05	9.57595552e-06	0.1	4.198683e-05	6.191662e-14	0.1	4.198683e-05	2.706082e-12	0.1
4.595508e-05	3.1429405702800004e-07	0.1	4.595508e-05	4.9639943499999994e-12	0.1	4.595508e-05	9.68547225e-06	0.1	4.595508e-05	6.262474e-14	0.1	4.595508e-05	2.73703e-12	0.1
4.992332e-05	2.33139568581e-07	0.1	4.992332e-05	5.0056277999999995e-12	0.1	4.992332e-05	9.76671141e-06	0.1	4.992332e-05	6.315001e-14	0.1	4.992332e-05	2.759988e-12	0.1
5.389157e-05	1.72940170581e-07	0.1	5.389157e-05	5.036511139999999e-12	0.1	5.389157e-05	9.82697253e-06	0.1	5.389157e-05	6.353965e-14	0.1	5.389157e-05	2.777017e-12	0.1
5.866097e-05	1.20777492213e-07	0.1	5.866097e-05	5.06327085e-12	0.1	5.866097e-05	9.879189220000001e-06	0.1	5.866097e-05	6.387728e-14	0.1	5.866097e-05	2.791773e-12	0.1
