Batch	m_SP	7	P2_L	W4_L	W3	R	P1	P3	P4											
2.021153e-10	9.7122037807801e-06	0.1	2.021153e-10	1.175818e-07	0.1	2.021153e-10	2.138415e-10	0.1	2.021153e-10	1.354971e-08	0.1	2.021153e-10	1.26883e-07	0.1	2.021153e-10	1.445325e-08	0.1	2.021153e-10	1.439423e-11	0.1
4.337526e-10	9.4089469944986e-06	0.1	4.337526e-10	2.486938e-07	0.1	4.337526e-10	4.523022e-10	0.1	4.337526e-10	2.867096e-08	0.1	4.337526e-10	2.681644e-07	0.1	4.337526e-10	2.982747e-08	0.1	4.337526e-10	3.04529e-11	0.1
9.824264e-10	8.7287681836712e-06	0.1	9.824264e-10	5.44345e-07	0.1	9.824264e-10	9.900629e-10	0.1	9.824264e-10	6.281611e-08	0.1	9.824264e-10	5.859631e-07	0.1	9.824264e-10	6.158392e-08	0.1	9.824264e-10	6.66951e-11	0.1
1.860304e-09	7.743456609618e-06	0.1	1.860304e-09	9.766626e-07	0.1	1.860304e-09	1.77649e-09	0.1	1.860304e-09	1.128615e-07	0.1	1.860304e-09	1.048701e-06	0.1	1.860304e-09	1.005868e-07	0.1	1.860304e-09	1.197639e-10	0.1
2.408978e-09	7.186130213522401e-06	0.1	2.408978e-09	1.223418e-06	0.1	2.408978e-09	2.225391e-09	0.1	2.408978e-09	1.414867e-07	0.1	2.408978e-09	1.31177e-06	0.1	2.408978e-09	1.187773e-07	0.1	2.408978e-09	1.500911e-10	0.1
3.181388e-09	6.4701279481358e-06	0.1	3.181388e-09	1.542914e-06	0.1	3.181388e-09	2.80663e-09	0.1	3.181388e-09	1.786138e-07	0.1	3.181388e-09	1.651246e-06	0.1	3.181388e-09	1.377919e-07	0.1	3.181388e-09	1.893955e-10	0.1
4.315192e-09	5.5484202674688e-06	0.1	4.315192e-09	1.95856e-06	0.1	4.315192e-09	3.562765e-09	0.1	4.315192e-09	2.270176e-07	0.1	4.315192e-09	2.090954e-06	0.1	4.315192e-09	1.545893e-07	0.1	4.315192e-09	2.405853e-10	0.1
5.652635e-09	4.6308534141348e-06	0.1	5.652635e-09	2.377587e-06	0.1	5.652635e-09	4.324947e-09	0.1	5.652635e-09	2.759265e-07	0.1	5.652635e-09	2.532019e-06	0.1	5.652635e-09	1.619975e-07	0.1	5.652635e-09	2.922466e-10	0.1
7.223685e-09	3.7471466894478e-06	0.1	7.223685e-09	2.78656e-06	0.1	7.223685e-09	5.068645e-09	0.1	7.223685e-09	3.237598e-07	0.1	7.223685e-09	2.960353e-06	0.1	7.223685e-09	1.594369e-07	0.1	7.223685e-09	3.42708e-10	0.1
9.145146e-09	2.8942724041183002e-06	0.1	9.145146e-09	3.186834e-06	0.1	9.145146e-09	5.796204e-09	0.1	9.145146e-09	3.70655e-07	0.1	9.145146e-09	3.377535e-06	0.1	9.145146e-09	1.468613e-07	0.1	9.145146e-09	3.921148e-10	0.1
