Batch	m_SP	4	W1_L	Pr1	Pr2	Pr3					
0.0	1.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
5.862063e-07	1.0	0.1	5.862063e-07	0.0	0.1	5.862063e-07	0.0	0.1	5.862063e-07	0.0	0.1
0.002888814	1.0	0.1	0.002888814	0.0	0.1	0.002888814	0.0	0.1	0.002888814	0.0	0.1
0.02265052	1.0	0.1	0.02265052	0.0	0.1	0.02265052	0.0	0.1	0.02265052	0.0	0.1
0.05947262	1.0	0.1	0.05947262	0.0	0.1	0.05947262	0.0	0.1	0.05947262	0.0	0.1
0.1251891	1.0	0.1	0.1251891	0.0	0.1	0.1251891	0.0	0.1	0.1251891	0.0	0.1
0.2167909	1.0	0.1	0.2167909	0.0	0.1	0.2167909	0.0	0.1	0.2167909	0.0	0.1
0.3083927	1.0	0.1	0.3083927	0.0	0.1	0.3083927	0.0	0.1	0.3083927	0.0	0.1
0.4888249	1.0	0.1	0.4888249	0.0	0.1	0.4888249	0.0	0.1	0.4888249	0.0	0.1
0.8136029	1.0	0.1	0.8136029	0.0	0.1	0.8136029	0.0	0.1	0.8136029	0.0	0.1
1.221819	1.0	0.1	1.221819	0.0	0.1	1.221819	0.0	0.1	1.221819	0.0	0.1
1.701063	1.0	0.1	1.701063	0.0	0.1	1.701063	0.0	0.1	1.701063	0.0	0.1
2.322364	1.0	0.1	2.322364	0.0	0.1	2.322364	0.0	0.1	2.322364	0.0	0.1
2.943664	1.0	0.1	2.943664	0.0	0.1	2.943664	0.0	0.1	2.943664	0.0	0.1
3.564965	1.0	0.1	3.564965	0.0	0.1	3.564965	0.0	0.1	3.564965	0.0	0.1
4.186266	1.0	0.1	4.186266	0.0	0.1	4.186266	0.0	0.1	4.186266	0.0	0.1
4.807566	1.0	0.1	4.807566	0.0	0.1	4.807566	0.0	0.1	4.807566	0.0	0.1
5.428867	1.0	0.1	5.428867	0.0	0.1	5.428867	0.0	0.1	5.428867	0.0	0.1
6.050168	1.0	0.1	6.050168	0.0	0.1	6.050168	0.0	0.1	6.050168	0.0	0.1
6.671468	1.0	0.1	6.671468	0.0	0.1	6.671468	0.0	0.1	6.671468	0.0	0.1
7.292769	1.0	0.1	7.292769	0.0	0.1	7.292769	0.0	0.1	7.292769	0.0	0.1
7.91407	1.0	0.1	7.91407	0.0	0.1	7.91407	0.0	0.1	7.91407	0.0	0.1
8.53537	1.0	0.1	8.53537	0.0	0.1	8.53537	0.0	0.1	8.53537	0.0	0.1
9.156671	1.0	0.1	9.156671	0.0	0.1	9.156671	0.0	0.1	9.156671	0.0	0.1
9.777972	1.0	0.1	9.777972	0.0	0.1	9.777972	0.0	0.1	9.777972	0.0	0.1
10.39927	1.0	0.1	10.39927	0.0	0.1	10.39927	0.0	0.1	10.39927	0.0	0.1
11.02057	0.9999999700000001	0.1	11.02057	0.0	0.1	11.02057	0.0	0.1	11.02057	0.0	0.1
11.64187	0.99999996	0.1	11.64187	0.0	0.1	11.64187	0.0	0.1	11.64187	0.0	0.1
12.26317	0.99999997	0.1	12.26317	0.0	0.1	12.26317	0.0	0.1	12.26317	0.0	0.1
12.88447	1.00000005	0.1	12.88447	0.0	0.1	12.88447	0.0	0.1	12.88447	0.0	0.1
13.50578	1.0000000199999999	0.1	13.50578	0.0	0.1	13.50578	0.0	0.1	13.50578	0.0	0.1
14.12708	0.99999997	0.1	14.12708	0.0	0.1	14.12708	0.0	0.1	14.12708	0.0	0.1
14.74838	0.99999999	0.1	14.74838	0.0	0.1	14.74838	0.0	0.1	14.74838	0.0	0.1
15.36968	0.99999996	0.1	15.36968	0.0	0.1	15.36968	0.0	0.1	15.36968	0.0	0.1
15.99098	1.0	0.1	15.99098	0.0	0.1	15.99098	0.0	0.1	15.99098	0.0	0.1
16.61228	1.00000001	0.1	16.61228	0.0	0.1	16.61228	0.0	0.1	16.61228	0.0	0.1
17.23358	1.00000002	0.1	17.23358	0.0	0.1	17.23358	0.0	0.1	17.23358	0.0	0.1
17.85488	0.99999996	0.1	17.85488	0.0	0.1	17.85488	0.0	0.1	17.85488	0.0	0.1
18.47618	0.99999997	0.1	18.47618	0.0	0.1	18.47618	0.0	0.1	18.47618	0.0	0.1
19.09748	1.0	0.1	19.09748	0.0	0.1	19.09748	0.0	0.1	19.09748	0.0	0.1
19.71878	1.00000005	0.1	19.71878	0.0	0.1	19.71878	0.0	0.1	19.71878	0.0	0.1
20.34008	1.0	0.1	20.34008	0.0	0.1	20.34008	0.0	0.1	20.34008	0.0	0.1
20.98646	0.99999998	0.1	20.98646	0.0	0.1	20.98646	0.0	0.1	20.98646	0.0	0.1
21.73317	0.99999998	0.1	21.73317	0.0	0.1	21.73317	0.0	0.1	21.73317	0.0	0.1
22.47987	0.9999999500000001	0.1	22.47987	0.0	0.1	22.47987	0.0	0.1	22.47987	0.0	0.1
23.22657	1.000000006	0.1	23.22657	0.0	0.1	23.22657	0.0	0.1	23.22657	0.0	0.1
23.97328	1.000000041	0.1	23.97328	0.0	0.1	23.97328	0.0	0.1	23.97328	0.0	0.1
24.71998	1.000000012	0.1	24.71998	0.0	0.1	24.71998	0.0	0.1	24.71998	0.0	0.1
25.46669	0.999999965	0.1	25.46669	0.0	0.1	25.46669	0.0	0.1	25.46669	0.0	0.1
26.21339	1.0000000230000001	0.1	26.21339	0.0	0.1	26.21339	0.0	0.1	26.21339	0.0	0.1
26.96009	1.000000035	0.1	26.96009	0.0	0.1	26.96009	0.0	0.1	26.96009	0.0	0.1
27.7068	0.999999967	0.1	27.7068	0.0	0.1	27.7068	0.0	0.1	27.7068	0.0	0.1
28.4535	1.000000035	0.1	28.4535	0.0	0.1	28.4535	0.0	0.1	28.4535	0.0	0.1
29.2002	0.9999999749999999	0.1	29.2002	0.0	0.1	29.2002	0.0	0.1	29.2002	0.0	0.1
29.94691	1.00000004	0.1	29.94691	0.0	0.1	29.94691	0.0	0.1	29.94691	0.0	0.1
