	T[K]	P2	P5
600 0.98646 0.01018
700 0.97815 0.01869
800 0.96786 0.02913
900 0.95643 0.04069
1000 0.94503 0.05219
1100 0.93402 0.06327
1200 0.92406 0.07329
1300 0.91453 0.08286
1400 0.90627 0.09108
1500 0.89789 0.09963
1600 0.89025 0.10734
1700 0.88199 0.11568
1800 0.87399 0.12374
1900 0.86082 0.13110
2000 0.85356 0.14087
2100 0.84495 0.14951
2200 0.83525 0.15923
2300 0.82598 0.16852
2400 0.81677 0.17775
2500 0.80702 0.18751
