	T[K]	P2	P5
600 0.98361 0.01030
700 0.97713 0.01677
800 0.97053 0.02336
900 0.96406 0.02983
1000 0.95766 0.03621
1100 0.95080 0.04306
1200 0.94370 0.05020
1300 0.93595 0.05794
1400 0.92742 0.06649
1500 0.91809 0.07583
1600 0.90813 0.08581
1700 0.89805 0.09591
1800 0.88656 0.10741
1900 0.87557 0.11841
2000 0.86399 0.13001
2100 0.85341 0.14061
2200 0.84185 0.15218
2300 0.83171 0.16235
2400 0.82043 0.17365
2500 0.81007 0.18425
