Batch	m_SP	2	N7a_L	N1a_L	
1.509636e-11	0.98910279732	0.1	1.509636e-11	5.8064798600000004e-06	0.1
1.710226e-11	0.98766897517	0.1	1.710226e-11	6.16848591e-06	0.1
1.942153e-11	0.9860150453500001	0.1	1.942153e-11	6.5112612000000005e-06	0.1
2.17408e-11	0.98436521058	0.1	2.17408e-11	6.7868458e-06	0.1
2.424716e-11	0.98258677201	0.1	2.424716e-11	7.0238012000000005e-06	0.1
2.703416e-11	0.9806149196599999	0.1	2.703416e-11	7.2289676e-06	0.1
2.982117e-11	0.97864898511	0.1	2.982117e-11	7.3871673000000006e-06	0.1
3.305598e-11	0.97637450207	0.1	3.305598e-11	7.5274187e-06	0.1
3.640274e-11	0.9740297303900001	0.1	3.640274e-11	7.6376959e-06	0.1
4.01682e-11	0.9714015670199999	0.1	4.01682e-11	7.7334576e-06	0.1
4.421279e-11	0.96859042026	0.1	4.421279e-11	7.8155254e-06	0.1
4.880107e-11	0.9654162031	0.1	4.880107e-11	7.8944139e-06	0.1
5.375183e-11	0.96200863083	0.1	5.375183e-11	7.972544e-06	0.1
5.962128e-11	0.95799222783	0.1	5.962128e-11	8.064914e-06	0.1
6.627498e-11	0.95346946146	0.1	6.627498e-11	8.1768459e-06	0.1
7.376055e-11	0.94841956197	0.1	7.376055e-11	8.3174976e-06	0.1
8.329157e-11	0.94204773941	0.1	8.329157e-11	8.5234619e-06	0.1
9.488495e-11	0.93438367962	0.1	9.488495e-11	8.8171244e-06	0.1
1.090814e-10	0.92512576528	0.1	1.090814e-10	9.2415737e-06	0.1
1.281909e-10	0.91288039704	0.1	1.281909e-10	9.9230618e-06	0.1
1.566925e-10	0.8950652624200001	0.1	1.566925e-10	1.11643664e-05	0.1
1.911167e-10	0.87423826594	0.1	1.911167e-10	1.3001367300000002e-05	0.1
2.309027e-10	0.8510659238099999	0.1	2.309027e-10	1.55505667e-05	0.1
2.706886e-10	0.82880994317	0.1	2.706886e-10	1.8518499099999998e-05	0.1
3.153416e-10	0.80486551958	0.1	3.153416e-10	2.2302333399999998e-05	0.1
3.632392e-10	0.78033057594	0.1	3.632392e-10	2.6840595300000003e-05	0.1
4.131881e-10	0.75593860968	0.1	4.131881e-10	3.20441797e-05	0.1
4.713419e-10	0.72898000092	0.1	4.713419e-10	3.863446239999999e-05	0.1
5.320653e-10	0.7023751484199999	0.1	5.320653e-10	4.6043807e-05	0.1
6.030676e-10	0.67312388845	0.1	6.030676e-10	5.5283161e-05	0.1
6.804368e-10	0.64335208943	0.1	6.804368e-10	6.5928675e-05	0.1
7.673562e-10	0.6122984978399999	0.1	7.673562e-10	7.844939e-05	0.1
8.732214e-10	0.5775734766	0.1	8.732214e-10	9.4280686e-05	0.1
9.955535e-10	0.54123252236	0.1	9.955535e-10	0.00011307694499999999	0.1
1.137055e-09	0.5036508994100001	0.1	1.137055e-09	0.000135120287	0.1
1.311322e-09	0.46303697562999996	0.1	1.311322e-09	0.000162215679	0.1
1.485589e-09	0.42776434332	0.1	1.485589e-09	0.00018880305100000001	0.1
1.659856e-09	0.3970264503	0.1	1.659856e-09	0.000214547085	0.1
1.834123e-09	0.37015941471999997	0.1	1.834123e-09	0.000239227018	0.1
2.008391e-09	0.34661252743000004	0.1	2.008391e-09	0.000262707401	0.1
2.218419e-09	0.32199688462	0.1	2.218419e-09	0.00028931302	0.1
2.428448e-09	0.30087049932	0.1	2.428448e-09	0.000314033026	0.1
2.638477e-09	0.28268588699	0.1	2.638477e-09	0.00033689303999999995	0.1
2.848506e-09	0.26699155639	0.1	2.848506e-09	0.000357961204	0.1
3.058534e-09	0.25341234611	0.1	3.058534e-09	0.000377332501	0.1
3.312618e-09	0.23936773397	0.1	3.312618e-09	0.00039865635	0.1
3.566702e-09	0.22750518776	0.1	3.566702e-09	0.000417863892	0.1
3.842545e-09	0.21666484011	0.1	3.842545e-09	0.00043656106999999996	0.1
4.151024e-09	0.20659486104	0.1	4.151024e-09	0.00045511563	0.1
4.509162e-09	0.19707846365000004	0.1	4.509162e-09	0.0004739527999999999	0.1
4.879713e-09	0.1891610694	0.1	4.879713e-09	0.00049084117	0.1
5.250265e-09	0.18276354943000003	0.1	5.250265e-09	0.00050550664	0.1
5.620816e-09	0.17754340878000002	0.1	5.620816e-09	0.00051830812	0.1
5.991368e-09	0.17323752487000002	0.1	5.991368e-09	0.00052954281	0.1
6.36192e-09	0.16964320184	0.1	6.36192e-09	0.0005394552100000001	0.1
6.732471e-09	0.16660393799	0.1	6.732471e-09	0.00054824485	0.1
7.103023e-09	0.16399850205	0.1	7.103023e-09	0.00055607445	0.1
7.473574e-09	0.16173271646	0.1	7.473574e-09	0.0005630765900000001	0.1
7.844126e-09	0.15973374392	0.1	7.844126e-09	0.0005693594399999999	0.1
8.214678e-09	0.15794467831	0.1	8.214678e-09	0.00057501106	0.1
8.585229e-09	0.15632123712999998	0.1	8.585229e-09	0.00058010365	0.1
8.955781e-09	0.1548289565	0.1	8.955781e-09	0.00058469671	0.1
9.372553e-09	0.15327405422999998	0.1	9.372553e-09	0.00058932671	0.1
9.820138e-09	0.1517177579	0.1	9.820138e-09	0.00059373003	0.1
1.026772e-08	0.1502523552	0.1	1.026772e-08	0.00059760097	0.1
1.071531e-08	0.14885750822	0.1	1.071531e-08	0.00060098738	0.1
1.121711e-08	0.14735882779999998	0.1	1.121711e-08	0.00060425709	0.1
1.175505e-08	0.14581174687	0.1	1.175505e-08	0.0006071950699999999	0.1
1.2293e-08	0.14431279037999997	0.1	1.2293e-08	0.00060959363	0.1
1.285345e-08	0.14279158000999997	0.1	1.285345e-08	0.0006115634	0.1
1.350393e-08	0.14106794806	0.1	1.350393e-08	0.0006132254599999999	0.1
1.415441e-08	0.13938123374999997	0.1	1.415441e-08	0.0006142697099999998	0.1
1.48587e-08	0.13759013403	0.1	1.48587e-08	0.00061476028	0.1
1.564369e-08	0.13563117493	0.1	1.564369e-08	0.0006145887399999999	0.1
1.642868e-08	0.13370724802	0.1	1.642868e-08	0.00061372688	0.1
1.738023e-08	0.13141780034000003	0.1	1.738023e-08	0.00061184568	0.1
1.833179e-08	0.12917182719999998	0.1	1.833179e-08	0.0006091420400000001	0.1
1.949085e-08	0.12649122698999998	0.1	1.949085e-08	0.00060486915	0.1
2.070025e-08	0.12375526842000001	0.1	2.070025e-08	0.00059941258	0.1
2.211101e-08	0.12063891774	0.1	2.211101e-08	0.00059195408	0.1
2.370445e-08	0.1172118798	0.1	2.370445e-08	0.00058235964	0.1
2.541967e-08	0.11362783352	0.1	2.541967e-08	0.0005709260400000001	0.1
2.735008e-08	0.109718734666	0.1	2.735008e-08	0.00055701386	0.1
2.942393e-08	0.10565955802499999	0.1	2.942393e-08	0.00054118517	0.1
3.149778e-08	0.101739587747	0.1	3.149778e-08	0.00052475462	0.1
3.357164e-08	0.097953473037	0.1	3.357164e-08	0.0005079783	0.1
3.564549e-08	0.094296274898	0.1	3.564549e-08	0.00049105967	0.1
3.771934e-08	0.09076370654999999	0.1	3.771934e-08	0.00047415804999999993	0.1
3.97932e-08	0.087351872144	0.1	3.97932e-08	0.00045739831	0.1
4.186705e-08	0.08405718697299999	0.1	4.186705e-08	0.00044087597	0.1
4.436873e-08	0.08023396793	0.1	4.436873e-08	0.000421363848	0.1
4.687041e-08	0.076570860862	0.1	4.687041e-08	0.000402395555	0.1
4.937208e-08	0.07306264344199999	0.1	4.937208e-08	0.000384034265	0.1
5.187376e-08	0.06970432359199999	0.1	5.187376e-08	0.00036632027999999997	0.1
5.437544e-08	0.06649102999800001	0.1	5.437544e-08	0.00034927688599999996	0.1
5.718283e-08	0.063051869308	0.1	5.718283e-08	0.00033096114699999996	0.1
6.019404e-08	0.059551913812	0.1	6.019404e-08	0.00031226834	0.1
6.320525e-08	0.05623964454	0.1	6.320525e-08	0.00029454816400000005	0.1
6.621646e-08	0.053107186214	0.1	6.621646e-08	0.00027777732299999995	0.1
6.959336e-08	0.0497986331	0.1	6.959336e-08	0.00026006218700000004	0.1
7.321405e-08	0.046479428084000005	0.1	7.321405e-08	0.000242298186	0.1
7.683474e-08	0.043383726919	0.1	7.683474e-08	0.000225744787	0.1
8.076078e-08	0.04026489844600001	0.1	8.076078e-08	0.000209086826	0.1
8.514484e-08	0.037056187868	0.1	8.514484e-08	0.00019197305799999997	0.1
8.952889e-08	0.03411647082	0.1	8.952889e-08	0.000176318234	0.1
9.464502e-08	0.030999485712	0.1	9.464502e-08	0.000159746948	0.1
9.994417e-08	0.028096871986999998	0.1	9.994417e-08	0.000144342188	0.1
1.052433e-07	0.025495230891	0.1	1.052433e-07	0.000130557579	0.1
1.111855e-07	0.022900383507	0.1	1.111855e-07	0.00011683092099999998	0.1
1.175564e-07	0.020456395043999997	0.1	1.175564e-07	0.00010392273	0.1
1.239273e-07	0.018321753598	0.1	1.239273e-07	9.266475699999999e-05	0.1
1.302983e-07	0.016459244017000003	0.1	1.302983e-07	8.2854531e-05	0.1
1.366692e-07	0.014835629049999998	0.1	1.366692e-07	7.431222e-05	0.1
1.430401e-07	0.013421387944	0.1	1.430401e-07	6.6878757e-05	0.1
1.49411e-07	0.012190344956	0.1	1.49411e-07	6.0413831e-05	0.1
1.557819e-07	0.011119417983999999	0.1	1.557819e-07	5.4793942999999995e-05	0.1
1.621528e-07	0.010188257144	0.1	1.621528e-07	4.9910676e-05	0.1
