Batch	m_SP	5	Azln	N1a_L	N7a_L	Nphln	Flvln							
3.877414e-11	9.877961219400001e-06	0.1	3.877414e-11	2.04161563e-10	0.1	3.877414e-11	1.21445191e-07	0.1	3.877414e-11	1.962488e-11	0.1	3.877414e-11	1.798248e-11	0.1
7.803773e-11	9.75599943903e-06	0.1	7.803773e-11	4.0836453499999996e-10	0.1	7.803773e-11	2.4299966000000003e-07	0.1	7.803773e-11	6.733899e-11	0.1	7.803773e-11	3.600617e-11	0.1
1.308375e-10	9.594361055430001e-06	0.1	1.308375e-10	6.78997453e-10	0.1	1.308375e-10	4.0412689e-07	0.1	1.308375e-10	1.615737e-10	0.1	1.308375e-10	5.990455e-11	0.1
2.212386e-10	9.32380476102e-06	0.1	2.212386e-10	1.131992689e-09	0.1	2.212386e-10	6.738753200000001e-07	0.1	2.212386e-10	3.697816e-10	0.1	2.212386e-10	9.992492e-11	0.1
3.38876e-10	8.98312616784e-06	0.1	3.38876e-10	1.7023958979999999e-09	0.1	3.38876e-10	1.01358288e-06	0.1	3.38876e-10	6.796784e-10	0.1	3.38876e-10	1.503352e-10	0.1
4.687864e-10	8.621350785630001e-06	0.1	4.687864e-10	2.30812302e-09	0.1	4.687864e-10	1.3743516000000001e-06	0.1	4.687864e-10	1.034035e-09	0.1	4.687864e-10	2.038766e-10	0.1
6.292879e-10	8.19444005478e-06	0.1	6.292879e-10	3.0229053449999997e-09	0.1	6.292879e-10	1.8000858e-06	0.1	6.292879e-10	1.464387e-09	0.1	6.292879e-10	2.67062e-10	0.1
8.359629e-10	7.67570224221e-06	0.1	8.359629e-10	3.891436110000001e-09	0.1	8.359629e-10	2.317398e-06	0.1	8.359629e-10	1.992665e-09	0.1	8.359629e-10	3.438405e-10	0.1
1.111495e-09	7.03484665083e-06	0.1	1.111495e-09	4.96443005e-09	0.1	1.111495e-09	2.9564953e-06	0.1	1.111495e-09	2.647092e-09	0.1	1.111495e-09	4.386942e-10	0.1
1.487985e-09	6.2447875515e-06	0.1	1.487985e-09	6.2872387999999995e-09	0.1	1.487985e-09	3.744386e-06	0.1	1.487985e-09	3.454258e-09	0.1	1.487985e-09	5.556319e-10	0.1
1.927222e-09	5.43447865467e-06	0.1	1.927222e-09	7.643951989999999e-09	0.1	1.927222e-09	4.5524737e-06	0.1	1.927222e-09	4.282157e-09	0.1	1.927222e-09	6.755668e-10	0.1
2.240964e-09	4.9208907906000005e-06	0.1	2.240964e-09	8.503859170000002e-09	0.1	2.240964e-09	5.0646522e-06	0.1	2.240964e-09	4.806891e-09	0.1	2.240964e-09	7.515836e-10	0.1
2.700196e-09	4.25536044597e-06	0.1	2.700196e-09	9.618168439999999e-09	0.1	2.700196e-09	5.7283562000000004e-06	0.1	2.700196e-09	5.486869e-09	0.1	2.700196e-09	8.500897e-10	0.1
3.272577e-09	3.55042249542e-06	0.1	3.272577e-09	1.0798455320000001e-08	0.1	3.272577e-09	6.4313598e-06	0.1	3.272577e-09	6.207108e-09	0.1	3.272577e-09	9.544284e-10	0.1
3.92039e-09	2.89239707574e-06	0.1	3.92039e-09	1.190019848e-08	0.1	3.92039e-09	7.08758e-06	0.1	3.92039e-09	6.879417e-09	0.1	3.92039e-09	1.051824e-09	0.1
4.568204e-09	2.35632843648e-06	0.1	4.568204e-09	1.2797746830000001e-08	0.1	4.568204e-09	7.6221791999999996e-06	0.1	4.568204e-09	7.427122e-09	0.1	4.568204e-09	1.131168e-09	0.1
5.216017e-09	1.91961280368e-06	0.1	5.216017e-09	1.352894614e-08	0.1	5.216017e-09	8.0576959e-06	0.1	5.216017e-09	7.873317e-09	0.1	5.216017e-09	1.195807e-09	0.1
5.995399e-09	1.5000699991500002e-06	0.1	5.995399e-09	1.423139481e-08	0.1	5.995399e-09	8.4760885e-06	0.1	5.995399e-09	8.301967e-09	0.1	5.995399e-09	1.257904e-09	0.1
6.774781e-09	1.1722202776800001e-06	0.1	6.774781e-09	1.4780317290000001e-08	0.1	6.774781e-09	8.8030378e-06	0.1	6.774781e-09	8.636932e-09	0.1	6.774781e-09	1.306429e-09	0.1
7.554162e-09	9.16024639662e-07	0.1	7.554162e-09	1.520927001e-08	0.1	7.554162e-09	9.0585312e-06	0.1	7.554162e-09	8.898689e-09	0.1	7.554162e-09	1.344349e-09	0.1
8.333544e-09	7.158218417100001e-07	0.1	8.333544e-09	1.55444723e-08	0.1	8.333544e-09	9.2581848e-06	0.1	8.333544e-09	9.103238e-09	0.1	8.333544e-09	1.373981e-09	0.1
9.175771e-09	5.483610163350001e-07	0.1	9.175771e-09	1.582485406e-08	0.1	9.175771e-09	9.425185900000001e-06	0.1	9.175771e-09	9.274333e-09	0.1	9.175771e-09	1.398768e-09	0.1
1.011227e-08	4.07731122648e-07	0.1	1.011227e-08	1.606031271e-08	0.1	1.011227e-08	9.5654302e-06	0.1	1.011227e-08	9.418016e-09	0.1	1.011227e-08	1.419582e-09	0.1
1.104876e-08	3.0316646830500003e-07	0.1	1.104876e-08	1.623538784e-08	0.1	1.104876e-08	9.6697081e-06	0.1	1.104876e-08	9.52485e-09	0.1	1.104876e-08	1.435059e-09	0.1
1.198526e-08	2.25417945798e-07	0.1	1.198526e-08	1.6365562929999998e-08	0.1	1.198526e-08	9.7472432e-06	0.1	1.198526e-08	9.604286e-09	0.1	1.198526e-08	1.446567e-09	0.1
1.300119e-08	1.63447965504e-07	0.1	1.300119e-08	1.646931911e-08	0.1	1.300119e-08	9.8090435e-06	0.1	1.300119e-08	9.667601e-09	0.1	1.300119e-08	1.455739e-09	0.1
1.413628e-08	1.14128958699e-07	0.1	1.413628e-08	1.655189641e-08	0.1	1.413628e-08	9.858226399999999e-06	0.1	1.413628e-08	9.717991e-09	0.1	1.413628e-08	1.463039e-09	0.1
