	T[K]	N1a	N1b	N1c	N_2
600 0.00177 0.99462 0.00004 0.00053
700 0.00880 0.98281 0.00009 0.00586
800 0.02576 0.94113 0.00017 0.03043
900 0.05416 0.84829 0.00030 0.09472
1000 0.09328 0.69888 0.00043 0.20492
1100 0.14008 0.52018 0.00055 0.33710
1200 0.18909 0.36298 0.00062 0.44519
1300 0.24408 0.25817 0.00063 0.49476
1400 0.32004 0.20119 0.00063 0.47578
1500 0.42537 0.18118 0.00063 0.39019
1600 0.53213 0.19116 0.00065 0.27363
1700 0.59801 0.23057 0.00071 0.16855
1800 0.62686 0.24627 0.00067 0.12464
1900 0.61942 0.29846 0.00065 0.07914
2000 0.57922 0.37057 0.00066 0.04774
