Batch	m_SP	16	T4a_L	C5H5	N1a	N1b	N1c	T1a	T1b	T1c	T1d	T1e	T1f	T2	T3	N7a	N7c	N7b																													
0.0	0.9999999814	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
6.833895e-14	1.0000000346	0.1	6.833895e-14	0.0	0.1	6.833895e-14	0.0	0.1	6.833895e-14	0.0	0.1	6.833895e-14	0.0	0.1	6.833895e-14	0.0	0.1	6.833895e-14	0.0	0.1	6.833895e-14	0.0	0.1	6.833895e-14	0.0	0.1	6.833895e-14	0.0	0.1	6.833895e-14	0.0	0.1	6.833895e-14	0.0	0.1	6.833895e-14	0.0	0.1	6.833895e-14	0.0	0.1	6.833895e-14	0.0	0.1	6.833895e-14	0.0	0.1
2.375269e-12	1.0000000139	0.1	2.375269e-12	0.0	0.1	2.375269e-12	0.0	0.1	2.375269e-12	0.0	0.1	2.375269e-12	0.0	0.1	2.375269e-12	0.0	0.1	2.375269e-12	0.0	0.1	2.375269e-12	0.0	0.1	2.375269e-12	0.0	0.1	2.375269e-12	0.0	0.1	2.375269e-12	0.0	0.1	2.375269e-12	0.0	0.1	2.375269e-12	0.0	0.1	2.375269e-12	0.0	0.1	2.375269e-12	0.0	0.1	2.375269e-12	0.0	0.1
9.093039e-12	0.9999999579000001	0.1	9.093039e-12	0.0	0.1	9.093039e-12	0.0	0.1	9.093039e-12	0.0	0.1	9.093039e-12	0.0	0.1	9.093039e-12	0.0	0.1	9.093039e-12	0.0	0.1	9.093039e-12	0.0	0.1	9.093039e-12	0.0	0.1	9.093039e-12	0.0	0.1	9.093039e-12	0.0	0.1	9.093039e-12	0.0	0.1	9.093039e-12	0.0	0.1	9.093039e-12	0.0	0.1	9.093039e-12	0.0	0.1	9.093039e-12	0.0	0.1
2.075447e-11	0.999999959	0.1	2.075447e-11	0.0	0.1	2.075447e-11	0.0	0.1	2.075447e-11	0.0	0.1	2.075447e-11	0.0	0.1	2.075447e-11	0.0	0.1	2.075447e-11	0.0	0.1	2.075447e-11	0.0	0.1	2.075447e-11	0.0	0.1	2.075447e-11	0.0	0.1	2.075447e-11	0.0	0.1	2.075447e-11	0.0	0.1	2.075447e-11	0.0	0.1	2.075447e-11	0.0	0.1	2.075447e-11	0.0	0.1	2.075447e-11	0.0	0.1
4.223483e-11	1.000000064	0.1	4.223483e-11	0.0	0.1	4.223483e-11	0.0	0.1	4.223483e-11	0.0	0.1	4.223483e-11	0.0	0.1	4.223483e-11	0.0	0.1	4.223483e-11	0.0	0.1	4.223483e-11	0.0	0.1	4.223483e-11	0.0	0.1	4.223483e-11	0.0	0.1	4.223483e-11	0.0	0.1	4.223483e-11	0.0	0.1	4.223483e-11	0.0	0.1	4.223483e-11	0.0	0.1	4.223483e-11	0.0	0.1	4.223483e-11	0.0	0.1
6.590759e-11	1.000000021	0.1	6.590759e-11	0.0	0.1	6.590759e-11	0.0	0.1	6.590759e-11	0.0	0.1	6.590759e-11	0.0	0.1	6.590759e-11	0.0	0.1	6.590759e-11	0.0	0.1	6.590759e-11	0.0	0.1	6.590759e-11	0.0	0.1	6.590759e-11	0.0	0.1	6.590759e-11	0.0	0.1	6.590759e-11	0.0	0.1	6.590759e-11	0.0	0.1	6.590759e-11	0.0	0.1	6.590759e-11	0.0	0.1	6.590759e-11	0.0	0.1
9.887305e-11	0.999999969	0.1	9.887305e-11	0.0	0.1	9.887305e-11	0.0	0.1	9.887305e-11	0.0	0.1	9.887305e-11	0.0	0.1	9.887305e-11	0.0	0.1	9.887305e-11	0.0	0.1	9.887305e-11	0.0	0.1	9.887305e-11	0.0	0.1	9.887305e-11	0.0	0.1	9.887305e-11	0.0	0.1	9.887305e-11	0.0	0.1	9.887305e-11	0.0	0.1	9.887305e-11	0.0	0.1	9.887305e-11	0.0	0.1	9.887305e-11	0.0	0.1
1.551585e-10	1.0000000610000002	0.1	1.551585e-10	0.0	0.1	1.551585e-10	0.0	0.1	1.551585e-10	0.0	0.1	1.551585e-10	0.0	0.1	1.551585e-10	0.0	0.1	1.551585e-10	0.0	0.1	1.551585e-10	0.0	0.1	1.551585e-10	0.0	0.1	1.551585e-10	0.0	0.1	1.551585e-10	0.0	0.1	1.551585e-10	0.0	0.1	1.551585e-10	0.0	0.1	1.551585e-10	0.0	0.1	1.551585e-10	0.0	0.1	1.551585e-10	0.0	0.1
2.489675e-10	1.000000011	0.1	2.489675e-10	0.0	0.1	2.489675e-10	0.0	0.1	2.489675e-10	0.0	0.1	2.489675e-10	0.0	0.1	2.489675e-10	0.0	0.1	2.489675e-10	0.0	0.1	2.489675e-10	0.0	0.1	2.489675e-10	0.0	0.1	2.489675e-10	0.0	0.1	2.489675e-10	0.0	0.1	2.489675e-10	0.0	0.1	2.489675e-10	0.0	0.1	2.489675e-10	0.0	0.1	2.489675e-10	0.0	0.1	2.489675e-10	0.0	0.1
