Batch	m_SP	7	P1	R	W4_L	W3	P2_L	P3	P4											
289054200000.0	9.84972750174e-06	0.1	289054200000.0	7.642699e-16	0.1	289054200000.0	6.4721825e-08	0.1	289054200000.0	3.888116e-08	0.1	289054200000.0	2.40760724125e-10	0.1	289054200000.0	9.174317e-16	0.1	289054200000.0	1.324089e-20	0.1
590726700000.0	9.74300456898e-06	0.1	590726700000.0	1.55344e-15	0.1	590726700000.0	1.31552369e-07	0.1	590726700000.0	7.902912e-08	0.1	590726700000.0	4.893657522941e-10	0.1	590726700000.0	1.864754e-15	0.1	590726700000.0	2.691319e-20	0.1
1194072000000.0	9.53301566889e-06	0.1	1194072000000.0	3.106222e-15	0.1	1194072000000.0	2.6304894999999997e-07	0.1	1194072000000.0	1.580247e-07	0.1	1194072000000.0	9.785240044812e-10	0.1	1194072000000.0	3.728718e-15	0.1	1194072000000.0	5.381496e-20	0.1
2199646000000.0	9.193042068660001e-06	0.1	2199646000000.0	5.620177e-15	0.1	2199646000000.0	4.7594201e-07	0.1	2199646000000.0	2.859187e-07	0.1	2199646000000.0	1.7704719127724e-09	0.1	2199646000000.0	6.746477e-15	0.1	2199646000000.0	9.736896e-20	0.1
4210796000000.0	8.54903650878e-06	0.1	4210796000000.0	1.038232e-14	0.1	4210796000000.0	8.792219700000001e-07	0.1	4210796000000.0	5.281862e-07	0.1	4210796000000.0	3.2706456861919997e-09	0.1	4210796000000.0	1.246297e-14	0.1	4210796000000.0	1.798726e-19	0.1
7168256000000.0	7.68304816875e-06	0.1	7168256000000.0	1.678594e-14	0.1	7168256000000.0	1.42150907e-06	0.1	7168256000000.0	8.539611e-07	0.1	7168256000000.0	5.2879167262019996e-09	0.1	7168256000000.0	2.014989e-14	0.1	7168256000000.0	2.908145e-19	0.1
11582130000000.0	6.55100748927e-06	0.1	11582130000000.0	2.51569e-14	0.1	11582130000000.0	2.1304003099999996e-06	0.1	11582130000000.0	1.279822e-06	0.1	11582130000000.0	7.924942085729e-09	0.1	11582130000000.0	3.019841e-14	0.1	11582130000000.0	4.358405e-19	0.1
16809240000000.0	5.42410675839e-06	0.1	16809240000000.0	3.348984e-14	0.1	16809240000000.0	2.8360703999999996e-06	0.1	16809240000000.0	1.703749e-06	0.1	16809240000000.0	1.0549995439082e-08	0.1	16809240000000.0	4.02013e-14	0.1	16809240000000.0	5.802079e-19	0.1
22982050000000.0	4.3402665969e-06	0.1	22982050000000.0	4.150438e-14	0.1	22982050000000.0	3.5147783e-06	0.1	22982050000000.0	2.111477e-06	0.1	22982050000000.0	1.3074736740721999e-08	0.1	22982050000000.0	4.982198e-14	0.1	22982050000000.0	7.190589e-19	0.1
30573410000000.0	3.29956300404e-06	0.1	30573410000000.0	4.919994e-14	0.1	30573410000000.0	4.1664732e-06	0.1	30573410000000.0	2.502978e-06	0.1	30573410000000.0	1.5498997990555998e-08	0.1	30573410000000.0	5.905974e-14	0.1	30573410000000.0	8.523836e-19	0.1
38164780000000.0	2.50839791577e-06	0.1	38164780000000.0	5.505026e-14	0.1	38164780000000.0	4.6619051e-06	0.1	38164780000000.0	2.800605e-06	0.1	38164780000000.0	1.7341968940707e-08	0.1	38164780000000.0	6.608249e-14	0.1	38164780000000.0	9.537398e-19	0.1
45756150000000.0	1.9069379304300002e-06	0.1	45756150000000.0	5.94978e-14	0.1	45756150000000.0	5.0385435e-06	0.1	45756150000000.0	3.026868e-06	0.1	45756150000000.0	1.8743039663032e-08	0.1	45756150000000.0	7.142133e-14	0.1	45756150000000.0	1.030793e-18	0.1
53347510000000.0	1.44969450291e-06	0.1	53347510000000.0	6.287892e-14	0.1	53347510000000.0	5.3248716e-06	0.1	53347510000000.0	3.198877e-06	0.1	53347510000000.0	1.980816021216e-08	0.1	53347510000000.0	7.548004e-14	0.1	53347510000000.0	1.08937e-18	0.1
60938880000000.0	1.1020889790000002e-06	0.1	60938880000000.0	6.544932e-14	0.1	60938880000000.0	5.5425444e-06	0.1	60938880000000.0	3.329643e-06	0.1	60938880000000.0	2.0617880629620002e-08	0.1	60938880000000.0	7.856555e-14	0.1	60938880000000.0	1.133902e-18	0.1
68530250000000.0	8.37831221604e-07	0.1	68530250000000.0	6.740339e-14	0.1	68530250000000.0	5.7080232e-06	0.1	68530250000000.0	3.429053e-06	0.1	68530250000000.0	2.123346094698e-08	0.1	68530250000000.0	8.091122e-14	0.1	68530250000000.0	1.167756e-18	0.1
76121610000000.0	6.369371305650001e-07	0.1	76121610000000.0	6.888891e-14	0.1	76121610000000.0	5.8338256000000005e-06	0.1	76121610000000.0	3.504627e-06	0.1	76121610000000.0	2.170143118824e-08	0.1	76121610000000.0	8.269445e-14	0.1	76121610000000.0	1.193493e-18	0.1
84017840000000.0	4.789115108370001e-07	0.1	84017840000000.0	7.005744e-14	0.1	84017840000000.0	5.9327815e-06	0.1	84017840000000.0	3.564075e-06	0.1	84017840000000.0	2.2069541378020002e-08	0.1	84017840000000.0	8.409716e-14	0.1	84017840000000.0	1.213738e-18	0.1
93133520000000.0	3.4457885417700003e-07	0.1	93133520000000.0	7.105078e-14	0.1	93133520000000.0	6.016900899999999e-06	0.1	93133520000000.0	3.614609e-06	0.1	93133520000000.0	2.238246153935e-08	0.1	93133520000000.0	8.528956e-14	0.1	93133520000000.0	1.230947e-18	0.1
102249200000000.0	2.47925920716e-07	0.1	102249200000000.0	7.176548e-14	0.1	102249200000000.0	6.0774265e-06	0.1	102249200000000.0	3.650969e-06	0.1	102249200000000.0	2.260761165542e-08	0.1	102249200000000.0	8.614749e-14	0.1	102249200000000.0	1.243329e-18	0.1
111364900000000.0	1.7838371614500002e-07	0.1	111364900000000.0	7.227972e-14	0.1	111364900000000.0	6.1209741e-06	0.1	111364900000000.0	3.67713e-06	0.1	111364900000000.0	2.276960173894e-08	0.1	111364900000000.0	8.676478e-14	0.1	111364900000000.0	1.252238e-18	0.1
121637100000000.0	1.23097469013e-07	0.1	121637100000000.0	7.268854e-14	0.1	121637100000000.0	6.1555937000000004e-06	0.1	121637100000000.0	3.697928e-06	0.1	121637100000000.0	2.289839180534e-08	0.1	121637100000000.0	8.725553e-14	0.1	121637100000000.0	1.259321e-18	0.1
