	T[K]	W1	W2	W3	W4	W5	W6
600 0.00067 0.17316 0.17567 0.23951 0.29874 0.11225
700 0.00161 0.08757 0.25312 0.24101 0.31670 0.09999
800 0.00220 0.12139 0.33311 0.17257 0.23661 0.13412
900 0.00654 0.00160 0.08984 0.31046 0.43697 0.15459
1000 0.00676 0.02125 0.23017 0.21516 0.31287 0.21379
1100 0.01482 0.01711 0.07885 0.33962 0.50412 0.04548
1200 0.01080 0.00469 0.40516 0.18811 0.28440 0.10684
1300 0.00944 0.00295 0.34887 0.13053 0.20025 0.30797
1400 0.01257 0.00091 0.30572 0.14229 0.22168 0.31684
1500 0.01972 0.00025 0.33817 0.18731 0.29501 0.15954
1600 0.02463 0.00007 0.37792 0.20206 0.32156 0.07377
1700 0.23760 0.00006 0.28109 0.06758 0.09548 0.31820
1800 0.05621 0.00011 0.51318 0.03987 0.08500 0.30562
1900 0.14317 0.00009 0.36655 0.00315 0.12600 0.36104
2000 0.10029 0.00012 0.44571 0.02038 0.12826 0.30525
2100 0.10565 0.00014 0.48260 0.10404 0.09271 0.21486
2200 0.13534 0.00019 0.59768 0.07143 0.06048 0.13489
2300 0.03483 0.28876 0.37074 0.13866 0.05654 0.11048
2400 0.12010 0.16039 0.25208 0.36798 0.03514 0.06431
2500 0.18783 0.19599 0.37297 0.11258 0.04781 0.08282
