Batch	m_SP	5	R	W4_L	P1	P2_L	P3	
3.007758000000e-13	9.831944679570e-06	1.000000000000e-01	3.007758000000e-13	1.677699200000e-07	1.000000000000e-01	3.007758000000e-13	2.191622000000e-11	1.000000000000e-01	3.007758000000e-13	1.037658400000e-10	1.000000000000e-01	3.007758000000e-13	2.616862000000e-11	1.000000000000e-01
7.626363000000e-13	9.579515203890e-06	1.000000000000e-01	7.626363000000e-13	4.199221600000e-07	1.000000000000e-01	7.626363000000e-13	5.485551000000e-11	1.000000000000e-01	7.626363000000e-13	2.597221600000e-10	1.000000000000e-01	7.626363000000e-13	6.549911000000e-11	1.000000000000e-01
1.775855000000e-12	9.048212516970e-06	1.000000000000e-01	1.775855000000e-12	9.506397000000e-07	1.000000000000e-01	1.775855000000e-12	1.241845000000e-10	1.000000000000e-01	1.775855000000e-12	5.879715100000e-10	1.000000000000e-01	1.775855000000e-12	1.482800000000e-10	1.000000000000e-01
3.624361000000e-12	8.153668462500e-06	1.000000000000e-01	3.624361000000e-12	1.844198300000e-06	1.000000000000e-01	3.624361000000e-12	2.409124000000e-10	1.000000000000e-01	3.624361000000e-12	1.140638150000e-09	1.000000000000e-01	3.624361000000e-12	2.876566000000e-10	1.000000000000e-01
6.265083000000e-12	7.026963729660e-06	1.000000000000e-01	6.265083000000e-12	2.969662100000e-06	1.000000000000e-01	6.265083000000e-12	3.879346000000e-10	1.000000000000e-01	6.265083000000e-12	1.836738220000e-09	1.000000000000e-01	6.265083000000e-12	4.632055000000e-10	1.000000000000e-01
7.982441000000e-12	6.379189207470e-06	1.000000000000e-01	7.982441000000e-12	3.616723100000e-06	1.000000000000e-01	7.982441000000e-12	4.724618000000e-10	1.000000000000e-01	7.982441000000e-12	2.236945660000e-09	1.000000000000e-01	7.982441000000e-12	5.641335000000e-10	1.000000000000e-01
1.000960000000e-11	5.690969089740e-06	1.000000000000e-01	1.000960000000e-11	4.304184400000e-06	1.000000000000e-01	1.000960000000e-11	5.622668000000e-10	1.000000000000e-01	1.000960000000e-11	2.662141600000e-09	1.000000000000e-01	1.000960000000e-11	6.713633000000e-10	1.000000000000e-01
1.250148000000e-11	4.945855540950e-06	1.000000000000e-01	1.250148000000e-11	5.048478900000e-06	1.000000000000e-01	1.250148000000e-11	6.594958000000e-10	1.000000000000e-01	1.250148000000e-11	3.122488500000e-09	1.000000000000e-01	1.250148000000e-11	7.874576000000e-10	1.000000000000e-01
1.718083000000e-11	3.800110998510e-06	1.000000000000e-01	1.718083000000e-11	6.192960200000e-06	1.000000000000e-01	1.718083000000e-11	8.090025000000e-10	1.000000000000e-01	1.718083000000e-11	3.830351400000e-09	1.000000000000e-01	1.718083000000e-11	9.659731000000e-10	1.000000000000e-01
2.186019000000e-11	2.919786801840e-06	1.000000000000e-01	2.186019000000e-11	7.072315000000e-06	1.000000000000e-01	2.186019000000e-11	9.238748000000e-10	1.000000000000e-01	2.186019000000e-11	4.374233000000e-09	1.000000000000e-01	2.186019000000e-11	1.103134000000e-09	1.000000000000e-01
2.653955000000e-11	2.243396565810e-06	1.000000000000e-01	2.653955000000e-11	7.747960600000e-06	1.000000000000e-01	2.653955000000e-11	1.012136000000e-09	1.000000000000e-01	2.653955000000e-11	4.792120600000e-09	1.000000000000e-01	2.653955000000e-11	1.208521000000e-09	1.000000000000e-01
3.121890000000e-11	1.723696762860e-06	1.000000000000e-01	3.121890000000e-11	8.267088000000e-06	1.000000000000e-01	3.121890000000e-11	1.079951000000e-09	1.000000000000e-01	3.121890000000e-11	5.113200800000e-09	1.000000000000e-01	3.121890000000e-11	1.289494000000e-09	1.000000000000e-01
3.589826000000e-11	1.324389755970e-06	1.000000000000e-01	3.589826000000e-11	8.665955000000e-06	1.000000000000e-01	3.589826000000e-11	1.132056000000e-09	1.000000000000e-01	3.589826000000e-11	5.359900900000e-09	1.000000000000e-01	3.589826000000e-11	1.351709000000e-09	1.000000000000e-01
4.057762000000e-11	1.017584824050e-06	1.000000000000e-01	4.057762000000e-11	8.972422000000e-06	1.000000000000e-01	4.057762000000e-11	1.172091000000e-09	1.000000000000e-01	4.057762000000e-11	5.549451000000e-09	1.000000000000e-01	4.057762000000e-11	1.399511000000e-09	1.000000000000e-01
4.525697000000e-11	7.818538813830e-07	1.000000000000e-01	4.525697000000e-11	9.207893000000e-06	1.000000000000e-01	4.525697000000e-11	1.202851000000e-09	1.000000000000e-01	4.525697000000e-11	5.695090400000e-09	1.000000000000e-01	4.525697000000e-11	1.436240000000e-09	1.000000000000e-01
5.012549000000e-11	5.943662562780e-07	1.000000000000e-01	5.012549000000e-11	9.395175000000e-06	1.000000000000e-01	5.012549000000e-11	1.227316000000e-09	1.000000000000e-01	5.012549000000e-11	5.810923200000e-09	1.000000000000e-01	5.012549000000e-11	1.465452000000e-09	1.000000000000e-01
5.575064000000e-11	4.329893700630e-07	1.000000000000e-01	5.575064000000e-11	9.556374000000e-06	1.000000000000e-01	5.575064000000e-11	1.248374000000e-09	1.000000000000e-01	5.575064000000e-11	5.910625200000e-09	1.000000000000e-01	5.575064000000e-11	1.490595000000e-09	1.000000000000e-01
6.137579000000e-11	3.154281456870e-07	1.000000000000e-01	6.137579000000e-11	9.673806000000e-06	1.000000000000e-01	6.137579000000e-11	1.263714000000e-09	1.000000000000e-01	6.137579000000e-11	5.983256800000e-09	1.000000000000e-01	6.137579000000e-11	1.508912000000e-09	1.000000000000e-01
