Batch	m_SP	2	Pr2	Pr1	
2.003000000000e-01	9.999900000000e-06	1.000000000000e-01	2.003000000000e-01	5.918845000000e-15	1.000000000000e-01
6.080167000000e+00	9.999900000000e-06	1.000000000000e-01	6.080167000000e+00	3.346353000000e-13	1.000000000000e-01
1.295927000000e+02	9.999892000080e-06	1.000000000000e-01	1.295927000000e+02	7.373498000000e-12	1.000000000000e-01
2.330985000000e+03	9.999758001420e-06	1.000000000000e-01	2.330985000000e+03	1.330477000000e-10	1.000000000000e-01
3.896178000000e+03	9.999663002370e-06	1.000000000000e-01	3.896178000000e+03	2.228702000000e-10	1.000000000000e-01
7.548295000000e+03	9.999444004560e-06	1.000000000000e-01	7.548295000000e+03	4.346541000000e-10	1.000000000000e-01
1.480230000000e+04	9.999012008880e-06	1.000000000000e-01	1.480230000000e+04	8.614122000000e-10	1.000000000000e-01
1.995682000000e+04	9.998707011930e-06	1.000000000000e-01	1.995682000000e+04	1.166248000000e-09	1.000000000000e-01
2.923496000000e+04	9.998157017430e-06	1.000000000000e-01	2.923496000000e+04	1.715442000000e-09	1.000000000000e-01
4.607657000000e+04	9.997161027390e-06	1.000000000000e-01	4.607657000000e+04	2.712410000000e-09	1.000000000000e-01
7.759717000000e+04	9.995295046050e-06	1.000000000000e-01	7.759717000000e+04	4.578043000000e-09	1.000000000000e-01
1.511452000000e+05	9.990943089570e-06	1.000000000000e-01	1.511452000000e+05	8.929861000000e-09	1.000000000000e-01
3.192551000000e+05	9.981003188970e-06	1.000000000000e-01	3.192551000000e+05	1.886966000000e-08	1.000000000000e-01
6.554748000000e+05	9.961154387460e-06	1.000000000000e-01	6.554748000000e+05	3.871874000000e-08	1.000000000000e-01
1.327914000000e+06	9.921581791012e-06	1.000000000000e-01	1.327914000000e+06	7.829148000000e-08	1.000000000000e-01
2.672793000000e+06	9.842963600747e-06	1.000000000000e-01	2.672793000000e+06	1.569093000000e-07	1.000000000000e-01
5.026331000000e+06	9.707226014542e-06	1.000000000000e-01	5.026331000000e+06	2.926475000000e-07	1.000000000000e-01
8.852423000000e+06	9.492220330640e-06	1.000000000000e-01	8.852423000000e+06	5.076535000000e-07	1.000000000000e-01
1.453410000000e+07	9.187935769222e-06	1.000000000000e-01	1.453410000000e+07	8.119383000000e-07	1.000000000000e-01
2.163712000000e+07	8.836519029878e-06	1.000000000000e-01	2.163712000000e+07	1.163354000000e-06	1.000000000000e-01
2.874014000000e+07	8.520530012778e-06	1.000000000000e-01	2.874014000000e+07	1.479344000000e-06	1.000000000000e-01
3.747551000000e+07	8.182344447196e-06	1.000000000000e-01	3.747551000000e+07	1.817530000000e-06	1.000000000000e-01
4.621088000000e+07	7.898478427255e-06	1.000000000000e-01	4.621088000000e+07	2.101396000000e-06	1.000000000000e-01
5.681713000000e+07	7.620721501882e-06	1.000000000000e-01	5.681713000000e+07	2.379154000000e-06	1.000000000000e-01
6.742339000000e+07	7.406338678957e-06	1.000000000000e-01	6.742339000000e+07	2.593537000000e-06	1.000000000000e-01
7.802964000000e+07	7.243809278054e-06	1.000000000000e-01	7.802964000000e+07	2.756066000000e-06	1.000000000000e-01
8.863589000000e+07	7.122257121698e-06	1.000000000000e-01	8.863589000000e+07	2.877618000000e-06	1.000000000000e-01
1.009180000000e+08	7.020412733448e-06	1.000000000000e-01	1.009180000000e+08	2.979463000000e-06	1.000000000000e-01
1.089577000000e+08	6.970954376415e-06	1.000000000000e-01	1.089577000000e+08	3.028922000000e-06	1.000000000000e-01
1.166000000000e+08	6.933673167692e-06	1.000000000000e-01	1.166000000000e+08	3.066203000000e-06	1.000000000000e-01
1.270571000000e+08	6.894674678578e-06	1.000000000000e-01	1.270571000000e+08	3.105202000000e-06	1.000000000000e-01
1.382998000000e+08	6.864430074788e-06	1.000000000000e-01	1.382998000000e+08	3.135447000000e-06	1.000000000000e-01
1.463302000000e+08	6.848346600632e-06	1.000000000000e-01	1.463302000000e+08	3.151529000000e-06	1.000000000000e-01
1.581196000000e+08	6.830851831566e-06	1.000000000000e-01	1.581196000000e+08	3.169024000000e-06	1.000000000000e-01
1.724758000000e+08	6.816547020392e-06	1.000000000000e-01	1.724758000000e+08	3.183329000000e-06	1.000000000000e-01
1.885431000000e+08	6.806502152986e-06	1.000000000000e-01	1.885431000000e+08	3.193374000000e-06	1.000000000000e-01
2.059086000000e+08	6.800009238693e-06	1.000000000000e-01	2.059086000000e+08	3.199867000000e-06	1.000000000000e-01
2.252214000000e+08	6.795901292919e-06	1.000000000000e-01	2.252214000000e+08	3.203975000000e-06	1.000000000000e-01
2.453639000000e+08	6.793571323675e-06	1.000000000000e-01	2.453639000000e+08	3.206305000000e-06	1.000000000000e-01
2.688257000000e+08	6.792181342023e-06	1.000000000000e-01	2.688257000000e+08	3.207695000000e-06	1.000000000000e-01
