Batch	m_SP	5	N7a_L	N1a_L	Nphln	Flvln	Azln							
9.208294e-11	0.98976205079	0.1	9.208294e-11	6.38998417e-06	0.1	9.208294e-11	0.0006657911	0.1	9.208294e-11	0.0001283608	0.1	9.208294e-11	0.004314569	0.1
1.010898e-10	0.98876918707	0.1	1.010898e-10	7.00971094e-06	0.1	1.010898e-10	0.0007305731	0.1	1.010898e-10	0.0001408099	0.1	1.010898e-10	0.004733039	0.1
1.122694e-10	0.9875389066000001	0.1	1.122694e-10	7.777639510000001e-06	0.1	1.122694e-10	0.0008108869	0.1	1.122694e-10	0.0001562362	0.1	1.122694e-10	0.00525158	0.1
1.250487e-10	0.98613547021	0.1	1.250487e-10	8.65370553e-06	0.1	1.250487e-10	0.0009025603	0.1	1.250487e-10	0.0001738347	0.1	1.250487e-10	0.00584314	0.1
1.39693e-10	0.98453068939	0.1	1.39693e-10	9.65532948e-06	0.1	1.39693e-10	0.001007433	0.1	1.39693e-10	0.0001939554	0.1	1.39693e-10	0.006519484	0.1
1.575311e-10	0.98258126677	0.1	1.575311e-10	1.0872111029999998e-05	0.1	1.575311e-10	0.00113491	0.1	1.575311e-10	0.0002183983	0.1	1.575311e-10	0.007341112	0.1
1.808942e-10	0.9800368131	0.1	1.808942e-10	1.2460328849999999e-05	0.1	1.808942e-10	0.001301415	0.1	1.808942e-10	0.0002503025	0.1	1.808942e-10	0.008413549	0.1
2.107856e-10	0.97679554532	0.1	2.107856e-10	1.448339228e-05	0.1	2.107856e-10	0.001513667	0.1	2.107856e-10	0.0002909421	0.1	2.107856e-10	0.009779614	0.1
2.483977e-10	0.97273983602	0.1	2.483977e-10	1.70148255e-05	0.1	2.483977e-10	0.001779459	0.1	2.483977e-10	0.0003417938	0.1	2.483977e-10	0.01148895	0.1
3.106372e-10	0.96608337832	0.1	3.106372e-10	2.116944886e-05	0.1	3.106372e-10	0.002216049	0.1	3.106372e-10	0.0004252523	0.1	3.106372e-10	0.01429434	0.1
3.754281e-10	0.9592258461600001	0.1	3.754281e-10	2.544950177e-05	0.1	3.754281e-10	0.002666153	0.1	3.754281e-10	0.0005112305	0.1	3.754281e-10	0.01718442	0.1
4.504243e-10	0.95137837933	0.1	4.504243e-10	3.034745204e-05	0.1	4.504243e-10	0.0031815	0.1	4.504243e-10	0.0006096211	0.1	4.504243e-10	0.02049174	0.1
5.254204e-10	0.9436258611199999	0.1	5.254204e-10	3.5186043e-05	0.1	5.254204e-10	0.003690771	0.1	5.254204e-10	0.0007068192	0.1	5.254204e-10	0.02375897	0.1
6.167086e-10	0.93431525072	0.1	6.167086e-10	4.099713479999999e-05	0.1	6.167086e-10	0.004302532	0.1	6.167086e-10	0.0008235532	0.1	6.167086e-10	0.02768288	0.1
7.079967e-10	0.9251401072400001	0.1	7.079967e-10	4.6723617699999995e-05	0.1	7.079967e-10	0.004905463	0.1	7.079967e-10	0.0009385874	0.1	7.079967e-10	0.03154965	0.1
8.202594e-10	0.91403856032	0.1	8.202594e-10	5.36524254e-05	0.1	8.202594e-10	0.005635037	0.1	8.202594e-10	0.001077774	0.1	8.202594e-10	0.03622829	0.1
9.378864e-10	0.90261642852	0.1	9.378864e-10	6.0781327200000004e-05	0.1	9.378864e-10	0.006385713	0.1	9.378864e-10	0.00122098	0.1	9.378864e-10	0.04104204	0.1
1.076971e-09	0.88938020442	0.1	1.076971e-09	6.904251200000001e-05	0.1	1.076971e-09	0.007255633	0.1	1.076971e-09	0.001386932	0.1	1.076971e-09	0.04662036	0.1
1.242235e-09	0.87402023553	0.1	1.242235e-09	7.86291523e-05	0.1	1.242235e-09	0.008265136	0.1	1.242235e-09	0.001579509	0.1	1.242235e-09	0.05309368	0.1
