Batch	m_SP	7	P3	R	W4_L	W3	P1	P2_L	P4											
8.795369e-12	9.73791561987e-06	0.1	8.795369e-12	1.70561e-10	0.1	8.795369e-12	2.5943783e-07	0.1	8.795369e-12	2.736909e-12	0.1	8.795369e-12	1.072287e-09	0.1	8.795369e-12	1.25157395e-09	0.1	8.795369e-12	9.506463e-16	0.1
1.882867e-11	9.44742652479e-06	0.1	1.882867e-11	3.596788e-10	0.1	1.882867e-11	5.4710202e-07	0.1	1.882867e-11	5.771589e-12	0.1	1.882867e-11	2.261236e-09	0.1	1.882867e-11	2.63931732e-09	0.1	1.882867e-11	2.004721e-15	0.1
4.204769e-11	8.807977919340001e-06	0.1	4.204769e-11	7.759821e-10	0.1	4.204769e-11	1.18033493e-06	0.1	4.204769e-11	1.245181e-11	0.1	4.204769e-11	4.878461e-09	0.1	4.204769e-11	5.694144699999999e-09	0.1	4.204769e-11	4.325047e-15	0.1
8.384194e-11	7.764061358610002e-06	0.1	8.384194e-11	1.455607e-09	0.1	8.384194e-11	2.2141021699999997e-06	0.1	8.384194e-11	2.335741e-11	0.1	8.384194e-11	9.151141e-09	0.1	8.384194e-11	1.06812184e-08	0.1	8.384194e-11	8.113034e-15	0.1
1.363905e-10	6.62527874655e-06	0.1	1.363905e-10	2.196993e-09	0.1	1.363905e-10	3.3418141999999998e-06	0.1	1.363905e-10	3.525407e-11	0.1	1.363905e-10	1.38121e-08	0.1	1.363905e-10	1.61215033e-08	0.1	1.363905e-10	1.224526e-14	0.1
1.930126e-10	5.584436155080001e-06	0.1	1.930126e-10	2.874617e-09	0.1	1.930126e-10	4.372537499999999e-06	0.1	1.930126e-10	4.612757e-11	0.1	1.930126e-10	1.80722e-08	0.1	1.930126e-10	2.10938905e-08	0.1	1.930126e-10	1.602209e-14	0.1
2.588518e-10	4.57796121993e-06	0.1	2.588518e-10	3.529866e-09	0.1	2.588518e-10	5.3692277e-06	0.1	2.588518e-10	5.664204e-11	0.1	2.588518e-10	2.219164e-08	0.1	2.588518e-10	2.59021039e-08	0.1	2.588518e-10	1.967422e-14	0.1
3.308356e-10	3.68391816045e-06	0.1	3.308356e-10	4.111919e-09	0.1	3.308356e-10	6.2545792e-06	0.1	3.308356e-10	6.598196e-11	0.1	3.308356e-10	2.58509e-08	0.1	3.308356e-10	3.01731941e-08	0.1	3.308356e-10	2.291837e-14	0.1
4.028195e-10	2.9644753549500003e-06	0.1	4.028195e-10	4.580301e-09	0.1	4.028195e-10	6.9670278e-06	0.1	4.028195e-10	7.349785e-11	0.1	4.028195e-10	2.879553e-08	0.1	4.028195e-10	3.36101751e-08	0.1	4.028195e-10	2.552896e-14	0.1
4.748033e-10	2.3855341444200005e-06	0.1	4.748033e-10	4.957211e-09	0.1	4.748033e-10	7.5403405e-06	0.1	4.748033e-10	7.954594e-11	0.1	4.748033e-10	3.11651e-08	0.1	4.748033e-10	3.6375935e-08	0.1	4.748033e-10	2.762973e-14	0.1
5.497491e-10	1.90256997411e-06	0.1	5.497491e-10	5.271637e-09	0.1	5.497491e-10	8.0186085e-06	0.1	5.497491e-10	8.459138e-11	0.1	5.497491e-10	3.314184e-08	0.1	5.497491e-10	3.8683190000000004e-08	0.1	5.497491e-10	2.938223e-14	0.1
6.365428e-10	1.46407935906e-06	0.1	6.365428e-10	5.557109e-09	0.1	6.365428e-10	8.452836500000001e-06	0.1	6.365428e-10	8.917222e-11	0.1	6.365428e-10	3.493656e-08	0.1	6.365428e-10	4.0777985e-08	0.1	6.365428e-10	3.097335e-14	0.1
7.233365e-10	1.1266487333999999e-06	0.1	7.233365e-10	5.776788e-09	0.1	7.233365e-10	8.786987e-06	0.1	7.233365e-10	9.26973e-11	0.1	7.233365e-10	3.631764e-08	0.1	7.233365e-10	4.2389983e-08	0.1	7.233365e-10	3.219776e-14	0.1
8.101301e-10	8.66987030043e-07	0.1	8.101301e-10	5.945837e-09	0.1	8.101301e-10	9.0441249e-06	0.1	8.101301e-10	9.540994e-11	0.1	8.101301e-10	3.738042e-08	0.1	8.101301e-10	4.3630461e-08	0.1	8.101301e-10	3.313998e-14	0.1
8.969238e-10	6.671700282330001e-07	0.1	8.969238e-10	6.075924e-09	0.1	8.969238e-10	9.241999500000001e-06	0.1	8.969238e-10	9.749739e-11	0.1	8.969238e-10	3.819825e-08	0.1	8.969238e-10	4.4585035e-08	0.1	8.969238e-10	3.386504e-14	0.1
9.979487e-10	4.91818781763e-07	0.1	9.979487e-10	6.190084e-09	0.1	9.979487e-10	9.415645900000001e-06	0.1	9.979487e-10	9.932926e-11	0.1	9.979487e-10	3.891595e-08	0.1	9.979487e-10	4.5422745e-08	0.1	9.979487e-10	3.450132e-14	0.1
