	T[K]	N7a	N7b	N7c
600 0.00208 0.23453 0.76338
700 0.00436 0.24408 0.75156
800 0.00757 0.25062 0.74182
900 0.01159 0.25506 0.73335
1000 0.01626 0.25801 0.72572
1100 0.02142 0.25987 0.71871
1200 0.02689 0.26092 0.71218
1300 0.03256 0.26138 0.70606
1400 0.03831 0.26139 0.70030
1500 0.04405 0.26108 0.69487
1600 0.04973 0.26053 0.68974
1700 0.05529 0.25983 0.68488
1800 0.06071 0.25909 0.68020
1900 0.06598 0.25843 0.67558
2000 0.07118 0.25802 0.67075
