Batch	m_SP	5	W1	W2	Pr1	Pr2	Pr3							
1748899000000000.0	0.9884492	0.1	1748899000000000.0	2.086904e-12	0.1	1748899000000000.0	0.0002452756	0.1	1748899000000000.0	0.005530113	0.1	1748899000000000.0	1.45329e-16	0.1
1821686000000000.0	0.9879931	0.1	1821686000000000.0	2.087192e-12	0.1	1821686000000000.0	0.0002451909	0.1	1821686000000000.0	0.005758276	0.1	1821686000000000.0	0.0	0.1
1821686000000000.0	0.9879931	0.1	1821686000000000.0	2.087191e-12	0.1	1821686000000000.0	0.0002451909	0.1	1821686000000000.0	0.005758277	0.1	1821686000000000.0	0.0	0.1
1821686000000000.0	0.9879931	0.1	1821686000000000.0	2.087154e-12	0.1	1821686000000000.0	0.0002451909	0.1	1821686000000000.0	0.005758279	0.1	1821686000000000.0	0.0	0.1
1821687000000000.0	0.9879931	0.1	1821687000000000.0	2.087176e-12	0.1	1821687000000000.0	0.0002451909	0.1	1821687000000000.0	0.005758279	0.1	1821687000000000.0	0.0	0.1
1821687000000000.0	0.9879931	0.1	1821687000000000.0	2.087194e-12	0.1	1821687000000000.0	0.0002451909	0.1	1821687000000000.0	0.00575828	0.1	1821687000000000.0	0.0	0.1
1821687000000000.0	0.9879931	0.1	1821687000000000.0	2.085941e-12	0.1	1821687000000000.0	0.0002451908	0.1	1821687000000000.0	0.005758281	0.1	1821687000000000.0	9.45094e-14	0.1
1821688000000000.0	0.9879931	0.1	1821688000000000.0	2.085941e-12	0.1	1821688000000000.0	0.0002451908	0.1	1821688000000000.0	0.005758283	0.1	1821688000000000.0	1.983334e-20	0.1
1821689000000000.0	0.987993	0.1	1821689000000000.0	2.085941e-12	0.1	1821689000000000.0	0.0002451908	0.1	1821689000000000.0	0.005758288	0.1	1821689000000000.0	7.333428e-19	0.1
1821694000000000.0	0.987993	0.1	1821694000000000.0	2.085941e-12	0.1	1821694000000000.0	0.0002451908	0.1	1821694000000000.0	0.005758301	0.1	1821694000000000.0	3.616565e-18	0.1
1821709000000000.0	0.9879929	0.1	1821709000000000.0	2.085941e-12	0.1	1821709000000000.0	0.0002451908	0.1	1821709000000000.0	0.00575835	0.1	1821709000000000.0	1.463835e-17	0.1
1821758000000000.0	0.9879926	0.1	1821758000000000.0	2.08594e-12	0.1	1821758000000000.0	0.0002451908	0.1	1821758000000000.0	0.005758502	0.1	1821758000000000.0	5.015676e-17	0.1
1821881000000000.0	0.9879918	0.1	1821881000000000.0	2.085939e-12	0.1	1821881000000000.0	0.0002451906	0.1	1821881000000000.0	0.005758888	0.1	1821881000000000.0	1.418494e-16	0.1
1822163000000000.0	0.9879901	0.1	1822163000000000.0	2.085935e-12	0.1	1822163000000000.0	0.0002451903	0.1	1822163000000000.0	0.005759773	0.1	1822163000000000.0	3.378375e-16	0.1
1822798000000000.0	0.9879861	0.1	1822798000000000.0	2.085927e-12	0.1	1822798000000000.0	0.0002451896	0.1	1822798000000000.0	0.005761762	0.1	1822798000000000.0	5.711612e-16	0.1
1824491000000000.0	0.9879755	0.1	1824491000000000.0	2.085904e-12	0.1	1824491000000000.0	0.0002451876	0.1	1824491000000000.0	0.005767066	0.1	1824491000000000.0	0.0	0.1
1828440000000000.0	0.9879508	0.1	1828440000000000.0	2.085852e-12	0.1	1828440000000000.0	0.000245183	0.1	1828440000000000.0	0.005779442	0.1	1828440000000000.0	1.262153e-18	0.1
1837468000000000.0	0.9878942	0.1	1837468000000000.0	2.085733e-12	0.1	1837468000000000.0	0.0002451725	0.1	1837468000000000.0	0.005807728	0.1	1837468000000000.0	0.0	0.1
1857780000000000.0	0.987767	0.1	1857780000000000.0	2.085464e-12	0.1	1857780000000000.0	0.0002451489	0.1	1857780000000000.0	0.005871363	0.1	1857780000000000.0	0.0	0.1
1911947000000000.0	0.9874278	0.1	1911947000000000.0	2.084748e-12	0.1	1911947000000000.0	0.0002450859	0.1	1911947000000000.0	0.006040998	0.1	1911947000000000.0	0.0	0.1
2002225000000000.0	0.986863	0.1	2002225000000000.0	2.118306e-12	0.1	2002225000000000.0	0.0002449809	0.1	2002225000000000.0	0.006323531	0.1	2002225000000000.0	0.0	0.1
