Batch	m_SP	7	P2_L	W4_L	W3	R	P1	P3	P4	
2.813009000000e-11	9.739791226261e-06	1.000000000000e-01	2.813009000000e-11	3.657366000000e-08	1.000000000000e-01	2.813009000000e-11	3.269491000000e-10	1.000000000000e-01	2.813009000000e-11	2.729492000000e-08	1.000000000000e-01	2.813009000000e-11	1.381532000000e-07	1.000000000000e-01	2.813009000000e-11	3.931595000000e-08	1.000000000000e-01	2.813009000000e-11	2.744731000000e-10	1.000000000000e-01
5.932263000000e-11	9.479185568627e-06	1.000000000000e-01	5.932263000000e-11	7.632224000000e-08	1.000000000000e-01	5.932263000000e-11	6.819956000000e-10	1.000000000000e-01	5.932263000000e-11	5.705146000000e-08	1.000000000000e-01	5.932263000000e-11	2.876982000000e-07	1.000000000000e-01	5.932263000000e-11	8.014201000000e-08	1.000000000000e-01	5.932263000000e-11	5.728178000000e-10	1.000000000000e-01
1.351161000000e-10	8.878219217058e-06	1.000000000000e-01	1.351161000000e-10	1.694738000000e-07	1.000000000000e-01	1.351161000000e-10	1.512907000000e-09	1.000000000000e-01	1.351161000000e-10	1.271567000000e-07	1.000000000000e-01	1.351161000000e-10	6.357421000000e-07	1.000000000000e-01	1.351161000000e-10	1.680999000000e-07	1.000000000000e-01	1.351161000000e-10	1.272170000000e-09	1.000000000000e-01
2.552366000000e-10	8.011807543649e-06	1.000000000000e-01	2.552366000000e-10	3.076280000000e-07	1.000000000000e-01	2.552366000000e-10	2.742347000000e-09	1.000000000000e-01	2.552366000000e-10	2.320611000000e-07	1.000000000000e-01	2.552366000000e-10	1.145845000000e-06	1.000000000000e-01	2.552366000000e-10	2.788236000000e-07	1.000000000000e-01	2.552366000000e-10	2.309816000000e-09	1.000000000000e-01
3.689166000000e-10	7.278474597915e-06	1.000000000000e-01	3.689166000000e-10	4.283758000000e-07	1.000000000000e-01	3.689166000000e-10	3.814147000000e-09	1.000000000000e-01	3.689166000000e-10	3.246250000000e-07	1.000000000000e-01	3.689166000000e-10	1.585935000000e-06	1.000000000000e-01	3.689166000000e-10	3.565559000000e-07	1.000000000000e-01	3.689166000000e-10	3.217109000000e-09	1.000000000000e-01
4.563132000000e-10	6.765595123864e-06	1.000000000000e-01	4.563132000000e-10	5.150467000000e-07	1.000000000000e-01	4.563132000000e-10	4.581949000000e-09	1.000000000000e-01	4.563132000000e-10	3.915502000000e-07	1.000000000000e-01	4.563132000000e-10	1.898647000000e-06	1.000000000000e-01	4.563132000000e-10	4.015521000000e-07	1.000000000000e-01	4.563132000000e-10	3.868551000000e-09	1.000000000000e-01
5.764217000000e-10	6.125073345144e-06	1.000000000000e-01	5.764217000000e-10	6.260185000000e-07	1.000000000000e-01	5.764217000000e-10	5.563247000000e-09	1.000000000000e-01	5.764217000000e-10	4.778075000000e-07	1.000000000000e-01	5.764217000000e-10	2.295314000000e-06	1.000000000000e-01	5.764217000000e-10	4.461654000000e-07	1.000000000000e-01	5.764217000000e-10	4.702871000000e-09	1.000000000000e-01
7.419848000000e-10	5.349286823759e-06	1.000000000000e-01	7.419848000000e-10	7.647545000000e-07	1.000000000000e-01	7.419848000000e-10	6.787376000000e-09	1.000000000000e-01	7.419848000000e-10	5.865002000000e-07	1.000000000000e-01	7.419848000000e-10	2.785618000000e-06	1.000000000000e-01	7.419848000000e-10	4.817113000000e-07	1.000000000000e-01	7.419848000000e-10	5.746261000000e-09	1.000000000000e-01
9.634629000000e-10	4.474856153368e-06	1.000000000000e-01	9.634629000000e-10	9.272670000000e-07	1.000000000000e-01	9.634629000000e-10	8.217783000000e-09	1.000000000000e-01	9.634629000000e-10	7.149519000000e-07	1.000000000000e-01	9.634629000000e-10	3.352564000000e-06	1.000000000000e-01	9.634629000000e-10	4.953040000000e-07	1.000000000000e-01	9.634629000000e-10	6.968896000000e-09	1.000000000000e-01
1.184941000000e-09	3.753176669583e-06	1.000000000000e-01	1.184941000000e-09	1.066687000000e-06	1.000000000000e-01	1.184941000000e-09	9.442228000000e-09	1.000000000000e-01	1.184941000000e-09	8.260490000000e-07	1.000000000000e-01	1.184941000000e-09	3.833164000000e-06	1.000000000000e-01	1.184941000000e-09	4.833640000000e-07	1.000000000000e-01	1.184941000000e-09	8.018168000000e-09	1.000000000000e-01
1.406419000000e-09	3.154767497856e-06	1.000000000000e-01	1.406419000000e-09	1.186188000000e-06	1.000000000000e-01	1.406419000000e-09	1.049004000000e-08	1.000000000000e-01	1.406419000000e-09	9.218774000000e-07	1.000000000000e-01	1.406419000000e-09	4.241318000000e-06	1.000000000000e-01	1.406419000000e-09	4.561490000000e-07	1.000000000000e-01	1.406419000000e-09	8.917839000000e-09	1.000000000000e-01
1.627897000000e-09	2.656561190292e-06	1.000000000000e-01	1.627897000000e-09	1.288521000000e-06	1.000000000000e-01	1.627897000000e-09	1.138633000000e-08	1.000000000000e-01	1.627897000000e-09	1.004346000000e-06	1.000000000000e-01	1.627897000000e-09	4.588429000000e-06	1.000000000000e-01	1.627897000000e-09	4.206144000000e-07	1.000000000000e-01	1.627897000000e-09	9.688564000000e-09	1.000000000000e-01
1.849375000000e-09	2.240341349610e-06	1.000000000000e-01	1.849375000000e-09	1.376072000000e-06	1.000000000000e-01	1.849375000000e-09	1.215266000000e-08	1.000000000000e-01	1.849375000000e-09	1.075178000000e-06	1.000000000000e-01	1.849375000000e-09	4.883925000000e-06	1.000000000000e-01	1.849375000000e-09	3.813945000000e-07	1.000000000000e-01	1.849375000000e-09	1.034827000000e-08	1.000000000000e-01
