	T[K]	W4	W5	W1
600 0.37810 0.58327 0.03254
700 0.37808 0.58327 0.03255
800 0.37526 0.58398 0.03466
900 0.36786 0.58280 0.04322
1000 0.34692 0.57729 0.06966
1100 0.39408 0.59979 0.00000
1200 0.00000 0.99389 0.00000
1300 0.00000 0.99389 0.00000
1400 0.00000 0.99391 0.00000
1500 0.00000 0.99392 0.00000
1600 0.00000 0.99394 0.00000
1700 0.00000 0.99395 0.00000
1800 0.00000 0.99397 0.00000
1900 0.00000 0.99398 0.00000
2000 0.00000 0.99400 0.00000
2100 0.00000 0.99402 0.00000
2200 0.33135 0.33135 0.33135
2300 0.33135 0.33135 0.33135
2400 0.33136 0.33136 0.33136
2500 0.33144 0.33144 0.33144
