	T[K]	W4	W5	W1
600 0.37025 0.56806 0.05833
700 0.36784 0.57412 0.05487
800 0.36551 0.57818 0.05329
900 0.36594 0.57833 0.05285
1000 0.36357 0.57874 0.05491
1100 0.35603 0.58028 0.06098
1200 0.34516 0.57694 0.07525
1300 0.31823 0.57291 0.10625
1400 0.41958 0.57777 0.00000
1500 0.00000 0.99752 0.00000
1600 0.00000 0.99759 0.00000
1700 0.00000 0.99767 0.00000
1800 0.00000 0.99773 0.00000
1900 0.00000 0.99192 0.00000
2000 0.00000 0.99443 0.00000
2100 0.00000 0.99446 0.00000
2200 0.00000 0.99448 0.00000
2300 0.00000 0.99450 0.00000
2400 0.00000 0.99452 0.00000
2500 0.00000 0.99453 0.00000
