	T[K]	W4	W5	W1
600 0.42032 0.39748 0.17767
700 0.40794 0.44751 0.14004
800 0.39418 0.48820 0.11312
900 0.38162 0.51972 0.09454
1000 0.37175 0.54082 0.08332
1100 0.36498 0.55301 0.07790
1200 0.35622 0.56220 0.07748
1300 0.34742 0.56654 0.08194
1400 0.33635 0.56761 0.09194
1500 0.31741 0.56629 0.11183
1600 0.27944 0.56183 0.15426
1700 0.44420 0.55134 0.00000
1800 0.00000 0.99595 0.00000
1900 0.00000 0.99595 0.00000
2000 0.00000 0.99595 0.00000
2100 0.00000 0.99558 0.00000
2200 0.00000 0.99559 0.00000
2300 0.00000 0.99578 0.00000
2400 0.00000 0.99580 0.00000
2500 0.00000 0.99582 0.00000
