	T[K]	T1a	T1b	T1c	T1d	T1e	T1f
600 0.01402 0.22263 0.32634 0.24615 0.09039 0.09554
700 0.01543 0.20762 0.31198 0.24211 0.10697 0.11099
800 0.01635 0.19425 0.29880 0.23937 0.12200 0.12437
900 0.01693 0.18267 0.28712 0.23729 0.13534 0.13580
1000 0.01730 0.17282 0.27700 0.23555 0.14702 0.14548
1100 0.01750 0.16416 0.26778 0.23372 0.15717 0.15356
1200 0.01763 0.15715 0.26037 0.23223 0.16603 0.16046
1300 0.01769 0.15123 0.25402 0.23080 0.17380 0.16633
1400 0.01772 0.14622 0.24860 0.22941 0.18063 0.17129
1500 0.01771 0.14199 0.24399 0.22804 0.18664 0.17550
1600 0.01769 0.13843 0.24009 0.22669 0.19193 0.17904
1700 0.01765 0.13544 0.23682 0.22536 0.19661 0.18201
1800 0.01762 0.13302 0.23418 0.22401 0.20063 0.18445
1900 0.01759 0.13103 0.23203 0.22267 0.20416 0.18645
2000 0.01758 0.12949 0.23044 0.22130 0.20711 0.18806
