Batch	m_SP	2	Pr1	W1	
2.449284000000e+12	9.842301576000e-06	1.000000000000e-01	2.449284000000e+12	1.573781000000e-07	1.000000000000e-01
4.949351000000e+12	9.684021158820e-06	1.000000000000e-01	4.949351000000e+12	3.156658000000e-07	1.000000000000e-01
9.393914000000e+12	9.408891910140e-06	1.000000000000e-01	9.393914000000e+12	5.908070000000e-07	1.000000000000e-01
1.717190000000e+13	8.946089538210e-06	1.000000000000e-01	1.717190000000e+13	1.053628000000e-06	1.000000000000e-01
3.050559000000e+13	8.205053948640e-06	1.000000000000e-01	3.050559000000e+13	1.794695000000e-06	1.000000000000e-01
5.272841000000e+13	7.103871960570e-06	1.000000000000e-01	5.272841000000e+13	2.895924000000e-06	1.000000000000e-01
7.985828000000e+13	5.957842420980e-06	1.000000000000e-01	7.985828000000e+13	4.042002000000e-06	1.000000000000e-01
1.082149000000e+14	4.957103428470e-06	1.000000000000e-01	1.082149000000e+14	5.042783000000e-06	1.000000000000e-01
1.422776000000e+14	3.974631253290e-06	1.000000000000e-01	1.422776000000e+14	6.025296000000e-06	1.000000000000e-01
1.763403000000e+14	3.186881130870e-06	1.000000000000e-01	1.763403000000e+14	6.813080000000e-06	1.000000000000e-01
2.104030000000e+14	2.555258447160e-06	1.000000000000e-01	2.104030000000e+14	7.444730000000e-06	1.000000000000e-01
2.444657000000e+14	2.048819511600e-06	1.000000000000e-01	2.444657000000e+14	7.951190000000e-06	1.000000000000e-01
2.785284000000e+14	1.642754572290e-06	1.000000000000e-01	2.785284000000e+14	8.357272000000e-06	1.000000000000e-01
3.168154000000e+14	1.281576184110e-06	1.000000000000e-01	3.168154000000e+14	8.718465000000e-06	1.000000000000e-01
3.579187000000e+14	9.817137827640e-07	1.000000000000e-01	3.579187000000e+14	9.018341000000e-06	1.000000000000e-01
3.990220000000e+14	7.520128797960e-07	1.000000000000e-01	3.990220000000e+14	9.248051000000e-06	1.000000000000e-01
4.401253000000e+14	5.760573393690e-07	1.000000000000e-01	4.401253000000e+14	9.424014000000e-06	1.000000000000e-01
4.829599000000e+14	4.363453365030e-07	1.000000000000e-01	4.829599000000e+14	9.563732000000e-06	1.000000000000e-01
5.327194000000e+14	3.160036399320e-07	1.000000000000e-01	5.327194000000e+14	9.684079000000e-06	1.000000000000e-01
5.824790000000e+14	2.288515114620e-07	1.000000000000e-01	5.824790000000e+14	9.771235000000e-06	1.000000000000e-01
6.322386000000e+14	1.657354426290e-07	1.000000000000e-01	6.322386000000e+14	9.834353000000e-06	1.000000000000e-01
6.881559000000e+14	1.153280467080e-07	1.000000000000e-01	6.881559000000e+14	9.884763000000e-06	1.000000000000e-01
