Batch	m_SP	7	P2_L	W4_L	W3	R	P1	P3	P4											
5.130326e-13	9.8575018160206e-06	0.1	5.130326e-13	1.25254559e-07	0.1	5.130326e-13	2.322121e-15	0.1	5.130326e-13	3.426381e-13	0.1	5.130326e-13	8.968533e-12	0.1	5.130326e-13	3.830707e-13	0.1	5.130326e-13	2.054649e-21	0.1
1.559415e-12	9.606604014077001e-06	0.1	1.559415e-12	3.7586784e-07	0.1	1.559415e-12	6.954459e-15	0.1	1.559415e-12	1.028215e-12	0.1	1.559415e-12	2.673966e-11	0.1	1.559415e-12	1.125753e-12	0.1	1.559415e-12	6.165724e-21	0.1
4.176439e-12	9.0067286818236e-06	0.1	4.176439e-12	9.75084e-07	0.1	4.176439e-12	1.795488e-14	0.1	4.176439e-12	2.667511e-12	0.1	4.176439e-12	6.828402e-11	0.1	4.176439e-12	2.771295e-12	0.1	4.176439e-12	1.599567e-20	0.1
8.841639e-12	8.0288200903866e-06	0.1	8.841639e-12	1.9519799e-06	0.1	8.841639e-12	3.565609e-14	0.1	8.841639e-12	5.340297e-12	0.1	8.841639e-12	1.330972e-10	0.1	8.841639e-12	5.050105e-12	0.1	8.841639e-12	3.202249e-20	0.1
1.206204e-11	7.416473267568e-06	0.1	1.206204e-11	2.5637313e-06	0.1	1.206204e-11	4.659049e-14	0.1	1.206204e-11	7.014216e-12	0.1	1.206204e-11	1.717985e-10	0.1	1.206204e-11	6.213707e-12	0.1	1.206204e-11	4.205955e-20	0.1
1.616634e-11	6.70330793016002e-06	0.1	1.616634e-11	3.2762441000000004e-06	0.1	1.616634e-11	5.917568e-14	0.1	1.616634e-11	8.964012e-12	0.1	1.616634e-11	2.149914e-10	0.1	1.616634e-11	7.303399e-12	0.1	1.616634e-11	5.375055e-20	0.1
2.209885e-11	5.791985654970061e-06	0.1	2.209885e-11	4.1867983000000005e-06	0.1	2.209885e-11	7.50164e-14	0.1	2.209885e-11	1.145602e-11	0.1	2.209885e-11	2.671501e-10	0.1	2.209885e-11	8.26267e-12	0.1	2.209885e-11	6.869224e-20	0.1
2.988978e-11	4.780724902589619e-06	0.1	2.988978e-11	5.1972941e-06	0.1	2.988978e-11	9.226413e-14	0.1	2.988978e-11	1.422191e-11	0.1	2.988978e-11	3.208764e-10	0.1	2.988978e-11	8.72615e-12	0.1	2.988978e-11	8.527557e-20	0.1
3.836855e-11	3.87981966105482e-06	0.1	3.836855e-11	6.0976006e-06	0.1	3.836855e-11	1.073219e-13	0.1	3.836855e-11	1.668655e-11	0.1	3.836855e-11	3.648686e-10	0.1	3.836855e-11	8.568736e-12	0.1	3.836855e-11	1.000521e-19	0.1
4.959875e-11	2.94248722607846e-06	0.1	4.959875e-11	7.0343976e-06	0.1	4.959875e-11	1.226608e-13	0.1	4.959875e-11	1.925144e-11	0.1	4.959875e-11	4.065174e-10	0.1	4.959875e-11	7.784222e-12	0.1	4.959875e-11	1.154291e-19	0.1
6.082894e-11	2.2316671287647402e-06	0.1	6.082894e-11	7.7448753e-06	0.1	6.082894e-11	1.340538e-13	0.1	6.082894e-11	2.119695e-11	0.1	6.082894e-11	4.350941e-10	0.1	6.082894e-11	6.725069e-12	0.1	6.082894e-11	1.270925e-19	0.1
7.205913e-11	1.69259800286289e-06	0.1	7.205913e-11	8.2837244e-06	0.1	7.205913e-11	1.425454e-13	0.1	7.205913e-11	2.267265e-11	0.1	7.205913e-11	4.548961e-10	0.1	7.205913e-11	5.625248e-12	0.1	7.205913e-11	1.359391e-19	0.1
