Batch	m_SP	2	P3	W4_L	
3.811376000000e-13	9.848928509730e-06	1.000000000000e-01	3.811376000000e-13	1.509635780000e-07	1.000000000000e-01
1.027031000000e-12	9.598270016340e-06	1.000000000000e-01	1.027031000000e-12	4.016077600000e-07	1.000000000000e-01
2.505875000000e-12	9.048122517870e-06	1.000000000000e-01	2.505875000000e-12	9.517253400000e-07	1.000000000000e-01
5.221651000000e-12	8.118631812870e-06	1.000000000000e-01	5.221651000000e-12	1.881166700000e-06	1.000000000000e-01
7.549459000000e-12	7.398306016200e-06	1.000000000000e-01	7.549459000000e-12	2.601455300000e-06	1.000000000000e-01
9.874969000000e-12	6.742509574230e-06	1.000000000000e-01	9.874969000000e-12	3.257219100000e-06	1.000000000000e-01
1.315402000000e-11	5.915370845700e-06	1.000000000000e-01	1.315402000000e-11	4.084318400000e-06	1.000000000000e-01
1.793323000000e-11	4.888082118690e-06	1.000000000000e-01	1.793323000000e-11	5.111559900000e-06	1.000000000000e-01
2.271245000000e-11	4.039196607630e-06	1.000000000000e-01	2.271245000000e-11	5.960409100000e-06	1.000000000000e-01
2.969873000000e-11	3.056284436850e-06	1.000000000000e-01	2.969873000000e-11	6.943284100000e-06	1.000000000000e-01
3.668502000000e-11	2.312556874200e-06	1.000000000000e-01	3.668502000000e-11	7.686986600000e-06	1.000000000000e-01
4.367131000000e-11	1.749810501720e-06	1.000000000000e-01	4.367131000000e-11	8.249715900000e-06	1.000000000000e-01
5.065760000000e-11	1.324005759810e-06	1.000000000000e-01	5.065760000000e-11	8.675509100000e-06	1.000000000000e-01
5.764389000000e-11	1.001816981730e-06	1.000000000000e-01	5.764389000000e-11	8.997691500000e-06	1.000000000000e-01
6.463018000000e-11	7.580315196090e-07	1.000000000000e-01	6.463018000000e-11	9.241472600000e-06	1.000000000000e-01
7.161647000000e-11	5.735693642490e-07	1.000000000000e-01	7.161647000000e-11	9.425932900000e-06	1.000000000000e-01
7.860276000000e-11	4.339949600070e-07	1.000000000000e-01	7.860276000000e-11	9.565505300000e-06	1.000000000000e-01
8.701398000000e-11	3.102297976710e-07	1.000000000000e-01	8.701398000000e-11	9.689269400000e-06	1.000000000000e-01
9.542520000000e-11	2.217594823830e-07	1.000000000000e-01	9.542520000000e-11	9.777741000000e-06	1.000000000000e-01
1.038364000000e-10	1.585189147950e-07	1.000000000000e-01	1.038364000000e-10	9.840981100000e-06	1.000000000000e-01
1.132678000000e-10	1.087918120710e-07	1.000000000000e-01	1.132678000000e-10	9.890709300000e-06	1.000000000000e-01
