	T[K]	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h
600 0.14251 0.69798 0.00502 0.00043 0.00003 0.15402 0.00000 0.00000
700 0.16981 0.64078 0.00896 0.00076 0.00009 0.17957 0.00002 0.00000
800 0.16054 0.60981 0.01185 0.00076 0.00013 0.21688 0.00003 0.00000
900 0.16010 0.57326 0.02112 0.00079 0.00017 0.24451 0.00004 0.00000
1000 0.14227 0.50790 0.08972 0.00149 0.00090 0.25749 0.00023 0.00001
1100 0.05464 0.18443 0.09128 0.14258 0.31949 0.10461 0.09690 0.00607
1200 0.06066 0.18643 0.09585 0.13933 0.29315 0.11351 0.10310 0.00798
1300 0.06659 0.18910 0.10029 0.13504 0.26944 0.12224 0.10735 0.00995
1400 0.07307 0.19396 0.10538 0.12901 0.24587 0.13196 0.10896 0.01179
1500 0.08185 0.20476 0.11293 0.11894 0.21730 0.14557 0.10558 0.01307
1600 0.10467 0.24742 0.13429 0.08802 0.15196 0.18252 0.07997 0.01115
1700 0.16098 0.34877 0.15500 0.02405 0.02918 0.26300 0.01643 0.00259
1800 0.16227 0.33758 0.15333 0.02778 0.03317 0.26253 0.01990 0.00345
1900 0.16219 0.32645 0.15202 0.03187 0.03784 0.26107 0.02403 0.00453
2000 0.16275 0.31825 0.15041 0.03476 0.04048 0.26084 0.02703 0.00548
