Batch	m_SP	7	P4	R	W4_L	W3	P1	P2_L	P3											
4.601172e-10	9.7680333418668e-06	0.1	4.601172e-10	2.221041e-10	0.1	4.601172e-10	2.489613e-11	0.1	4.601172e-10	1.496325e-07	0.1	4.601172e-10	8.014506e-08	0.1	4.601172e-10	1.50996721e-09	0.1	4.601172e-10	2.911653e-10	0.1
1.063284e-09	9.472203382540002e-06	0.1	1.063284e-09	5.054786e-10	0.1	1.063284e-09	5.666019e-11	0.1	1.063284e-09	3.405432e-07	0.1	1.063284e-09	1.823992e-07	0.1	1.063284e-09	3.4364789e-09	0.1	1.063284e-09	6.626524e-10	0.1
2.51149e-09	8.797979500061601e-06	0.1	2.51149e-09	1.151315e-09	0.1	2.51149e-09	1.290534e-10	0.1	2.51149e-09	7.756463e-07	0.1	2.51149e-09	4.154457e-07	0.1	2.51149e-09	7.827174699999999e-09	0.1	2.51149e-09	1.509306e-09	0.1
5.118259e-09	7.7030108065848e-06	0.1	5.118259e-09	2.200183e-09	0.1	5.118259e-09	2.466234e-10	0.1	5.118259e-09	1.482274e-06	0.1	5.118259e-09	7.93924e-07	0.1	5.118259e-09	1.4957866e-08	0.1	5.118259e-09	2.884309e-09	0.1
7.608172e-09	6.7846216898633e-06	0.1	7.608172e-09	3.079906e-09	0.1	7.608172e-09	3.452336e-10	0.1	7.608172e-09	2.074948e-06	0.1	7.608172e-09	1.111367e-06	0.1	7.608172e-09	2.0938633e-08	0.1	7.608172e-09	4.037573e-09	0.1
9.488341e-09	6.164424724756999e-06	0.1	9.488341e-09	3.673991e-09	0.1	9.488341e-09	4.118261e-10	0.1	9.488341e-09	2.475188e-06	0.1	9.488341e-09	1.32574e-06	0.1	9.488341e-09	2.4977501e-08	0.1	9.488341e-09	4.816384e-09	0.1
1.204417e-08	5.4112562286995995e-06	0.1	1.204417e-08	4.39545e-09	0.1	1.204417e-08	4.926963e-10	0.1	1.204417e-08	2.96124e-06	0.1	1.204417e-08	1.586074e-06	0.1	1.204417e-08	2.9882309e-08	0.1	1.204417e-08	5.762174e-09	0.1
1.573803e-08	4.482332211368e-06	0.1	1.573803e-08	5.285266e-09	0.1	1.573803e-08	5.924381e-10	0.1	1.573803e-08	3.560715e-06	0.1	1.573803e-08	1.907159e-06	0.1	1.573803e-08	3.5931688e-08	0.1	1.573803e-08	6.928669e-09	0.1
2.088556e-08	3.4476345935729003e-06	0.1	2.088556e-08	6.276403e-09	0.1	2.088556e-08	7.035377e-10	0.1	2.088556e-08	4.228454e-06	0.1	2.088556e-08	2.264806e-06	0.1	2.088556e-08	4.2669906e-08	0.1	2.088556e-08	8.227991e-09	0.1
2.603309e-08	2.6517855870806e-06	0.1	2.603309e-08	7.038747e-09	0.1	2.603309e-08	7.889915e-10	0.1	2.603309e-08	4.742055e-06	0.1	2.603309e-08	2.539894e-06	0.1	2.603309e-08	4.7852672e-08	0.1	2.603309e-08	9.227379e-09	0.1
3.118061e-08	2.0396498921472e-06	0.1	3.118061e-08	7.625112e-09	0.1	3.118061e-08	8.547195e-10	0.1	3.118061e-08	5.137099e-06	0.1	3.118061e-08	2.75148e-06	0.1	3.118061e-08	5.1839052e-08	0.1	3.118061e-08	9.996069e-09	0.1
3.632814e-08	1.56881960508e-06	0.1	3.632814e-08	8.076122e-09	0.1	3.632814e-08	9.052753e-10	0.1	3.632814e-08	5.440953e-06	0.1	3.632814e-08	2.914225e-06	0.1	3.632814e-08	5.4905225e-08	0.1	3.632814e-08	1.058732e-08	0.1
4.147567e-08	1.2066751923479e-06	0.1	4.147567e-08	8.423021e-09	0.1	4.147567e-08	9.441612e-10	0.1	4.147567e-08	5.674667e-06	0.1	4.147567e-08	3.039401e-06	0.1	4.147567e-08	5.7263608e-08	0.1	4.147567e-08	1.104208e-08	0.1
4.662319e-08	9.28127748552e-07	0.1	4.662319e-08	8.689842e-09	0.1	4.662319e-08	9.74071e-10	0.1	4.662319e-08	5.854434e-06	0.1	4.662319e-08	3.135682e-06	0.1	4.662319e-08	5.9077585e-08	0.1	4.662319e-08	1.139187e-08	0.1
5.177072e-08	7.1387980527231e-07	0.1	5.177072e-08	8.89507e-09	0.1	5.177072e-08	9.970768e-10	0.1	5.177072e-08	5.992705e-06	0.1	5.177072e-08	3.209738e-06	0.1	5.177072e-08	6.0472818e-08	0.1	5.177072e-08	1.166091e-08	0.1
5.734401e-08	5.3729750011702e-07	0.1	5.734401e-08	9.064219e-09	0.1	5.734401e-08	1.016038e-09	0.1	5.734401e-08	6.10667e-06	0.1	5.734401e-08	3.270774e-06	0.1	5.734401e-08	6.162277e-08	0.1	5.734401e-08	1.188265e-08	0.1
6.355594e-08	3.9143805465978e-07	0.1	6.355594e-08	9.203938e-09	0.1	6.355594e-08	1.031702e-09	0.1	6.355594e-08	6.200809e-06	0.1	6.355594e-08	3.321191e-06	0.1	6.355594e-08	6.2572646e-08	0.1	6.355594e-08	1.206582e-08	0.1
6.976786e-08	2.8517487860542e-07	0.1	6.976786e-08	9.305728e-09	0.1	6.976786e-08	1.043113e-09	0.1	6.976786e-08	6.269395e-06	0.1	6.976786e-08	3.357922e-06	0.1	6.976786e-08	6.326465999999999e-08	0.1	6.976786e-08	1.219926e-08	0.1
7.597979e-08	2.0775889521705e-07	0.1	7.597979e-08	9.379885e-09	0.1	7.597979e-08	1.051427e-09	0.1	7.597979e-08	6.319365e-06	0.1	7.597979e-08	3.384681e-06	0.1	7.597979e-08	6.3768812e-08	0.1	7.597979e-08	1.229647e-08	0.1
8.319507e-08	1.438104585326e-07	0.1	8.319507e-08	9.441141e-09	0.1	8.319507e-08	1.058295e-09	0.1	8.319507e-08	6.360645e-06	0.1	8.319507e-08	3.406785e-06	0.1	8.319507e-08	6.4185265e-08	0.1	8.319507e-08	1.237677e-08	0.1
