Batch	m_SP	11	W4_L	W2	W3	W6	R	P1	P2	P3	P4	P5	P6																			
9.55053e-06	0.9642499	0.1	9.55053e-06	2.495778e-08	0.1	9.55053e-06	2.029832e-05	0.1	9.55053e-06	8.289664e-05	0.1	9.55053e-06	0.0008779672	0.1	9.55053e-06	0.01456075	0.1	9.55053e-06	0.002075225	0.1	9.55053e-06	0.0002372136	0.1	9.55053e-06	5.854685e-07	0.1	9.55053e-06	7.171611e-05	0.1	9.55053e-06	1.227222e-10	0.1
1.01659e-05	0.9621168	0.1	1.01659e-05	2.506145e-08	0.1	1.01659e-05	2.17108e-05	0.1	1.01659e-05	8.530285e-05	0.1	1.01659e-05	0.000927151	0.1	1.01659e-05	0.0155757	0.1	1.01659e-05	0.002073986	0.1	1.01659e-05	0.0002379596	0.1	1.01659e-05	6.388021e-07	0.1	1.01659e-05	7.265417e-05	0.1	1.01659e-05	1.277744e-10	0.1
1.09082e-05	0.959556	0.1	1.09082e-05	2.518527e-08	0.1	1.09082e-05	2.341197e-05	0.1	1.09082e-05	8.792655e-05	0.1	1.09082e-05	0.000983541	0.1	1.09082e-05	0.01679771	0.1	1.09082e-05	0.002072085	0.1	1.09082e-05	0.0002386807	0.1	1.09082e-05	7.035331e-07	0.1	1.09082e-05	7.359417e-05	0.1	1.09082e-05	1.332006e-10	0.1
1.165049e-05	0.9570084	0.1	1.165049e-05	2.530827e-08	0.1	1.165049e-05	2.511e-05	0.1	1.165049e-05	9.027289e-05	0.1	1.165049e-05	0.001036693	0.1	1.165049e-05	0.01801702	0.1	1.165049e-05	0.002069962	0.1	1.165049e-05	0.0002392662	0.1	1.165049e-05	7.686621e-07	0.1	1.165049e-05	7.436609e-05	0.1	1.165049e-05	1.38e-10	0.1
1.251806e-05	0.9540474	0.1	1.251806e-05	2.54514e-08	0.1	1.251806e-05	2.709036e-05	0.1	1.251806e-05	9.269902e-05	0.1	1.251806e-05	0.001094725	0.1	1.251806e-05	0.01943854	0.1	1.251806e-05	0.00206736	0.1	1.251806e-05	0.0002398332	0.1	1.251806e-05	8.452495e-07	0.1	1.251806e-05	7.510114e-05	0.1	1.251806e-05	1.429409e-10	0.1
1.341694e-05	0.9509979	0.1	1.341694e-05	2.559925e-08	0.1	1.341694e-05	2.91372e-05	0.1	1.341694e-05	9.489173e-05	0.1	1.341694e-05	0.001150274	0.1	1.341694e-05	0.02090719	0.1	1.341694e-05	0.002064613	0.1	1.341694e-05	0.0002403272	0.1	1.341694e-05	9.250964e-07	0.1	1.341694e-05	7.571507e-05	0.1	1.341694e-05	1.474263e-10	0.1
1.448541e-05	0.947397	0.1	1.448541e-05	2.577452e-08	0.1	1.448541e-05	3.156331e-05	0.1	1.448541e-05	9.712419e-05	0.1	1.448541e-05	0.00121042	0.1	1.448541e-05	0.02264727	0.1	1.448541e-05	0.002061317	0.1	1.448541e-05	0.0002408243	0.1	1.448541e-05	1.020613e-06	0.1	1.448541e-05	7.629621e-05	0.1	1.448541e-05	1.520691e-10	0.1
1.56408e-05	0.943532	0.1	1.56408e-05	2.596352e-08	0.1	1.56408e-05	3.417799e-05	0.1	1.56408e-05	9.914126e-05	0.1	1.56408e-05	0.001268589	0.1	1.56408e-05	0.02452185	0.1	1.56408e-05	0.002057711	0.1	1.56408e-05	0.0002412744	0.1	1.56408e-05	1.124571e-06	0.1	1.56408e-05	7.67879e-05	0.1	1.56408e-05	1.56403e-10	0.1
1.697429e-05	0.9391076	0.1	1.697429e-05	2.618094e-08	0.1	1.697429e-05	3.718371e-05	0.1	1.697429e-05	0.0001010325	0.1	1.697429e-05	0.001327412	0.1	1.697429e-05	0.02667603	0.1	1.697429e-05	0.002053459	0.1	1.697429e-05	0.0002416945	0.1	1.697429e-05	1.245315e-06	0.1	1.697429e-05	7.722409e-05	0.1	1.697429e-05	1.606876e-10	0.1
1.855006e-05	0.9339283	0.1	1.855006e-05	2.643671e-08	0.1	1.855006e-05	4.071797e-05	0.1	1.855006e-05	0.0001027653	0.1	1.855006e-05	0.001386429	0.1	1.855006e-05	0.02920835	0.1	1.855006e-05	0.00204825	0.1	1.855006e-05	0.0002420603	0.1	1.855006e-05	1.388874e-06	0.1	1.855006e-05	7.760465e-05	0.1	1.855006e-05	1.64949e-10	0.1
2.01864e-05	0.9286043	0.1	2.01864e-05	2.670079e-08	0.1	2.01864e-05	4.436652e-05	0.1	2.01864e-05	0.0001040959	0.1	2.01864e-05	0.001437006	0.1	2.01864e-05	0.03182232	0.1	2.01864e-05	0.002042579	0.1	2.01864e-05	0.0002422921	0.1	2.01864e-05	1.538725e-06	0.1	2.01864e-05	7.788274e-05	0.1	2.01864e-05	1.68623e-10	0.1
2.188855e-05	0.9231228	0.1	2.188855e-05	2.697364e-08	0.1	2.188855e-05	4.813684e-05	0.1	2.188855e-05	0.0001050747	0.1	2.188855e-05	0.001479568	0.1	2.188855e-05	0.0345239	0.1	2.188855e-05	0.002036375	0.1	2.188855e-05	0.0002423764	0.1	2.188855e-05	1.695169e-06	0.1	2.188855e-05	7.807276e-05	0.1	2.188855e-05	1.717691e-10	0.1
2.385393e-05	0.9168628	0.1	2.385393e-05	2.728605e-08	0.1	2.385393e-05	5.245645e-05	0.1	2.385393e-05	0.0001058005	0.1	2.385393e-05	0.001517933	0.1	2.385393e-05	0.03762033	0.1	2.385393e-05	0.002028829	0.1	2.385393e-05	0.0002422848	0.1	2.385393e-05	1.87618e-06	0.1	2.385393e-05	7.819029e-05	0.1	2.385393e-05	1.746781e-10	0.1
2.581931e-05	0.9106742	0.1	2.581931e-05	2.759543e-08	0.1	2.581931e-05	5.673772e-05	0.1	2.581931e-05	0.0001061912	0.1	2.581931e-05	0.001546761	0.1	2.581931e-05	0.04069146	0.1	2.581931e-05	0.002020913	0.1	2.581931e-05	0.0002420087	0.1	2.581931e-05	2.057231e-06	0.1	2.581931e-05	7.821774e-05	0.1	2.581931e-05	1.769285e-10	0.1
2.802702e-05	0.9038042	0.1	2.802702e-05	2.793911e-08	0.1	2.802702e-05	6.14988e-05	0.1	2.802702e-05	0.0001063284	0.1	2.802702e-05	0.001570031	0.1	2.802702e-05	0.04411036	0.1	2.802702e-05	0.002011647	0.1	2.802702e-05	0.0002415072	0.1	2.802702e-05	2.260253e-06	0.1	2.802702e-05	7.816014e-05	0.1	2.802702e-05	1.787954e-10	0.1
3.049569e-05	0.8962206	0.1	3.049569e-05	2.831839e-08	0.1	3.049569e-05	6.675992e-05	0.1	3.049569e-05	0.0001062034	0.1	3.049569e-05	0.001587169	0.1	3.049569e-05	0.0478939	0.1	3.049569e-05	0.002000918	0.1	3.049569e-05	0.000240748	0.1	3.049569e-05	2.486376e-06	0.1	3.049569e-05	7.800599e-05	0.1	3.049569e-05	1.801983e-10	0.1
3.336194e-05	0.8875407	0.1	3.336194e-05	2.875188e-08	0.1	3.336194e-05	7.278262e-05	0.1	3.336194e-05	0.0001057982	0.1	3.336194e-05	0.001598318	0.1	3.336194e-05	0.05223375	0.1	3.336194e-05	0.001988114	0.1	3.336194e-05	0.0002396624	0.1	3.336194e-05	2.747192e-06	0.1	3.336194e-05	7.773464e-05	0.1	3.336194e-05	1.811057e-10	0.1
3.685698e-05	0.8771313	0.1	3.685698e-05	2.927033e-08	0.1	3.685698e-05	7.999931e-05	0.1	3.685698e-05	0.0001050546	0.1	3.685698e-05	0.00160301	0.1	3.685698e-05	0.05744813	0.1	3.685698e-05	0.001972197	0.1	3.685698e-05	0.0002381264	0.1	3.685698e-05	3.062056e-06	0.1	3.685698e-05	7.730613e-05	0.1	3.685698e-05	1.814252e-10	0.1
4.050924e-05	0.8664504	0.1	4.050924e-05	2.980015e-08	0.1	4.050924e-05	8.738966e-05	0.1	4.050924e-05	0.0001040976	0.1	4.050924e-05	0.001601033	0.1	4.050924e-05	0.0628061	0.1	4.050924e-05	0.001955405	0.1	4.050924e-05	0.0002363594	0.1	4.050924e-05	3.386755e-06	0.1	4.050924e-05	7.678132e-05	0.1	4.050924e-05	1.811095e-10	0.1
4.416149e-05	0.855963	0.1	4.416149e-05	3.031782e-08	0.1	4.416149e-05	9.462599e-05	0.1	4.416149e-05	0.0001030355	0.1	4.416149e-05	0.001594647	0.1	4.416149e-05	0.06807197	0.1	4.416149e-05	0.001938604	0.1	4.416149e-05	0.0002344952	0.1	4.416149e-05	3.706616e-06	0.1	4.416149e-05	7.620779e-05	0.1	4.416149e-05	1.803535e-10	0.1
4.781374e-05	0.8456628	0.1	4.781374e-05	3.082352e-08	0.1	4.781374e-05	0.0001017098	0.1	4.781374e-05	0.0001019171	0.1	4.781374e-05	0.001585559	0.1	4.781374e-05	0.0732471	0.1	4.781374e-05	0.001921895	0.1	4.781374e-05	0.0002325802	0.1	4.781374e-05	4.021401e-06	0.1	4.781374e-05	7.560628e-05	0.1	4.781374e-05	1.793158e-10	0.1
5.146599e-05	0.835544	0.1	5.146599e-05	3.131745e-08	0.1	5.146599e-05	0.0001086434	0.1	5.146599e-05	0.0001007724	0.1	5.146599e-05	0.001574849	0.1	5.146599e-05	0.07833313	0.1	5.146599e-05	0.001905341	0.1	5.146599e-05	0.0002306445	0.1	5.146599e-05	4.33099e-06	0.1	5.146599e-05	7.499051e-05	0.1	5.146599e-05	1.781038e-10	0.1
