Batch	m_SP	5	Nphln	N1a_L	N7a_L	Flvln	Azln							
9.6617e-08	9.86226937632e-06	0.1	9.6617e-08	3.1085838900000003e-13	0.1	9.6617e-08	1.3116517469999998e-07	0.1	9.6617e-08	8.092018e-15	0.1	9.6617e-08	1.267135e-13	0.1
1.94693e-07	9.73015869744e-06	0.1	1.94693e-07	6.22298013e-13	0.1	1.94693e-07	2.6336528e-07	0.1	1.94693e-07	1.624617e-14	0.1	1.94693e-07	2.54433e-13	0.1
3.908451e-07	9.47122128684e-06	0.1	3.908451e-07	1.2327169949999999e-12	0.1	3.908451e-07	5.22476598e-07	0.1	3.908451e-07	3.222824e-14	0.1	3.908451e-07	5.047624e-13	0.1
7.831493e-07	8.973836260740001e-06	0.1	7.831493e-07	2.40525401e-12	0.1	7.831493e-07	1.020196335e-06	0.1	7.831493e-07	6.292776e-14	0.1	7.831493e-07	9.856131e-13	0.1
1.459238e-06	8.177170227480002e-06	0.1	1.459238e-06	4.28331651e-12	0.1	1.459238e-06	1.817397892e-06	0.1	1.459238e-06	1.120994e-13	0.1	1.459238e-06	1.755796e-12	0.1
2.389492e-06	7.19531104617e-06	0.1	2.389492e-06	6.597953600000001e-12	0.1	2.389492e-06	2.7999164899999995e-06	0.1	2.389492e-06	1.727015e-13	0.1	2.389492e-06	2.705015e-12	0.1
3.594573e-06	6.09654603393e-06	0.1	3.594573e-06	9.188186009999999e-12	0.1	3.594573e-06	3.89942142e-06	0.1	3.594573e-06	2.405193e-13	0.1	3.594573e-06	3.767254e-12	0.1
4.927582e-06	5.0754952445400005e-06	0.1	4.927582e-06	1.1595212780000002e-11	0.1	4.927582e-06	4.9211582999999995e-06	0.1	4.927582e-06	3.035404e-13	0.1	4.927582e-06	4.754362e-12	0.1
6.772304e-06	3.93834861612e-06	0.1	6.772304e-06	1.427592456e-11	0.1	6.772304e-06	6.059069e-06	0.1	6.772304e-06	3.737272e-13	0.1	6.772304e-06	5.853706e-12	0.1
8.617026e-06	3.05597643993e-06	0.1	8.617026e-06	1.635603199e-11	0.1	8.617026e-06	6.94203501e-06	0.1	8.617026e-06	4.281888e-13	0.1	8.617026e-06	6.706746e-12	0.1
1.046175e-05	2.3712962868e-06	0.1	1.046175e-05	1.797009992e-11	0.1	1.046175e-05	7.6271763e-06	0.1	1.046175e-05	4.704485e-13	0.1	1.046175e-05	7.368665e-12	0.1
1.230647e-05	1.8400155996600001e-06	0.1	1.230647e-05	1.922254323e-11	0.1	1.230647e-05	8.15881283e-06	0.1	1.230647e-05	5.032401e-13	0.1	1.230647e-05	7.882284e-12	0.1
1.415119e-05	1.4277667221900002e-06	0.1	1.415119e-05	2.019438087e-11	0.1	1.415119e-05	8.571339189999999e-06	0.1	1.415119e-05	5.286848e-13	0.1	1.415119e-05	8.280829e-12	0.1
1.599591e-05	1.10788092108e-06	0.1	1.599591e-05	2.094848117e-11	0.1	1.599591e-05	8.89144015e-06	0.1	1.599591e-05	5.484288e-13	0.1	1.599591e-05	8.590081e-12	0.1
1.784064e-05	8.59664303271e-07	0.1	1.784064e-05	2.1533621839999998e-11	0.1	1.784064e-05	9.139823610000001e-06	0.1	1.784064e-05	5.637492e-13	0.1	1.784064e-05	8.830046e-12	0.1
1.968536e-05	6.67059629337e-07	0.1	1.968536e-05	2.1987667060000002e-11	0.1	1.968536e-05	9.33255801e-06	0.1	1.968536e-05	5.756371e-13	0.1	1.968536e-05	9.016248e-12	0.1
2.153008e-05	5.17607423874e-07	0.1	2.153008e-05	2.233998634e-11	0.1	2.153008e-05	9.48211033e-06	0.1	2.153008e-05	5.848615e-13	0.1	2.153008e-05	9.160732e-12	0.1
2.360466e-05	3.8914310853e-07	0.1	2.360466e-05	2.2642827800000003e-11	0.1	2.360466e-05	9.61066057e-06	0.1	2.360466e-05	5.927906e-13	0.1	2.360466e-05	9.284925e-12	0.1
2.583249e-05	2.86461935352e-07	0.1	2.583249e-05	2.28848922e-11	0.1	2.583249e-05	9.713411509999999e-06	0.1	2.583249e-05	5.991282e-13	0.1	2.583249e-05	9.384193e-12	0.1
2.806031e-05	2.1087469123200003e-07	0.1	2.806031e-05	2.3063078900000003e-11	0.1	2.806031e-05	9.789049519999999e-06	0.1	2.806031e-05	6.037936e-13	0.1	2.806031e-05	9.457268e-12	0.1
3.028813e-05	1.55232247662e-07	0.1	3.028813e-05	2.31942576e-11	0.1	3.028813e-05	9.84472873e-06	0.1	3.028813e-05	6.07228e-13	0.1	3.028813e-05	9.51106e-12	0.1
3.288554e-05	1.0860961389300001e-07	0.1	3.288554e-05	2.33041669e-11	0.1	3.288554e-05	9.891383349999999e-06	0.1	3.288554e-05	6.101056e-13	0.1	3.288554e-05	9.556133e-12	0.1
