Batch	m_SP	4	T4a_L	T1a_L	N1a_L	N7a_L					
0.0	1.000000021	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
9.581341e-11	1.000000021	0.1	9.581341e-11	7.6452491e-14	0.1	9.581341e-11	1.6570116899999998e-17	0.1	9.581341e-11	5.60081043e-10	0.1
3.377815e-09	0.9999997700000002	0.1	3.377815e-09	2.7147844499999996e-12	0.1	3.377815e-09	5.85118814e-16	0.1	3.377815e-09	1.97451452e-08	0.1
1.299693e-08	0.9999992390000001	0.1	1.299693e-08	1.0668713800000001e-11	0.1	1.299693e-08	2.26212877e-15	0.1	1.299693e-08	7.597389170000001e-08	0.1
2.413538e-08	0.9999984890000001	0.1	2.413538e-08	2.0301870899999998e-11	0.1	2.413538e-08	4.2239102199999996e-15	0.1	2.413538e-08	1.41083508e-07	0.1
4.135121e-08	0.9999973379999999	0.1	4.135121e-08	3.6118255700000005e-11	0.1	4.135121e-08	7.29813626e-15	0.1	4.135121e-08	2.41716133e-07	0.1
6.435321e-08	0.999995867	0.1	6.435321e-08	5.909461229999999e-11	0.1	6.435321e-08	1.148552325e-14	0.1	6.435321e-08	3.7616468799999996e-07	0.1
9.031315e-08	0.999994226	0.1	9.031315e-08	8.77124732e-11	0.1	9.031315e-08	1.632160329e-14	0.1	9.031315e-08	5.27889513e-07	0.1
1.220662e-07	0.9999922039999999	0.1	1.220662e-07	1.268575692e-10	0.1	1.220662e-07	2.2396515099999997e-14	0.1	1.220662e-07	7.13446e-07	0.1
1.628597e-07	0.9999896329999999	0.1	1.628597e-07	1.84357183e-10	0.1	1.628597e-07	3.04601614e-14	0.1	1.628597e-07	9.51774428e-07	0.1
2.168879e-07	0.9999863	0.1	2.168879e-07	2.74141163e-10	0.1	2.168879e-07	4.15915023e-14	0.1	2.168879e-07	1.26729071e-06	0.1
2.936077e-07	0.9999815270000001	0.1	2.936077e-07	4.31327809e-10	0.1	2.936077e-07	5.828987520000001e-14	0.1	2.936077e-07	1.71497098e-06	0.1
3.93243e-07	0.999975342	0.1	3.93243e-07	6.94422767e-10	0.1	3.93243e-07	8.15556774e-14	0.1	3.93243e-07	2.29554662e-06	0.1
5.319764e-07	0.999966576	0.1	5.319764e-07	1.1891378050000001e-09	0.1	5.319764e-07	1.169665135e-13	0.1	5.319764e-07	3.10186714e-06	0.1
7.573476e-07	0.999952666	0.1	7.573476e-07	2.37261661e-09	0.1	7.573476e-07	1.8211334e-13	0.1	7.573476e-07	4.40464808e-06	0.1
1.135762e-06	0.9999297090000001	0.1	1.135762e-06	5.67475631e-09	0.1	1.135762e-06	3.13253733e-13	0.1	1.135762e-06	6.56409188e-06	0.1
1.739997e-06	0.999893822	0.1	1.739997e-06	1.5354177820000003e-08	0.1	1.739997e-06	5.80820621e-13	0.1	1.739997e-06	9.906570479999999e-06	0.1
2.61196e-06	0.999843946	0.1	2.61196e-06	4.17094517e-08	0.1	2.61196e-06	1.095633149e-12	0.1	2.61196e-06	1.44079704e-05	0.1
3.731745e-06	0.999783843	0.1	3.731745e-06	1.025181344e-07	0.1	3.731745e-06	1.9780137340000002e-12	0.1	3.731745e-06	1.94736035e-05	0.1
4.824766e-06	0.999729118	0.1	4.824766e-06	1.963848525e-07	0.1	4.824766e-06	3.06848449e-12	0.1	4.824766e-06	2.3554227099999998e-05	0.1
5.562908e-06	0.999694477	0.1	5.562908e-06	2.810668668e-07	0.1	5.562908e-06	3.92491944e-12	0.1	5.562908e-06	2.58337978e-05	0.1
6.484833e-06	0.9996534850000001	0.1	6.484833e-06	4.1236811e-07	0.1	6.484833e-06	5.12155098e-12	0.1	6.484833e-06	2.81882183e-05	0.1
7.621066e-06	0.9996062429999999	0.1	7.621066e-06	6.145821769999999e-07	0.1	7.621066e-06	6.77773852e-12	0.1	7.621066e-06	3.0439621299999998e-05	0.1
9.124448e-06	0.99954877	0.1	9.124448e-06	9.5211055e-07	0.1	9.124448e-06	9.25414808e-12	0.1	9.124448e-06	3.25504559e-05	0.1
1.062783e-05	0.999496173	0.1	1.062783e-05	1.369459899e-06	0.1	1.062783e-05	1.2031487000000002e-11	0.1	1.062783e-05	3.39514107e-05	0.1
1.249541e-05	0.999436377	0.1	1.249541e-05	1.9968723120000002e-06	0.1	1.249541e-05	1.586996253e-11	0.1	1.249541e-05	3.50516202e-05	0.1
1.493641e-05	0.99936642	0.1	1.493641e-05	2.990941657e-06	0.1	1.493641e-05	2.148341892e-11	0.1	1.493641e-05	3.58689196e-05	0.1
1.775969e-05	0.9992946840000001	0.1	1.775969e-05	4.3688628e-06	0.1	1.775969e-05	2.8733304910000002e-11	0.1	1.775969e-05	3.63695279e-05	0.1
2.058298e-05	0.9992315890000001	0.1	2.058298e-05	5.9679088100000005e-06	0.1	2.058298e-05	3.66940623e-11	0.1	2.058298e-05	3.66473467e-05	0.1
2.340626e-05	0.9991758139999999	0.1	2.340626e-05	7.76340034e-06	0.1	2.340626e-05	4.52650513e-11	0.1	2.340626e-05	3.68190149e-05	0.1
2.669696e-05	0.999118747	0.1	2.669696e-05	1.00731765e-05	0.1	2.669696e-05	5.59049761e-11	0.1	2.669696e-05	3.6950412400000004e-05	0.1
3.046586e-05	0.999062556	0.1	3.046586e-05	1.2964787979999999e-05	0.1	3.046586e-05	6.880081359999999e-11	0.1	3.046586e-05	3.7050614500000004e-05	0.1
3.477677e-05	0.9990081319999999	0.1	3.477677e-05	1.6540845960000002e-05	0.1	3.477677e-05	8.429657320000001e-11	0.1	3.477677e-05	3.71264861e-05	0.1
4.006145e-05	0.998953072	0.1	4.006145e-05	2.123851288e-05	0.1	4.006145e-05	1.041325658e-10	0.1	4.006145e-05	3.7185265600000005e-05	0.1
4.534614e-05	0.99890857	0.1	4.534614e-05	2.6204626969999997e-05	0.1	4.534614e-05	1.246643256e-10	0.1	4.534614e-05	3.72209304e-05	0.1
5.128986e-05	0.998867914	0.1	5.128986e-05	3.2029731370000004e-05	0.1	5.128986e-05	1.483585429e-10	0.1	5.128986e-05	3.7244598599999997e-05	0.1
5.767294e-05	0.998832953	0.1	5.767294e-05	3.84895064e-05	0.1	5.767294e-05	1.742984728e-10	0.1	5.767294e-05	3.72587468e-05	0.1
6.405602e-05	0.9988046730000001	0.1	6.405602e-05	4.5095116599999995e-05	0.1	6.405602e-05	2.005731414e-10	0.1	6.405602e-05	3.72663836e-05	0.1
7.043909e-05	0.9987816709999999	0.1	7.043909e-05	5.1796647199999996e-05	0.1	7.043909e-05	2.270488025e-10	0.1	7.043909e-05	3.72704426e-05	0.1
7.788454e-05	0.9987592719999999	0.1	7.788454e-05	5.9686242900000004e-05	0.1	7.788454e-05	2.580559546e-10	0.1	7.788454e-05	3.72727633e-05	0.1
8.559558e-05	0.99873997	0.1	8.559558e-05	6.78981559e-05	0.1	8.559558e-05	2.90202956e-10	0.1	8.559558e-05	3.7273789e-05	0.1
9.330662e-05	0.998723388	0.1	9.330662e-05	7.61208676e-05	0.1	9.330662e-05	3.2230693069999996e-10	0.1	9.330662e-05	3.7274130099999996e-05	0.1
0.0001016739	0.9987075009999999	0.1	0.0001016739	8.50321302e-05	0.1	0.0001016739	3.570397094e-10	0.1	0.0001016739	3.72741501e-05	0.1
0.0001110254	0.9986915869999999	0.1	0.0001110254	9.49598981e-05	0.1	0.0001110254	3.956958806e-10	0.1	0.0001110254	3.7273983700000004e-05	0.1
0.0001203769	0.998676803	0.1	0.0001203769	0.00010484433670000001	0.1	0.0001203769	4.3417088610000005e-10	0.1	0.0001203769	3.7273744e-05	0.1
0.0001309056	0.99866119	0.1	0.0001309056	0.00011591872770000001	0.1	0.0001309056	4.772881691e-10	0.1	0.0001309056	3.72734376e-05	0.1
0.0001422191	0.998645001	0.1	0.0001422191	0.00012776027909999998	0.1	0.0001422191	5.234263634999999e-10	0.1	0.0001422191	3.72731054e-05	0.1
0.0001544433	0.998627896	0.1	0.0001544433	0.00014050220629999998	0.1	0.0001544433	5.731297931e-10	0.1	0.0001544433	3.72727482e-05	0.1
0.0001680337	0.998609141	0.1	0.0001680337	0.0001546291895	0.1	0.0001680337	6.283173573e-10	0.1	0.0001680337	3.7272343e-05	0.1
0.0001828068	0.998589248	0.1	0.0001828068	0.00016997475820000003	0.1	0.0001828068	6.883655878e-10	0.1	0.0001828068	3.7271918200000004e-05	0.1
0.0001993538	0.998566984	0.1	0.0001993538	0.00018719614479999997	0.1	0.0001993538	7.558685509e-10	0.1	0.0001993538	3.72714384e-05	0.1
0.00021812	0.9985418239999999	0.1	0.00021812	0.00020682458449999998	0.1	0.00021812	8.329254148e-10	0.1	0.00021812	3.7270902699999996e-05	0.1
0.0002392378	0.99851388	0.1	0.0002392378	0.00022909137229999997	0.1	0.0002392378	9.20440992e-10	0.1	0.0002392378	3.7270309900000004e-05	0.1
0.0002638439	0.998481603	0.1	0.0002638439	0.00025531745820000005	0.1	0.0002638439	1.023579322e-09	0.1	0.0002638439	3.72696236e-05	0.1
0.0002936851	0.9984427339999999	0.1	0.0002936851	0.0002875352258	0.1	0.0002936851	1.150274484e-09	0.1	0.0002936851	3.72688122e-05	0.1
0.0003248351	0.998402788	0.1	0.0003248351	0.00032159577620000004	0.1	0.0003248351	1.284139581e-09	0.1	0.0003248351	3.72679734e-05	0.1
0.0003598096	0.99835825	0.1	0.0003598096	0.000360255609	0.1	0.0003598096	1.4359611759999998e-09	0.1	0.0003598096	3.72670511e-05	0.1
0.0004008775	0.9983063860000001	0.1	0.0004008775	0.000406063084	0.1	0.0004008775	1.615712309e-09	0.1	0.0004008775	3.72659795e-05	0.1
0.0004395476	0.9982579100000001	0.1	0.0004395476	0.00044948123700000003	0.1	0.0004395476	1.7859922950000001e-09	0.1	0.0004395476	3.72649759e-05	0.1
0.0004696618	0.9982202699999999	0.1	0.0004696618	0.00048343128800000003	0.1	0.0004696618	1.919098555e-09	0.1	0.0004696618	3.72642042e-05	0.1
